DateTime,AddedIPs,RemovedIPs
1521936504,44,53
1521938418,44,49
1521940341,34,42
1521942249,34,37
1521944174,41,32
1521946087,38,37
1521948259,51,38
1521950167,38,54
1521952098,44,34
1521954012,15,49
1521956184,47,15
1521958092,41,40
1521960012,20,50
1521961936,50,21
1521963855,42,39
1521965774,15,43
1521967704,21,21
1521969634,11,27
1521971535,12,12
1521975372,16,11
1521977290,48,16
1521979217,33,45
1521985221,48,28
1521990984,47,50
1521998654,43,47
1522000822,38,41
1522004656,24,40
1522008747,43,27
1522012578,41,40
1522018570,29,34
1522020750,41,26
1522024574,34,43
1522028421,33,37
1522030343,40,33
1522032265,43,41
1522036092,31,44
1522038020,47,37
1522039935,35,42
1522046023,52,40
1522051695,40,47
1522053612,28,43
1522055553,13,29
1522057458,14,17
1522059396,8,13
1522061319,7,10
1522073062,54,6
1522074976,45,49
1522082662,35,43
1522088409,20,36
1522090343,29,23
1522092256,49,29
1522094176,18,48
1522098036,26,22
1522100181,18,23
1522102342,33,17
1522104503,44,31
1522108340,25,41
1522110494,57,30
1522112665,19,55
1522114586,22,18
1522116738,40,23
1522118659,51,39
1522120575,42,54
1522122496,50,42
1522124414,36,46
1522126342,35,35
1522128252,45,36
1522130180,38,45
1522132091,49,35
1522134016,43,48
1522135932,43,46
1522137860,41,45
1522139769,35,40
1522141697,26,37
1522143860,8,29
1522145782,17,12
1522148460,28,14
1522154415,43,22
1522156342,45,43
1522160185,46,49
1522162105,47,45
1522165942,31,49
1522171938,26,32
1522177700,31,24
1522179614,17,30
1522181546,40,19
1522183456,48,38
1522185384,33,47
1522187299,38,36
1522189628,46,36
1522199539,49,45
1522201696,45,47
1522203611,45,46
1522207695,47,42
1522213962,38,51
1522220181,36,37
1522222107,50,34
1522224037,40,53
1522230257,12,46
1522234119,14,12
1522238458,24,13
1522240342,27,19
1522242512,43,25
1522244664,38,45
1522246584,31,40
1522248743,22,30
1522250654,37,24
1522252577,18,33
1522254747,35,20
1522256659,17,34
1522258579,28,21
1522262418,18,25
1522264338,42,20
1522266263,41,36
1522268183,33,43
1522270102,48,36
1522272020,46,47
1522273940,26,45
1522276458,25,30
1522278839,60,24
1522280652,48,57
1522282818,56,48
1522284740,33,57
1522288579,47,33
1522290500,44,42
1522292421,46,46
1522294341,47,50
1522296265,16,48
1522298186,28,12
1522302018,46,27
1522303941,48,42
1522305869,41,51
1522307774,41,44
1522309709,40,42
1522311612,32,45
1522313537,49,28
1522315458,17,51
1522317375,23,18
1522319292,18,25
1522321223,14,18
1522323138,48,12
