DateTime,Entries,UniqueIPs
1521936504,55,55
1521938418,50,50
1521940341,42,42
1521942249,39,39
1521944174,48,48
1521946087,49,49
1521948259,62,62
1521950167,46,46
1521952098,56,56
1521954012,22,22
1521956184,54,54
1521958092,55,55
1521960012,25,25
1521961936,54,54
1521963855,57,57
1521965774,29,29
1521967704,29,29
1521969634,13,13
1521971535,13,13
1521975372,18,18
1521977290,50,50
1521979217,38,38
1521985221,58,58
1521990984,55,55
1521998654,51,51
1522000822,48,48
1522004656,32,32
1522008747,48,48
1522012578,49,49
1522018570,44,44
1522020750,59,59
1522024574,50,50
1522028421,46,46
1522030343,53,53
1522032265,55,55
1522036092,42,42
1522038020,52,52
1522039935,45,45
1522046023,57,57
1522051695,50,50
1522053612,35,35
1522055553,19,19
1522057458,16,16
1522059396,11,11
1522061319,8,8
1522073062,56,56
1522074976,52,52
1522082662,44,44
1522088409,28,28
1522090343,34,34
1522092256,54,54
1522094176,24,24
1522098036,28,28
1522100181,23,23
1522102342,39,39
1522104503,52,52
1522108340,36,36
1522110494,63,63
1522112665,27,27
1522114586,31,31
1522116738,48,48
1522118659,60,60
1522120575,48,48
1522122496,56,56
1522124414,46,46
1522126342,46,46
1522128252,55,55
1522130180,48,48
1522132091,62,62
1522134016,57,57
1522135932,54,54
1522137860,50,50
1522139769,45,45
1522141697,34,34
1522143860,13,13
1522145782,18,18
1522148460,32,32
1522154415,53,53
1522156342,55,55
1522160185,52,52
1522162105,54,54
1522165942,36,36
1522171938,30,30
1522177700,37,37
1522179614,24,24
1522181546,45,45
1522183456,55,55
1522185384,41,41
1522187299,43,43
1522189628,53,53
1522199539,57,57
1522201696,55,55
1522203611,54,54
1522207695,59,59
1522213962,46,46
1522220181,45,45
1522222107,61,61
1522224037,48,48
1522230257,14,14
1522234119,16,16
1522238458,27,27
1522240342,35,35
1522242512,53,53
1522244664,46,46
1522246584,37,37
1522248743,29,29
1522250654,42,42
1522252577,27,27
1522254747,42,42
1522256659,25,25
1522258579,32,32
1522262418,25,25
1522264338,47,47
1522266263,52,52
1522268183,42,42
1522270102,54,54
1522272020,53,53
1522273940,34,34
1522276458,29,29
1522278839,65,65
1522280652,56,56
1522282818,64,64
1522284740,40,40
1522288579,54,54
1522290500,56,56
1522292421,56,56
1522294341,53,53
1522296265,21,21
1522298186,37,37
1522302018,56,56
1522303941,62,62
1522305869,52,52
1522307774,49,49
1522309709,47,47
1522311612,34,34
1522313537,55,55
1522315458,21,21
1522317375,26,26
1522319292,19,19
1522321223,15,15
1522323138,51,51
1522325322,51,51
1522327211,52,52
1522329148,50,50
1522331057,67,67
1522332994,42,42
1522334897,54,54
1522337067,45,45
1522338971,38,38
1522340906,43,43
1522344743,40,40
1522346666,24,24
1522350494,16,16
1522352420,17,17
1522354339,43,43
1522358172,22,22
1522360105,50,50
1522362010,31,31
1522365397,44,44
1522367290,38,38
1522369236,50,50
1522371138,38,38
1522373063,45,45
1522374971,24,24
1522380995,18,18
1522382907,21,21
1522386738,57,57
1522388907,48,48
1522392747,29,29
1522394661,57,57
1522396583,37,37
1522406663,9,9
1522410507,33,33
1522412426,50,50
1522414333,16,16
1522416258,28,28
1522418227,44,44
1522420346,37,37
1522422274,52,52
1522424173,47,47
1522426117,28,28
1522428040,39,39
1522431862,54,54
1522433784,32,32
1522439535,23,23
