DateTime,AddedIPs,RemovedIPs
1517675456,7,2
1517686513,15,4
1517697290,8,4
1517708002,1,7
1517719173,2,6
1517729972,11,3
1517741211,6,10
1517752271,10,6
1517763098,9,6
1517774402,5,3
1517785092,7,4
1517795942,12,2
1517806715,5,8
1517818059,7,6
1517829058,7,4
1517839832,6,3
1517851203,9,8
1517862237,7,6
1517873225,7,14
1517884189,4,9
1517894925,3,4
1517905304,6,8
1517916574,9,8
1517927486,7,7
1517938809,7,5
1517949819,5,8
1517960990,10,7
1517971667,8,2
1517982741,5,1
1517993699,5,2
1518004791,8,2
1518015845,7,6
1518026885,12,5
1518037894,1,12
1518048944,7,6
1518059857,10,6
1518070439,7,7
1518081476,6,4
1518092466,4,4
1518103375,7,8
1518114601,7,4
1518125426,8,4
1518136768,8,2
1518147967,10,8
1518158663,7,10
1518169716,4,2
1518180631,7,5
1518191998,7,4
1518202567,5,11
1518213856,5,9
1518224835,2,4
1518235938,6,3
1518246840,7,6
1518257594,3,1
1518268312,3,6
1518278883,6,4
1518289761,6,5
1518300721,9,2
1518311461,7,3
1518322472,6,6
1518333708,9,1
1518344590,4,7
1518355942,7,13
1518366973,6,7
1518377967,3,11
1518389065,6,10
1518399989,4,5
1518410784,4,5
1518421887,5,5
1518432691,2,8
1518443921,5,11
1518455029,5,1
1518466047,7,5
1518476808,7,9
1518487611,5,10
1518498398,7,10
1518509402,12,6
1518520549,4,3
1518531258,4,7
1518541673,8,10
1518552722,7,12
1518563091,12,9
1518573842,7,3
1518584468,7,4
1518595287,7,6
1518606460,21,7
1518617361,9,2
1518628278,8,7
1518639285,4,6
1518650410,9,7
1518661676,7,4
1518672474,7,9
1518683337,3,6
1518694171,4,4
1518705368,9,4
1518716686,8,4
1518727769,7,4
1518738611,5,3
1518749964,10,5
1518760986,5,5
1518772021,3,1
1518783327,4,3
1518794636,1,6
1518805555,4,3
1518816526,5,7
1518827669,7,3
1518838562,4,4
1518848853,5,5
1518859926,2,6
1518870523,14,7
1518882313,7,9
1518893382,6,6
1518904495,3,8
1518915353,4,8
