DateTime,Entries,UniqueIPs
1454127374,3711,605603912
1454386241,3710,605588552
1454472678,3710,605571144
1454559027,3709,605561160
1454645421,3709,605545800
1454731834,3710,605563208
1454994791,3707,605540680
1455079875,3711,605527368
1455163799,3709,605515848
1455250211,3712,605504840
1455336645,3713,605497672
1455595934,3713,605485384
1455682501,3712,605470024
1455768654,3713,605459784
1455855009,3712,605439304
1455941425,3710,605429064
1456287062,3713,605397832
1456373484,3712,605382216
1456459859,3713,605373000
1456546319,3714,605362248
1456805448,3713,605346888
1456891902,3717,605333832
1456978227,3717,605429064
1457064674,3720,605438280
1457151448,3724,605418824
1457410334,3721,605405000
1457496636,3723,605395272
1457583048,3722,605376840
1457669460,3720,605359432
1457756002,3722,605373768
1458015346,3721,605357384
1458101521,3721,605347144
1458187883,3723,605337928
1458274238,3721,605323848
1458361327,3728,605310536
1458620295,3728,605305416
1458706710,3727,605296200
1458792707,3726,605285960
1458879033,3725,605277768
1459311373,3724,605265480
1459398150,3727,605248072
1459483935,3725,605234760
1459570981,3728,605220424
1459829459,3728,605212232
1459916572,3728,605192776
1460002253,3729,605179464
1460088625,3726,605167944
1460175593,3727,605152584
1460434496,3726,605136200
1460520967,3728,605120840
1460607561,3727,605108808
1460694160,3728,605094472
1460780581,3728,605079112
1461039075,3730,605061704
1461125907,3731,605050440
1461211970,3731,605034056
1461298664,3729,605015624
1461384677,3732,605001544
1461644050,3730,604987464
1461730468,3730,604965960
1461903296,3730,604944456
1461989811,3732,604932168
1462249430,3731,604907848
1462335739,3731,604896840
1462421905,3732,604883528
1462594398,3733,604863048
1462854062,3731,604845640
1462940433,3731,604835400
1463027060,3731,604809544
1463112734,3731,604796232
1463199130,3736,604781896
1463544594,3734,604771400
1463631300,3735,604751688
1463717483,3734,604735304
1463803877,3734,604708680
1464063326,3735,604688200
1464149729,3735,604673096
1464236175,3734,604664904
1464322587,3737,604653640
1464408842,3737,604643144
1464668051,3735,604638024
1464754207,3734,604622664
1464841066,3734,604617544
1464927351,3735,604625736
1465013775,3733,604615496
1465272841,3737,604601416
1465359021,3738,604592712
1465445552,3734,604578376
1465532021,3735,604566088
1465618464,3734,604561992
1465877695,3734,604553800
1465964163,3737,604537416
1466050659,3734,604518984
1466136666,3737,604510792
1466226135,3735,604500552
1466483848,3742,604493384
1466657404,3749,604482376
1466743853,3750,604473416
1466830284,3754,604472392
1467088079,3755,604461128
1467175256,3756,604458312
1467349010,3769,604447048
1467434671,3775,604448328
1467781212,3779,604430152
1467867488,3780,604426056
1467953681,3781,604417608
1468039816,3780,604399176
1468299609,3781,604391752
1468385790,3780,604382536
1468472253,3779,604375624
1468557608,3779,604358728
1468644416,3778,604344392
1468904460,3786,604337480
1469078461,3787,604319304
1469164122,3789,604277320
1469250674,3786,604266056
1469508642,3787,604256840
1469595292,3786,604239176
1469768613,3791,604221704
1469855174,3790,604213832
1470114609,3789,604198984
1470288101,3791,604182600
1470374203,3789,604173384
1470460149,3787,604154952
1470719909,3790,604149832
1470803687,3788,604129352
1470891899,3786,604120136
1471065397,3789,604131144
1471324267,3788,604106568
1471410906,3789,604097352
1471497697,3792,604083016
1471670004,3790,604047176
1471928341,3793,604034632
1472014821,3794,604017224
1472101621,3794,604001864
1472188607,3797,603988808
1472274946,3795,603978568
1472533576,3795,603971400
1472620090,3795,603970376
1472705802,3798,603959112
1472791140,3795,603944776
1472877637,3801,603953480
1473137762,3800,603946312
1473224056,3801,603930952
1473396753,3801,603905352
1473482737,3802,603892040
1473741563,3801,603876680
1473827967,3800,603865416
1473914360,3804,603840840
1474001429,3802,603823432
1474086967,3802,603808072
1474346397,3800,603787592
1474519325,3803,603768136
1474693113,3814,604025928
1474951813,3810,604016200
1475037922,3811,603995720
1475124801,3811,603983432
1475211753,3811,603967048
1475297162,3811,603956040
1475556772,3810,603939912
1475727260,3814,603906120
1475816565,3811,603886664
1475990403,3815,603871304
1476162194,3815,603855944
1476247534,3815,603839560
1476335017,3813,603827272
1476506466,3814,603796552
1476765775,3815,603785288
1476852662,3816,603764808
1476938236,3814,603755592
1477025796,3816,603738184
1477199160,3815,603725896
1477458363,3817,603694664
1477543243,3818,603675208
1477630282,3818,603665992
1477714636,3818,603649608
1477976242,3817,603639368
1478062919,3816,603622984
1478148463,3821,603615560
1478234428,3825,603604040
1478406994,3823,603593288
1478580263,3826,603579464
1478665965,3826,603565640
1478752747,3829,603558472
1478925777,3835,603537224
1479185318,3834,603521096
1479271625,3836,603510088
1479357842,3839,603497288
1479444845,3840,603491400
1479531046,3839,603473224
1479877186,3841,603454024
1479963369,3839,603441736
1480050189,3841,603428424
1480135580,3840,603412040
1480394528,3840,603334472
1480481382,3842,603323464
1480567796,3846,603309128
1480654110,3843,603297864
1480827066,3845,603289672
1480999462,3845,603273288
1481087031,3844,603259976
1481172490,3845,603242568
1481258045,3846,603229256
1481344988,3844,603215176
1481603825,3844,603199048
1481690274,3849,603181896
1481776838,3848,603155272
1481863706,3847,603136840
1481948101,3849,603126344
1482208678,3844,603114056
1482381535,3848,603089992
1482467652,3844,603081800
1482554172,3843,603077704
1482899309,3842,603066440
1483072330,3843,603051336
1483158883,3848,603042120
1483418238,3845,603093320
1483504517,3845,603077960
1483591382,3847,603071816
1483677410,3847,603059528
1483763992,3845,603056456
1484023142,3846,603049032
1484109160,3850,603028552
1484195405,3848,603021640
1484282032,3852,603012936
1484368642,3851,603018312
1484629633,3857,602997128
1484716303,3853,602973576
1484800766,3855,602966152
1484887386,3857,602954120
1484974021,3858,602944904
1485233036,3860,602901128
1485319316,3856,602885768
1485405708,3858,602873992
1485491991,3864,602869896
1485664505,3861,602858632
1485837816,3861,602840456
1485923401,3864,602826888
1486010357,3864,602811784
1486096234,3866,602796424
1486182751,3868,602790024
1486441993,3869,602817928
1486528053,3871,602806920
1486614453,3872,602790024
1486700913,3872,602771592
1486874032,3870,602756232
1487047575,3869,602748040
1487132926,3873,602737032
1487219247,3873,602725768
1487305667,3871,602712456
1487392147,3871,602697096
1487651373,3875,602677896
1487737866,3873,602658696
1487824384,3872,602645384
1487910912,3872,602638216
1487997015,3871,602622600
1488256171,3881,602610312
1488342951,3880,602593928
1488429316,3881,602577032
1488515619,3888,602570888
1488601990,3888,602562952
1488861475,3888,602544520
1488947816,4001,631893107
1489034244,3888,602513800
1489120063,3890,602505864
1489206773,3892,602492552
1489466357,3894,602477192
1489639666,3891,602451336
1489725334,3890,602433928
1489812054,3892,602420872
1490070972,3893,602407560
1490157531,3892,602387080
1490329821,3893,602351496
1490416383,3894,602338184
1490762619,3894,602312072
1490934668,3894,602280328
1491021818,3895,602267016
1491280718,3900,602253960
1491366874,3901,602243208
1491453229,3902,602231944
1491539879,3902,602216584
1491626141,3901,602203016
1491885416,3905,602191240
1491972011,3905,602173832
1492058233,3904,602162568
1492231315,3904,602148232
1492576686,3907,602132872
1492663478,3909,602122888
1492749222,3910,602099336
1492835335,3911,602088072
1493094813,3911,602072712
1493181635,3911,602063496
1493267252,3910,602056328
1493440390,3912,602032776
1493700110,3907,602027656
1493786289,3905,602017416
1493872549,3905,602013576
1493958869,3909,601994120
1494045168,3906,601980808
1494304981,3906,601966984
1494390461,3906,601950600
1494477100,3905,601934216
1494651101,3907,601897352
1494909531,3908,601883016
1494995842,3908,601876616
1495082351,3910,601859208
1495168900,3908,601853064
1495254690,3910,601833608
1495513997,3909,601815176
1495600369,3912,601797768
1495772039,3912,601775496
1495945944,3912,601767368
1496119873,3914,601750216
1496205623,3915,601735880
1496291984,3915,601721544
1496378274,3916,601705672
1496464952,3915,601692360
1496897042,3914,601661896
1496983337,3919,601646536
1497155977,3918,601621960
1497329011,3924,601611720
1497415648,3922,601596360
1497502325,3921,601585096
1497589237,3921,601568712
1497674502,3919,601551304
1497933927,3923,601533896
1498020544,3921,601524680
1498107618,3922,601511880
1498279846,3927,601486280
1498625573,3933,601462472
1498712024,3933,601454536
1498798531,3932,601435080
1498884432,3935,601423048
1499144248,3936,601411016
1499230486,3939,601398472
1499316532,3939,601386184
1499402983,3938,601383112
1499834150,3944,601285832
1499920546,3945,601262536
1500093686,3946,601233864
1500353170,3947,601220552
1500526159,3946,601198536
1500698620,3950,601172936
1500959190,3951,601169608
1501045294,3972,601308360
1501132048,3997,601321672
1501217675,4002,601308360
1501303990,4003,601302216
1501562665,4004,601297608
1501735912,4004,601269704
1501822609,4014,601260744
1501908867,4015,601248456
1502253645,4019,601223368
1502340546,4018,601216200
1502512778,4024,601200840
1502772378,4019,601179080
1502859561,4041,601255675
1502944679,4030,601305544
1503118009,4031,601285064
1503377474,4031,601269192
1503550160,4032,601249736
1503636710,4035,601233864
1503723127,4038,601225672
1503982356,4038,601219528
1504067252,4039,601215432
1504154997,4040,601215432
1504241637,4042,601211336
1504327754,4042,601212360
1504586502,4044,601211592
1504673241,4042,601201352
1504759647,4048,601201352
1504846144,4052,601192136
1504932037,4052,601182152
1505192297,4052,601172936
1505278062,4055,601167560
1505364961,4056,601148104
1505450842,4058,601125576
1505537212,4062,601114056
1505797227,4064,601098184
1505883089,4065,601097928
1505969153,4067,601085640
1506055550,4072,601072584
1506141921,4071,601058248
1506401648,4073,601035976
1506487515,4073,601019848
1506573938,4075,601012936
1506660693,4076,601001416
1506747396,4076,600992200
1507006307,4079,600982984
1507092395,4078,600980936
1507177185,4079,600961736
1507350944,4086,600932040
1507609595,4089,600921800
1507695743,4087,600908488
1507782239,4090,600892360
1507868600,4088,600868808
1507955089,4088,600851400
1508213649,4089,600825800
1508300102,4090,600812232
1510026386,4113,600584904
1510116512,4112,600571848
1510202828,4112,600543176
1510289405,4113,600524744
1510376203,4112,600498120
1510634102,4114,600488392
1510807192,4116,600458952
1510893558,4116,600450760
1510979106,4120,600439240
1511239188,4113,600417480
1511325125,4115,600389832
1511411065,4114,600378568
1511497385,4116,600367304
1511671632,4113,600338632
1511843367,4120,600333768
1511929303,4119,600311240
1512015769,4121,600298696
1512190115,4123,600202696
1512448363,4127,600189896
1512535407,4129,600180424
1512621220,4126,600159688
1512707580,4131,600148936
1512796539,4131,600134344
1513055955,4131,600124872
1513142016,4137,600110536
1513225485,4135,600099272
1513310859,4138,600087496
1513397260,4136,600079048
1513742850,4134,600044232
1513829250,4137,600014536
1513915658,4138,600003272
1514088461,4139,599989448
1514434056,4141,599986376
1514607022,4146,599977416
1514952499,4147,600020936
1515038864,4149,600002504
1515125256,4150,599988168
1515211650,4153,599961544
1515470829,4152,599956680
1515557227,4152,599941320
1515644104,4153,599929032
