DateTime,AddedIPs,RemovedIPs
1522645966,59,46
1522646892,30,24
1522647865,65,82
1522648815,24,72
1522649802,52,31
1522650740,41,61
1522651709,55,37
1522652659,36,42
1522653629,47,55
1522654581,47,83
1522655544,32,40
1522656495,74,73
1522657481,49,34
1522658413,35,41
1522659382,47,54
1522660336,44,62
1522661317,42,53
1522662261,45,41
1522663728,74,135
1522664658,55,9
1522665629,62,138
1522666576,37,86
1522667541,40,70
1522668490,57,81
1522669474,58,87
1522670441,59,120
1522671377,58,89
1522672340,52,114
1522673311,45,40
1522674263,63,109
1522675216,50,66
1522676183,69,44
1522677139,49,45
1522678094,55,46
1522679075,42,90
1522680260,66,40
1522681225,45,67
1522682184,49,59
1522683148,51,54
1522684096,44,43
1522685084,40,85
1522686014,45,38
1522686980,52,77
1522688176,78,72
1522689657,51,114
1522690572,64,60
1522691553,45,57
1522692493,46,51
1522693467,36,60
1522694414,64,57
1522695396,54,75
1522696337,45,44
1522697301,45,68
1522698260,53,38
1522699285,61,71
1522700421,44,50
1522701373,73,72
1522702333,39,54
1522703312,71,98
1522704260,404,107
1522705218,779,80
1522706177,573,17
1522707150,190,1774
1522708091,70,8
1522709677,87,148
1522710790,66,57
1522711941,58,96
1522712894,37,62
1522713885,73,71
1522715146,59,57
1522716269,67,140
1522717219,35,4
1522718186,45,63
1522719142,36,82
1522720095,41,78
1522721077,53,49
1522722012,52,48
1522722981,40,58
1522723934,37,43
1522724912,50,44
1522725857,52,61
1522726815,65,62
1522727791,64,67
1522728739,47,39
1522729691,47,70
1522730673,32,52
1522731621,41,75
1522732572,37,29
1522733548,56,109
1522734515,33,56
1522735458,37,50
1522736666,32,52
1522737753,70,67
1522738961,63,74
1522739997,51,66
1522741298,97,127
1522742483,55,103
1522743527,41,43
1522744582,54,118
1522745532,52,43
1522746501,55,50
1522747458,28,41
1522748415,72,49
1522749385,49,46
1522750353,56,50
1522751539,49,55
1522752497,67,101
1522753462,51,46
1522754414,76,64
1522755381,58,10
1522756337,37,45
1522757297,65,74
1522758265,45,93
1522759213,50,9
1522760184,66,130
1522761141,34,3
1522762100,37,93
1522763057,58,13
1522764018,41,127
1522764985,55,9
1522765937,43,70
1522766895,40,72
1522767878,52,106
1522768814,37,3
1522769783,55,108
1522770732,41,39
1522772255,77,112
1522773385,85,90
1522775169,86,137
1522776265,49,57
1522777223,61,76
1522778921,95,131
1522779957,40,70
1522780908,63,85
1522782002,60,90
1522782992,53,46
1522785474,141,257
1522786820,83,61
1522787783,95,80
1522788737,27,64
1522789948,92,97
1522790895,406,84
1522791865,940,71
1522792822,642,1477
1522794028,175,153
1522794989,74,82
1522796072,53,83
1522797233,78,59
1522798338,111,139
1522799307,47,9
1522800505,93,101
1522801724,46,98
1522802672,77,63
1522803659,34,57
1522804575,63,36
1522806081,78,83
1522807221,64,52
1522808173,52,62
1522809141,44,65
1522810093,60,76
1522811080,40,12
1522812015,51,56
1522812982,65,64
1522813933,43,74
1522814903,67,61
1522815867,26,67
1522816817,56,75
1522817778,25,4
1522818747,77,90
1522819694,24,75
1522820674,67,83
1522821894,46,13
1522822833,36,80
1522823783,70,72
1522824739,34,26
1522825878,62,113
1522827145,35,48
1522828347,70,128
1522829300,39,12
1522830261,29,73
1522831221,55,50
1522832176,30,5
1522833145,37,45
1522834092,42,66
1522835058,53,11
1522836027,47,36
1522836988,78,168
1522837939,31,0
1522838895,33,5
1522839866,61,84
1522840819,37,68
1522841778,57,55
1522842739,47,96
1522843708,56,4
1522844674,36,64
1522845613,57,68
1522846587,25,68
1522847784,76,72
1522848750,56,66
1522849693,34,45
1522850673,51,74
1522851629,32,64
1522852578,48,11
1522853531,63,42
1522854513,86,110
1522857847,189,228
1522859605,115,138
1522860743,76,54
1522861695,74,102
1522862663,30,100
1522863612,74,55
1522864835,86,105
1522865775,38,37
1522866740,36,94
1522867691,66,106
1522868669,42,106
1522869616,42,70
1522870591,59,60
1522871534,47,46
1522872501,51,65
1522873458,30,79
1522874656,85,62
1522875887,78,100
1522877814,963,134
1522878897,776,1560
1522879970,159,118
1522881281,86,126
1522884012,115,75
1522885704,78,65
1522886697,63,107
1522887862,80,95
1522889082,76,58
1522891994,176,205
1522893136,67,65
1522894353,71,94
1522895538,44,45
1522896995,49,38
1522897959,59,70
1522900908,132,156
1522902018,40,97
1522903737,83,63
1522904687,43,73
1522905617,23,30
1522906595,41,76
1522907538,45,47
1522908499,46,86
1522909470,30,28
1522911404,77,129
1522912579,57,109
1522913545,46,47
1522915638,96,125
1522916964,46,36
1522917884,65,58
1522919060,52,60
1522920537,57,90
1522921709,48,56
1522922657,39,61
1522923871,53,55
1522924887,68,53
1522926266,72,91
1522927212,35,54
1522928190,50,42
1522929152,55,67
1522930356,59,48
1522931553,74,74
1522932743,60,52
1522933963,59,73
1522934893,32,3
1522935866,74,96
1522936844,52,89
1522937787,41,8
1522938743,37,43
1522939947,82,124
1522941150,68,48
1522942101,45,61
1522943060,44,38
1522944035,45,71
1522944993,30,31
1522945937,59,72
1522946898,32,31
1522947862,58,62
1522948818,30,55
1522949776,36,30
1522950734,44,56
1522951695,47,39
1522952674,52,42
1522953857,56,31
1522954836,55,58
1522955781,33,41
1522956810,48,61
1522957714,30,53
1522958755,53,59
1522959873,48,29
1522961326,125,163
1522962265,57,71
1522963217,335,51
1522964194,713,142
1522965863,204,1977
1522966830,41,53
1522967791,55,113
1522968731,37,14
1522969703,67,27
1522970674,52,61
1522971611,31,46
1522972582,62,88
1522973551,69,90
1522974490,25,4
1522975454,50,59
1522976676,77,93
1522977611,38,29
1522978594,42,39
1522979539,23,30
1522980511,35,48
1522981474,44,47
1522982416,34,33
1522983371,22,46
1522984356,42,31
1522985543,52,68
1522986515,53,25
1522987474,49,88
1522988678,40,18
1522989613,57,90
1522990576,31,41
1522991551,40,44
1522992500,31,65
1522993457,29,35
1522994425,45,67
1522995371,44,52
1522996371,32,60
1522997294,27,24
1522998271,84,104
1522999213,42,10
1523000450,53,113
1523001370,35,86
1523002344,55,56
1523003298,42,29
1523004264,58,62
1523005236,34,47
1523006192,60,53
1523007134,26,49
1523008111,52,32
1523009060,69,68
1523010025,41,25
1523010991,53,73
1523011957,29,39
1523012900,46,46
1523013875,41,35
1523014812,31,39
1523015779,72,77
1523016743,58,114
1523017711,41,78
1523018657,53,83
1523019639,39,79
1523020583,44,35
1523021541,83,75
1523022738,57,43
1523023951,62,62
1523024894,54,53
1523025870,48,48
1523027552,94,91
1523028737,54,30
1523029711,34,106
1523030674,35,43
1523031871,53,88
1523032817,44,5
1523033788,34,91
1523034753,63,35
1523035698,40,84
1523036657,42,2
1523037644,60,101
1523038590,69,56
1523039555,53,43
1523040493,43,9
1523041462,81,70
1523042412,50,49
1523043395,118,95
1523044337,28,1
1523045297,74,81
1523046274,57,102
1523048123,88,64
1523049151,268,92
1523050094,636,66
1523051070,551,59
1523052049,447,1352
1523052974,135,47
1523053936,41,82
1523055143,46,88
1523056116,53,7
1523057066,77,65
1523058013,44,5
1523058980,43,37
1523059955,54,55
1523060893,43,32
1523061855,39,37
1523062817,43,55
1523063802,39,47
1523064740,53,46
1523065693,23,38
1523066660,79,68
1523067620,43,39
1523068587,41,39
1523069535,17,21
1523070499,46,53
1523071475,50,56
1523072413,43,52
1523073388,35,47
1523074338,37,62
1523075308,34,40
1523076264,25,40
1523077237,37,29
1523078172,48,62
1523079161,42,37
1523080111,42,63
1523081065,56,76
1523082015,23,42
1523083004,44,67
1523083939,30,27
1523084910,39,84
1523085855,21,26
1523086825,51,68
1523087771,23,19
1523088743,67,95
1523089692,33,18
1523090670,31,58
1523091632,36,49
1523092571,38,47
1523093550,31,40
1523094744,68,86
1523095694,49,13
1523096672,50,83
1523097613,27,9
1523098578,34,74
1523099553,54,62
1523100742,49,52
1523101695,34,44
1523102689,46,41
1523103621,42,40
1523104573,37,37
1523105549,33,48
1523106499,54,49
1523107473,28,47
1523108412,61,42
1523109387,35,61
1523110360,40,31
1523111291,32,48
1523112255,108,73
1523113236,43,68
1523114187,53,53
1523115137,36,63
1523116094,37,33
1523117076,41,47
1523118020,38,46
1523118990,41,53
1523119949,43,32
1523120894,44,65
1523121869,29,7
1523122811,48,53
1523123786,39,99
1523124756,45,51
1523125696,33,56
1523126669,43,43
1523127635,59,55
1523128573,26,9
1523129557,43,114
1523130493,24,21
1523131461,41,73
1523132410,28,51
1523133393,73,101
1523134332,38,55
1523135294,152,62
1523136273,545,80
1523137218,585,80
1523138170,488,1531
1523139152,105,65
1523140091,41,89
1523141064,41,85
1523142035,43,73
1523143966,96,159
1523144897,37,7
1523145883,46,78
1523146814,36,56
1523147792,42,83
1523148742,33,83
1523149702,36,56
1523150672,41,59
1523151861,51,44
1523152829,40,65
1523153789,35,41
1523154740,69,68
1523155710,39,48
1523156669,26,66
1523157624,33,32
1523158595,59,90
1523159541,31,60
1523160510,64,62
1523161470,44,25
1523162412,56,82
1523163396,30,41
1523164351,37,59
1523165296,34,44
