DateTime,Entries,UniqueIPs
1522645966,68785,68785
1522646892,68791,68791
1522647865,68774,68774
1522648815,68726,68726
1522649802,68747,68747
1522650740,68727,68727
1522651709,68745,68745
1522652659,68739,68739
1522653629,68731,68731
1522654581,68695,68695
1522655544,68687,68687
1522656495,68688,68688
1522657481,68703,68703
1522658413,68697,68697
1522659382,68690,68690
1522660336,68672,68672
1522661317,68661,68661
1522662261,68665,68665
1522663728,68604,68604
1522664658,68650,68650
1522665629,68574,68574
1522666576,68525,68525
1522667541,68495,68495
1522668490,68471,68471
1522669474,68442,68442
1522670441,68381,68381
1522671377,68350,68350
1522672340,68288,68288
1522673311,68293,68293
1522674263,68247,68247
1522675216,68231,68231
1522676183,68256,68256
1522677139,68260,68260
1522678094,68269,68269
1522679075,68221,68221
1522680260,68247,68247
1522681225,68225,68225
1522682184,68215,68215
1522683148,68212,68212
1522684096,68213,68213
1522685084,68168,68168
1522686014,68175,68175
1522686980,68150,68150
1522688176,68156,68156
1522689657,68093,68093
1522690572,68097,68097
1522691553,68085,68085
1522692493,68080,68080
1522693467,68056,68056
1522694414,68063,68063
1522695396,68042,68042
1522696337,68043,68043
1522697301,68020,68020
1522698260,68035,68035
1522699285,68025,68025
1522700421,68019,68019
1522701373,68020,68020
1522702333,68005,68005
1522703312,67978,67978
1522704260,68275,68275
1522705218,68974,68974
1522706177,69530,69530
1522707150,67946,67946
1522708091,68008,68008
1522709677,67947,67947
1522710790,67956,67956
1522711941,67918,67918
1522712894,67893,67893
1522713885,67895,67895
1522715146,67897,67897
1522716269,67824,67824
1522717219,67855,67855
1522718186,67837,67837
1522719142,67791,67791
1522720095,67754,67754
1522721077,67758,67758
1522722012,67762,67762
1522722981,67744,67744
1522723934,67738,67738
1522724912,67744,67744
1522725857,67735,67735
1522726815,67738,67738
1522727791,67735,67735
1522728739,67743,67743
1522729691,67720,67720
1522730673,67700,67700
1522731621,67666,67666
1522732572,67674,67674
1522733548,67621,67621
1522734515,67598,67598
1522735458,67585,67585
1522736666,67565,67565
1522737753,67568,67568
1522738961,67557,67557
1522739997,67542,67542
1522741298,67512,67512
1522742483,67464,67464
1522743527,67462,67462
1522744582,67398,67398
1522745532,67407,67407
1522746501,67412,67412
1522747458,67399,67399
1522748415,67422,67422
1522749385,67425,67425
1522750353,67431,67431
1522751539,67425,67425
1522752497,67391,67391
1522753462,67396,67396
1522754414,67408,67408
1522755381,67456,67456
