DateTime,AddedIPs,RemovedIPs
1522645966,820,816
1522646892,574,571
1522647865,711,714
1522648815,185,183
1522649802,874,881
1522650740,590,584
1522651709,765,767
1522652659,445,434
1522653629,781,779
1522654581,642,641
1522655544,512,516
1522656495,674,680
1522657481,536,540
1522658413,397,395
1522659382,661,665
1522660336,657,654
1522661317,485,481
1522662261,590,593
1522663728,784,770
1522664658,574,572
1522665629,627,623
1522666576,519,520
1522667541,647,650
1522668490,582,590
1522669474,677,670
1522670441,604,601
1522671377,526,526
1522672340,572,573
1522673311,511,516
1522674263,574,575
1522675216,502,505
1522676183,721,716
1522677139,505,510
1522678094,733,728
1522679075,368,362
1522680260,1022,1030
1522681225,635,633
1522682184,481,484
1522683148,672,672
1522684096,587,581
1522685084,666,668
1522686014,423,426
1522686980,692,696
1522688176,848,845
1522689657,780,781
1522690572,679,681
1522691553,659,664
1522692493,600,609
1522693467,386,381
1522694414,871,868
1522695396,630,627
1522696337,607,601
1522697301,521,521
1522698260,693,695
1522699285,649,643
1522700421,600,604
1522701373,779,781
1522702333,511,513
1522703312,738,734
1522704260,465,461
1522705218,789,784
1522706177,592,587
1522707150,1992,2006
1522708091,869,872
1522709677,1081,1079
1522710790,731,728
1522711941,759,756
1522712894,608,610
1522713885,684,688
1522715146,775,775
1522716269,924,917
1522717219,530,526
1522718186,725,730
1522719142,576,577
1522720095,547,546
1522721077,561,557
1522722012,556,559
1522722981,785,785
1522723934,553,550
1522724912,671,672
1522725857,631,629
1522726815,838,839
1522727791,677,680
1522728739,538,537
1522729691,773,774
1522730673,717,717
1522731621,623,624
1522732572,495,501
1522733548,765,764
1522734515,640,642
1522735458,639,636
1522736666,494,496
1522737753,969,966
1522738961,788,780
1522739997,606,603
1522741298,1117,1119
1522742483,826,819
1522743527,578,575
1522744582,530,533
1522745532,654,655
1522746501,728,739
1522747458,367,376
1522748415,850,847
1522749385,524,520
1522750353,688,689
1522751539,662,663
1522752497,655,653
1522753462,707,707
1522754414,445,449
1522755381,790,788
1522756337,500,504
1522757297,679,661
1522758265,328,333
1522759213,749,744
1522760184,592,589
1522761141,565,565
1522762100,504,506
1522763057,768,767
1522764018,417,417
1522764985,733,733
1522765937,563,569
1522766895,579,576
1522767878,725,725
1522768814,391,388
1522769783,774,772
1522770732,535,539
1522772255,856,847
1522773385,944,947
1522775169,967,955
1522776265,409,405
1522777223,1000,997
1522778921,1026,1019
1522779957,400,406
1522780908,772,767
1522782002,671,672
1522782992,500,495
1522785474,1606,1616
1522786820,1002,994
1522787783,991,991
1522788737,424,424
1522789948,903,902
1522790895,484,483
1522791865,956,945
1522792822,609,597
1522794028,1985,2008
1522794989,878,888
1522796072,448,443
1522797233,762,751
1522798338,974,964
1522799307,673,671
1522800505,903,905
1522801724,408,406
1522802672,1070,1061
1522803659,391,381
1522804575,704,702
1522806081,855,862
1522807221,879,878
1522808173,499,502
1522809141,628,627
1522810093,723,725
1522811080,726,734
1522812015,624,625
1522812982,795,791
1522813933,525,516
1522814903,797,795
1522815867,373,376
1522816817,888,890
1522817778,375,384
1522818747,1005,1015
1522819694,298,297
1522820674,1056,1060
1522821894,709,705
1522822833,579,586
1522823783,788,786
1522824739,397,392
1522825878,1055,1049
1522827145,477,481
1522828347,972,967
1522829300,805,808
1522830261,391,396
1522831221,852,850
1522832176,523,520
1522833145,678,681
1522834092,595,599
1522835058,808,807
1522836027,673,679
1522836988,616,613
1522837939,627,635
1522838895,557,557
1522839866,773,771
1522840819,382,383
1522841778,808,815
1522842739,535,540
1522843708,833,833
1522844674,336,330
1522845613,856,865
1522846587,272,273
1522847784,1013,1005
1522848750,686,684
1522849693,548,544
1522850673,746,746
1522851629,514,516
1522852578,806,811
1522853531,536,534
1522854513,961,950
1522857847,1987,1999
1522859605,1026,1031
1522860743,668,668
1522861695,838,841
1522862663,410,414
1522863612,792,790
1522864835,901,902
1522865775,637,645
1522866740,400,396
1522867691,789,786
1522868669,622,624
1522869616,504,505
1522870591,637,641
1522871534,714,717
1522872501,704,697
1522873458,363,370
1522874656,1104,1110
1522875887,897,892
1522877814,1252,1246
1522878897,766,761
1522879970,1989,2012
1522881281,796,795
1522884012,1466,1460
1522885704,1203,1202
1522886697,756,756
1522887862,525,536
1522889082,1059,1060
1522891994,1820,1822
1522893136,680,679
1522894353,909,901
1522895538,739,740
1522896995,942,950
1522897959,859,860
1522900908,1860,1852
1522902018,567,572
1522903737,1258,1261
1522904687,692,686
1522905617,467,465
1522906595,643,644
1522907538,502,508
1522908499,741,746
1522909470,447,447
1522911404,1167,1163
1522912579,927,924
1522913545,618,618
1522915638,1455,1457
1522916964,623,623
1522917884,946,946
1522919060,764,765
1522920537,819,819
1522921709,776,783
1522922657,608,606
1522923871,503,494
1522924887,899,886
1522926266,943,939
1522927212,395,392
1522928190,686,682
1522929152,552,552
1522930356,831,833
1522931553,730,736
1522932743,589,588
1522933963,883,905
1522934893,403,397
1522935866,914,923
1522936844,578,560
1522937787,615,624
1522938743,358,349
1522939947,1092,1091
1522941150,752,752
1522942101,633,631
1522943060,642,648
1522944035,595,595
1522944993,502,506
1522945937,606,599
1522946898,566,564
1522947862,777,772
1522948818,451,452
1522949776,667,670
1522950734,626,627
1522951695,662,666
1522952674,585,585
1522953857,737,736
1522954836,640,638
1522955781,553,551
1522956810,618,620
1522957714,493,492
1522958755,605,608
1522959873,741,742
1522961326,742,738
1522962265,692,696
1522963217,398,394
1522964194,692,679
1522965863,1987,1998
1522966830,536,536
1522967791,619,619
1522968731,537,536
1522969703,769,771
1522970674,584,581
1522971611,478,485
1522972582,637,635
1522973551,719,714
1522974490,478,471
1522975454,722,717
1522976676,822,825
1522977611,519,518
1522978594,626,623
1522979539,536,530
1522980511,696,699
1522981474,680,684
1522982416,584,592
1522983371,414,417
1522984356,887,897
1522985543,693,686
1522986515,618,622
1522987474,675,675
1522988678,760,762
1522989613,663,659
1522990576,430,431
1522991551,700,697
1522992500,622,619
1522993457,645,652
1522994425,498,500
1522995371,627,632
1522996371,527,528
1522997294,652,651
1522998271,749,745
1522999213,489,487
1523000450,907,906
1523001370,556,557
1523002344,587,582
1523003298,705,702
1523004264,568,565
1523005236,508,509
1523006192,723,727
1523007134,385,385
1523008111,728,731
1523009060,654,657
1523010025,481,478
1523010991,760,762
1523011957,595,593
1523012900,683,685
1523013875,686,687
1523014812,549,550
1523015779,499,501
1523016743,640,634
1523017711,625,620
1523018657,508,511
1523019639,521,528
1523020583,576,585
1523021541,930,933
1523022738,782,778
1523023951,757,762
1523024894,617,609
1523025870,609,614
1523027552,1028,1033
1523028737,750,756
1523029711,588,590
1523030674,638,633
1523031871,735,727
1523032817,539,545
1523033788,485,491
1523034753,782,775
1523035698,643,642
1523036657,494,492
1523037644,663,652
1523038590,670,678
1523039555,554,550
1523040493,610,605
1523041462,701,702
1523042412,468,465
1523043395,783,782
1523044337,459,456
1523045297,619,618
1523046274,503,504
1523048123,1321,1327
1523049151,628,621
1523050094,642,634
1523051070,561,555
1523052049,511,507
1523052974,1980,2001
1523053936,584,580
1523055143,574,565
1523056116,721,719
1523057066,748,744
1523058013,605,596
1523058980,586,590
1523059955,585,583
1523060893,580,577
1523061855,665,663
1523062817,571,571
1523063802,507,505
1523064740,702,697
1523065693,482,479
1523066660,684,677
1523067620,645,644
1523068587,706,704
1523069535,363,366
1523070499,796,800
1523071475,597,599
1523072413,641,641
1523073388,672,672
1523074338,524,518
1523075308,558,559
1523076264,556,552
1523077237,614,598
1523078172,536,527
1523079161,656,651
1523080111,625,625
1523081065,685,696
1523082015,482,492
1523083004,620,623
1523083939,499,499
1523084910,572,579
1523085855,332,334
1523086825,820,816
1523087771,453,453
1523088743,697,696
1523089692,499,490
1523090670,564,562
1523091632,675,684
1523092571,423,425
1523093550,484,482
1523094744,955,955
1523095694,708,697
1523096672,533,536
1523097613,606,607
1523098578,482,483
1523099553,745,751
1523100742,688,696
1523101695,533,535
1523102689,666,683
1523103621,494,491
1523104573,630,620
1523105549,410,412
1523106499,864,852
1523107473,340,338
1523108412,845,848
1523109387,524,535
1523110360,582,587
1523111291,369,369
1523112255,768,774
1523113236,653,659
1523114187,577,583
1523115137,494,491
1523116094,534,538
1523117076,656,657
1523118020,473,477
1523118990,718,721
1523119949,568,573
1523120894,595,589
1523121869,617,615
1523122811,558,555
1523123786,630,630
1523124756,598,599
1523125696,583,583
1523126669,551,554
1523127635,635,641
1523128573,437,440
1523129557,726,741
1523130493,500,501
1523131461,667,669
1523132410,440,441
1523133393,613,613
1523134332,639,640
1523135294,532,532
1523136273,532,529
1523137218,593,589
1523138170,532,530
1523139152,1991,2003
1523140091,627,630
1523141064,529,527
1523142035,714,715
1523143966,1232,1239
1523144897,457,455
1523145883,596,601
1523146814,400,401
1523147792,672,669
1523148742,412,404
1523149702,723,723
1523150672,479,478
1523151861,919,919
1523152829,575,577
1523153789,583,583
1523154740,534,531
1523155710,510,507
1523156669,666,660
1523157624,459,463
1523158595,632,627
1523159541,409,411
1523160510,762,763
1523161470,613,619
1523162412,805,818
1523163396,421,419
1523164351,785,781
1523165296,542,542
