DateTime,Entries,UniqueIPs
1522645966,2280,2280
1522646892,2283,2283
1522647865,2280,2280
1522648815,2282,2282
1522649802,2275,2275
1522650740,2281,2281
1522651709,2279,2279
1522652659,2290,2290
1522653629,2292,2292
1522654581,2293,2293
1522655544,2289,2289
1522656495,2283,2283
1522657481,2279,2279
1522658413,2281,2281
1522659382,2277,2277
1522660336,2280,2280
1522661317,2284,2284
1522662261,2281,2281
1522663728,2295,2295
1522664658,2297,2297
1522665629,2301,2301
1522666576,2300,2300
1522667541,2297,2297
1522668490,2289,2289
1522669474,2296,2296
1522670441,2299,2299
1522671377,2299,2299
1522672340,2298,2298
1522673311,2293,2293
1522674263,2292,2292
1522675216,2289,2289
1522676183,2294,2294
1522677139,2289,2289
1522678094,2294,2294
1522679075,2300,2300
1522680260,2292,2292
1522681225,2294,2294
1522682184,2291,2291
1522683148,2291,2291
1522684096,2297,2297
1522685084,2295,2295
1522686014,2292,2292
1522686980,2288,2288
1522688176,2291,2291
1522689657,2290,2290
1522690572,2288,2288
1522691553,2283,2283
1522692493,2274,2274
1522693467,2279,2279
1522694414,2282,2282
1522695396,2285,2285
1522696337,2291,2291
1522697301,2291,2291
1522698260,2289,2289
1522699285,2295,2295
1522700421,2291,2291
1522701373,2289,2289
1522702333,2287,2287
1522703312,2291,2291
1522704260,2295,2295
1522705218,2300,2300
1522706177,2305,2305
1522707150,2291,2291
1522708091,2288,2288
1522709677,2290,2290
1522710790,2293,2293
1522711941,2296,2296
1522712894,2294,2294
1522713885,2290,2290
1522715146,2290,2290
1522716269,2297,2297
1522717219,2301,2301
1522718186,2296,2296
1522719142,2295,2295
1522720095,2296,2296
1522721077,2300,2300
1522722012,2297,2297
1522722981,2297,2297
1522723934,2300,2300
1522724912,2299,2299
1522725857,2301,2301
1522726815,2300,2300
1522727791,2297,2297
1522728739,2298,2298
1522729691,2297,2297
1522730673,2297,2297
1522731621,2296,2296
1522732572,2290,2290
1522733548,2291,2291
1522734515,2289,2289
1522735458,2292,2292
1522736666,2290,2290
1522737753,2293,2293
1522738961,2301,2301
1522739997,2304,2304
1522741298,2302,2302
1522742483,2309,2309
1522743527,2312,2312
1522744582,2309,2309
1522745532,2308,2308
1522746501,2297,2297
1522747458,2288,2288
1522748415,2291,2291
1522749385,2295,2295
1522750353,2294,2294
1522751539,2293,2293
1522752497,2295,2295
1522753462,2295,2295
1522754414,2291,2291
1522755381,2293,2293
1522756337,2289,2289
1522757297,2307,2307
1522758265,2302,2302
1522759213,2307,2307
1522760184,2310,2310
1522761141,2310,2310
1522762100,2308,2308
1522763057,2309,2309
1522764018,2309,2309
1522764985,2309,2309
1522765937,2303,2303
1522766895,2306,2306
1522767878,2306,2306
1522768814,2309,2309
1522769783,2311,2311
1522770732,2307,2307
1522772255,2316,2316
1522773385,2313,2313
1522775169,2325,2325
1522776265,2329,2329
1522777223,2332,2332
1522778921,2339,2339
1522779957,2333,2333
1522780908,2338,2338
1522782002,2337,2337
1522782992,2342,2342
1522785474,2332,2332
1522786820,2340,2340
1522787783,2340,2340
1522788737,2340,2340
1522789948,2341,2341
1522790895,2342,2342
1522791865,2353,2353
1522792822,2365,2365
1522794028,2342,2342
1522794989,2332,2332
1522796072,2337,2337
1522797233,2348,2348
1522798338,2358,2358
1522799307,2360,2360
1522800505,2358,2358
1522801724,2360,2360
1522802672,2369,2369
1522803659,2379,2379
1522804575,2381,2381
1522806081,2374,2374
1522807221,2375,2375
1522808173,2372,2372
1522809141,2373,2373
1522810093,2371,2371
1522811080,2363,2363
1522812015,2362,2362
1522812982,2366,2366
1522813933,2375,2375
1522814903,2377,2377
1522815867,2374,2374
1522816817,2372,2372
1522817778,2363,2363
1522818747,2353,2353
1522819694,2354,2354
1522820674,2350,2350
1522821894,2354,2354
1522822833,2347,2347
1522823783,2349,2349
1522824739,2354,2354
1522825878,2360,2360
1522827145,2356,2356
1522828347,2361,2361
1522829300,2358,2358
1522830261,2353,2353
1522831221,2355,2355
1522832176,2358,2358
1522833145,2355,2355
1522834092,2351,2351
1522835058,2352,2352
1522836027,2346,2346
1522836988,2349,2349
1522837939,2341,2341
1522838895,2341,2341
1522839866,2343,2343
1522840819,2342,2342
1522841778,2335,2335
1522842739,2330,2330
1522843708,2330,2330
1522844674,2336,2336
1522845613,2327,2327
1522846587,2326,2326
1522847784,2334,2334
1522848750,2336,2336
1522849693,2340,2340
1522850673,2340,2340
1522851629,2338,2338
1522852578,2333,2333
1522853531,2335,2335
1522854513,2346,2346
1522857847,2334,2334
1522859605,2329,2329
1522860743,2329,2329
1522861695,2326,2326
1522862663,2322,2322
1522863612,2324,2324
1522864835,2323,2323
1522865775,2315,2315
1522866740,2319,2319
1522867691,2322,2322
1522868669,2320,2320
1522869616,2319,2319
1522870591,2315,2315
1522871534,2312,2312
1522872501,2319,2319
1522873458,2312,2312
1522874656,2306,2306
1522875887,2311,2311
1522877814,2317,2317
1522878897,2322,2322
1522879970,2299,2299
1522881281,2300,2300
1522884012,2306,2306
1522885704,2307,2307
1522886697,2307,2307
1522887862,2296,2296
1522889082,2295,2295
1522891994,2293,2293
1522893136,2294,2294
1522894353,2302,2302
1522895538,2301,2301
1522896995,2293,2293
1522897959,2292,2292
1522900908,2300,2300
1522902018,2295,2295
1522903737,2292,2292
1522904687,2298,2298
1522905617,2300,2300
1522906595,2299,2299
1522907538,2293,2293
1522908499,2288,2288
1522909470,2288,2288
