DateTime,AddedIPs,RemovedIPs
1522641133,3,7
1522642098,8,14
1522643059,1,9
1522644020,6,10
1522645964,5,17
1522646890,0,4
1522647862,6,12
1522648813,8,8
1522649800,2,5
1522650738,3,12
1522651707,3,9
1522652657,9,8
1522653627,7,2
1522654579,7,6
1522655542,4,3
1522656494,2,8
1522657479,3,10
1522658411,5,3
1522659380,7,1
1522660334,3,5
1522661314,7,6
1522662259,6,1
1522663726,14,11
1522664655,3,4
1522665627,9,8
1522666574,4,2
1522667539,2,7
1522668488,5,7
1522669472,6,2
1522670439,4,5
1522671375,4,2
1522672338,5,5
1522673309,3,0
1522674261,4,7
1522675214,3,0
1522676181,9,1
1522677137,4,4
1522678093,5,2
1522679073,10,3
1522680258,5,2
1522681223,8,3
1522682181,4,2
1522683146,3,3
1522684094,4,1
1522685082,6,6
1522686012,5,2
1522686978,6,7
1522688174,5,6
1522689655,3,9
1522690570,2,2
1522691551,3,4
1522692492,4,0
1522693466,4,7
1522694412,5,0
1522695395,5,4
1522696334,3,3
1522697299,4,6
1522698258,6,0
1522699283,7,6
1522700419,6,0
1522701371,5,3
1522702332,1,2
1522703310,6,7
1522704258,5,2
1522705216,3,0
1522706175,4,0
1522707148,8,7
1522708089,5,5
1522709675,4,6
1522710788,5,10
1522711939,2,2
1522712892,4,0
1522713883,3,8
1522715144,2,4
1522716266,4,4
1522717217,5,4
1522718184,1,4
1522719140,3,1
1522720093,5,3
1522721075,7,3
1522722010,2,3
1522722979,3,9
1522723932,1,5
1522724910,6,2
1522725855,4,8
1522726813,6,0
1522727789,1,7
1522728737,9,3
1522729689,1,5
1522730670,5,3
1522731619,1,7
1522732570,5,2
1522733546,3,7
1522734511,2,6
1522735456,3,5
1522736664,6,2
1522737751,7,3
1522738959,11,4
1522739995,8,5
1522741296,8,9
1522742481,7,5
1522743526,3,4
1522744580,7,5
1522745530,4,8
1522746499,6,4
1522747456,3,1
1522748413,10,4
1522749383,3,8
1522750351,6,4
1522751537,3,10
1522752495,5,1
1522753459,6,4
1522754412,7,8
1522755379,9,4
1522756335,2,4
1522757295,11,7
1522758263,2,2
1522759211,6,4
1522760182,3,7
1522761140,6,3
1522762098,6,6
1522763054,8,7
