DateTime,Entries,UniqueIPs
1522644968,35722,35859
1522645964,35723,35860
1522646890,35714,35851
1522647862,35719,35856
1522648813,35715,35852
1522649800,35710,35847
1522650738,35705,35842
1522651707,35704,35841
1522652657,35709,35846
1522653627,35701,35838
1522654579,35702,35839
1522655542,35700,35837
1522656494,35691,35828
1522657479,35685,35821
1522658411,35687,35823
1522659380,35692,35828
1522660334,35687,35823
1522661314,35683,35819
1522662259,35674,35810
1522663726,35675,35811
1522664655,35671,35807
1522665627,35674,35810
1522666574,35671,35807
1522667539,35665,35801
1522668488,35663,35799
1522669472,35667,35803
1522670439,35663,35799
1522671375,35660,35796
1522672338,35656,35792
1522673309,35654,35790
1522674261,35650,35786
1522675214,35653,35789
1522676181,35649,35785
1522677137,35647,35783
1522678093,35648,35784
1522679073,35650,35786
1522680258,35645,35781
1522681223,35647,35783
1522682181,35647,35783
1522683146,35648,35784
1522684094,35645,35781
1522685082,35641,35777
1522686012,35642,35778
1522686978,35641,35777
1522688174,35638,35774
1522689655,35627,35763
1522690570,35622,35758
1522691551,35623,35759
1522692492,35620,35756
1522693466,35619,35755
1522694412,35619,35755
1522695395,35621,35757
1522696334,35618,35755
1522697299,35608,35745
1522698258,35612,35749
1522699283,35615,35752
1522700419,35616,35753
1522701371,35615,35752
1522702332,35609,35746
1522703310,35607,35744
1522704258,35604,35741
1522705216,35606,35743
1522706175,35603,35740
1522707148,35606,35744
1522708089,35603,35741
1522709675,35591,35729
1522710788,35594,35732
1522711939,35588,35726
1522712892,35583,35721
1522713883,35576,35714
1522715144,35551,35689
1522716266,35542,35680
1522717217,35524,35663
1522718184,35509,35648
1522719140,35493,35632
1522720093,35488,35627
1522721075,35486,35625
1522722010,35485,35624
1522722979,35477,35616
1522723932,35472,35611
1522724910,35470,35609
1522725855,35468,35607
1522726813,35464,35603
1522727789,35456,35595
1522728737,35463,35602
1522729689,35452,35591
1522730670,35452,35591
1522731619,35444,35583
1522732570,35444,35583
1522733546,35432,35571
1522734511,35429,35568
1522735456,35423,35562
1522736664,35414,35553
1522737751,35421,35560
1522738959,35421,35560
1522739995,35418,35557
1522741296,35420,35559
1522742481,35417,35556
1522743526,35410,35549
1522744580,35400,35540
1522745530,35404,35544
1522746499,35397,35537
1522747456,35400,35540
1522748413,35393,35534
1522749383,35396,35537
1522750351,35390,35531
1522751537,35387,35528
1522752495,35385,35526
1522753459,35389,35530
1522754412,35385,35527
1522755379,35391,35533
1522756335,35388,35530
1522757295,35393,35535
1522758263,35383,35525
1522759211,35385,35527
1522760182,35379,35520
1522761140,35383,35524
1522762098,35376,35517
1522763054,35375,35516
1522764016,35368,35509
1522764982,35372,35513
1522765936,35365,35506
1522766893,35355,35496
1522767876,35350,35490
1522768812,35352,35492
1522769780,35348,35488
1522770729,35342,35482
1522772252,35353,35494
1522773382,35353,35494
1522775167,35355,35497
1522776263,35360,35502
1522777221,35362,35504
1522778919,35358,35500
1522779956,35355,35497
1522780906,35355,35497
1522782000,35352,35495
1522782990,35353,35497
1522785472,35347,35491
1522786818,35355,35499
1522787781,35358,35502
1522788735,35356,35500
1522789946,35363,35507
1522790893,35345,35489
1522791864,35333,35477
1522792820,35306,35451
1522794026,35299,35444
1522794987,35288,35433
1522796069,35282,35427
1522797231,35269,35416
1522798336,35279,35431
1522799305,35277,35429
1522800503,35283,35436
1522801722,35276,35429
1522802670,35275,35428
1522803657,35271,35424
1522804574,35271,35425
1522806079,35261,35415
1522807219,35256,35410
1522808171,35251,35406
1522809139,35231,35386
1522810091,35229,35385
1522811078,35226,35382
1522812013,35225,35381
1522812981,35229,35385
1522813931,35226,35382
1522814902,35226,35382
1522815866,35221,35377
1522816815,35218,35375
1522817776,35211,35368
1522818745,35210,35367
1522819692,35209,35366
1522820672,35215,35372
1522821892,35215,35372
1522822831,35206,35365
1522823781,35202,35361
1522824737,35199,35358
1522825875,35203,35362
1522827143,35193,35352
1522828345,35194,35353
1522829298,35194,35352
1522830259,35196,35354
1522831219,35197,35355
1522832174,35190,35349
1522833143,35190,35349
1522834090,35178,35336
1522835056,35179,35334
1522836025,35180,35335
1522836986,35183,35338
1522837937,35182,35337
1522838893,35180,35335
1522839864,35171,35326
1522840817,35172,35328
1522841776,35168,35324
1522842737,35162,35318
1522843706,35156,35312
1522844672,35156,35312
1522845611,35155,35311
1522846585,35154,35310
1522847782,35160,35316
1522848748,35155,35312
1522849691,35158,35314
1522850671,35165,35322
1522851627,35157,35314
1522852576,35161,35318
1522853529,35159,35316
1522854511,35160,35317
1522857845,35132,35287
1522859603,35128,35283
1522860742,35128,35283
1522861693,35128,35283
1522862661,35127,35282
1522863610,35126,35281
1522864833,35116,35270
1522865773,35114,35268
1522866738,35115,35269
1522867689,35118,35272
1522868667,35116,35270
1522869614,35118,35272
1522870589,35109,35263
1522871532,35107,35261
1522872499,35108,35262
1522873456,35095,35249
1522874654,35095,35249
1522875885,35083,35237
1522877812,35083,35237
1522878895,35074,35228
1522879968,35067,35221
1522881278,35054,35207
1522884010,35046,35199
1522885702,35032,35186
1522886695,35022,35176
1522887860,35022,35176
1522889080,35003,35157
1522891992,34929,35083
1522893134,34919,35073
1522894351,34912,35066
1522895536,34901,35055
1522896993,34880,35034
1522897957,34876,35030
1522900905,34828,34982
1522902017,34825,34979
1522903735,34812,34966
1522904685,34806,34960
1522905615,34797,34951
1522906593,34794,34948
1522907536,34783,34937
1522908497,34777,34931
1522909468,34763,34917
1522911402,34749,34902
1522912577,34753,34906
1522913543,34734,34887
1522915636,34712,34865
1522916962,34698,34852
1522917882,34686,34840
1522919058,34686,34840
1522920534,34674,34828
1522921696,34666,34820
1522922655,34662,34816
1522923869,34643,34797
1522924885,34640,34794
1522926264,34648,34802
1522927210,34647,34801
1522928188,34645,34799
1522929149,34634,34788
1522930354,34621,34773
1522931551,34598,34750
1522932741,34575,34727
1522933961,34564,34716
1522934891,34550,34702
1522935864,34545,34697
1522936842,34521,34672
1522937785,34511,34662
1522938741,34507,34658
1522939945,34502,34653
1522941148,34494,34645
1522942099,34473,34624
1522943058,34471,34622
1522944033,34460,34611
1522944991,34452,34603
1522945935,34432,34582
1522946897,34424,34574
1522947860,34416,34564
1522948816,34401,34549
1522949774,34386,34534
1522950732,34379,34527
1522951693,34354,34500
1522952672,34341,34487
1522953855,34337,34483
1522954834,34324,34470
1522955779,34319,34465
1522956808,34308,34454
1522957712,34290,34436
1522958753,34294,34440
1522959871,34263,34409
1522961324,34263,34409
1522962264,34246,34392
1522963215,34227,34373
1522964192,34217,34363
1522965861,34207,34353
1522966828,34183,34329
1522967789,34189,34335
1522968729,34186,34332
1522969700,34176,34322
1522970672,34151,34297
1522971609,34156,34302
1522972580,34150,34296
1522973549,34122,34268
1522974488,34123,34269
1522975451,34085,34231
1522976675,34037,34183
1522977609,34026,34172
1522978592,34006,34152
1522979537,33981,34127
1522980509,33964,34110
1522981472,33942,34088
1522982414,33930,34076
1522983369,33902,34048
1522984354,33897,34044
1522985541,33877,34024
1522986512,33857,34005
1522987472,33839,33987
1522988676,33838,33986
1522989610,33828,33976
1522990574,33813,33961
1522991549,33804,33952
1522992498,33789,33937
1522993455,33780,33928
1522994423,33774,33922
1522995369,33759,33907
1522996369,33740,33888
1522997292,33742,33890
1522998269,33724,33873
1522999211,33720,33868
1523000448,33697,33846
1523001368,33703,33852
1523002342,33694,33843
1523003296,33687,33836
1523004261,33655,33804
1523005234,33659,33808
1523006190,33630,33779
1523007132,33639,33788
1523008109,33606,33755
1523009058,33610,33759
1523010023,33614,33763
