DateTime,AddedIPs,RemovedIPs
1522644968,0,3
1522645964,5,7
1522646890,0,2
1522647862,6,7
1522648813,8,6
1522649800,2,5
1522650738,3,2
1522651707,3,3
1522652657,9,4
1522653627,7,5
1522654579,7,6
1522655542,4,3
1522656494,2,5
1522657479,3,4
1522658411,5,5
1522659380,7,8
1522660334,3,4
1522661314,7,1
1522662259,6,4
1522663726,14,8
1522664655,3,4
1522665627,9,10
1522666574,4,1
1522667539,2,4
1522668488,5,8
1522669472,6,4
1522670439,4,4
1522671375,4,7
1522672338,5,2
1522673309,3,4
1522674261,4,7
1522675214,3,3
1522676181,9,6
1522677137,4,7
1522678093,5,4
1522679073,10,4
1522680258,5,10
1522681223,8,2
1522682181,4,6
1522683146,3,6
1522684094,4,4
1522685082,6,4
1522686012,5,9
1522686978,6,10
1522688174,5,3
1522689655,3,5
1522690570,2,5
1522691551,3,3
1522692492,4,9
1522693466,4,1
1522694412,5,2
1522695395,5,4
1522696334,3,5
1522697299,4,4
1522698258,6,5
1522699283,7,5
1522700419,6,11
1522701371,5,2
1522702332,1,3
1522703310,6,4
1522704258,5,5
1522705216,3,2
1522706175,4,3
1522707148,8,9
1522708089,5,6
1522709675,4,3
1522710788,5,3
1522711939,2,3
1522712892,4,1
1522713883,3,5
1522715144,2,2
1522716266,4,3
1522717217,5,2
1522718184,1,6
1522719140,3,4
1522720093,5,4
1522721075,7,3
1522722010,2,5
1522722979,3,2
1522723932,1,1
1522724910,6,7
1522725855,4,0
1522726813,6,6
1522727789,1,1
1522728737,9,5
1522729689,1,3
1522730670,5,5
1522731619,1,2
1522732570,5,9
1522733546,3,5
1522734511,2,5
1522735456,3,2
1522736664,6,4
1522737751,7,3
1522738959,11,5
1522739995,8,5
1522741296,8,10
1522742481,7,6
1522743526,3,4
1522744580,7,8
1522745530,4,3
1522746499,6,7
1522747456,3,8
1522748413,10,4
1522749383,3,2
1522750351,6,9
1522751537,3,4
1522752495,5,5
1522753459,6,6
1522754412,7,4
1522755379,9,5
1522756335,2,2
1522757295,11,7
1522758263,2,6
1522759211,6,7
1522760182,3,2
1522761140,6,7
1522762098,6,2
1522763054,8,5
1522764016,4,3
1522764982,11,8
1522765936,2,5
1522766893,3,2
1522767876,3,7
1522768812,6,2
1522769780,2,4
1522770729,4,6
1522772252,15,7
1522773382,9,4
1522775167,15,7
1522776263,9,6
1522777221,9,4
1522778919,8,6
1522779956,4,7
1522780906,10,4
1522782000,6,5
1522782990,9,5
1522785472,11,18
1522786818,10,7
1522787781,7,4
1522788735,2,2
1522789946,12,14
1522790893,0,3
1522791864,6,6
1522792820,6,1
1522794026,10,8
1522794987,5,8
1522796069,4,1
1522797231,11,8
1522798336,15,3
1522799305,7,5
1522800503,14,11
1522801722,6,5
1522802670,8,5
1522803657,10,2
1522804574,8,4
1522806079,6,8
1522807219,10,6
1522808171,7,9
1522809139,1,10
1522810091,9,5
1522811078,3,6
1522812013,8,6
1522812981,11,6
1522813931,4,4
1522814902,9,10
1522815866,2,8
1522816815,6,11
1522817776,1,9
1522818745,4,6
1522819692,2,0
1522820672,10,11
1522821892,8,5
1522822831,2,4
1522823781,5,7
1522824737,4,2
1522825875,7,10
1522827143,5,8
1522828345,5,3
1522829298,4,4
1522830259,5,10
1522831219,5,5
1522832174,4,5
1522833143,6,9
1522834090,1,2
1522835056,8,10
1522836025,4,3
1522836986,8,4
1522837937,3,5
1522838893,1,4
1522839864,2,4
1522840817,5,6
1522841776,3,8
1522842737,3,5
1522843706,5,3
1522844672,6,3
1522845611,5,15
1522846585,5,6
1522847782,8,3
1522848748,6,7
1522849691,7,4
1522850671,13,15
1522851627,0,3
1522852576,7,4
1522853529,6,4
1522854511,14,5
1522857845,13,20
1522859603,10,16
1522860742,4,7
1522861693,5,11
1522862661,2,3
1522863610,7,3
1522864833,6,3
1522865773,3,12
1522866738,7,4
1522867689,3,3
1522868667,2,10
1522869614,8,9
1522870589,4,7
1522871532,3,4
1522872499,7,4
1522873456,5,9
1522874654,5,3
1522875885,7,7
1522877812,6,14
1522878895,1,2
1522879968,4,13
1522881278,4,3
1522884010,15,9
1522885702,8,10
1522886695,6,2
1522887860,5,8
1522889080,10,12
1522891992,8,13
1522893134,5,5
1522894351,8,7
1522895536,3,1
1522896993,5,12
1522897957,5,7
1522900905,13,10
1522902017,4,2
1522903735,8,8
1522904685,5,2
1522905615,3,3
1522906593,6,6
1522907536,3,7
1522908497,4,6
1522909468,3,2
1522911402,9,5
1522912577,9,8
1522913543,2,6
1522915636,8,14
1522916962,6,6
1522917882,4,3
1522919058,10,4
1522920534,7,4
1522921696,1,7
1522922655,5,7
1522923869,8,3
1522924885,13,4
1522926264,15,8
1522927210,6,4
1522928188,8,1
1522929149,4,5
1522930354,3,9
1522931551,4,8
1522932741,6,1
1522933961,3,11
1522934891,8,2
1522935864,5,6
1522936842,11,5
1522937785,8,18
1522938741,6,4
1522939945,4,8
1522941148,10,5
1522942099,5,2
1522943058,4,8
1522944033,2,3
1522944991,6,7
1522945935,7,5
1522946897,3,4
1522947860,6,4
1522948816,1,1
1522949774,5,5
1522950732,5,4
1522951693,6,8
1522952672,5,7
1522953855,6,4
1522954834,5,3
1522955779,4,2
1522956808,1,3
1522957712,7,7
1522958753,4,4
1522959871,4,4
1522961324,7,5
1522962264,3,6
1522963215,3,5
1522964192,5,1
1522965861,6,8
1522966828,7,4
1522967789,6,8
1522968729,4,2
1522969700,3,2
1522970672,5,1
1522971609,5,9
1522972580,2,4
1522973549,5,6
1522974488,1,0
1522975451,7,2
1522976675,4,4
1522977609,6,4
1522978592,5,2
1522979537,2,1
1522980509,4,8
1522981472,2,4
1522982414,5,7
1522983369,0,2
1522984354,2,3
1522985541,6,2
1522986512,4,6
1522987472,2,4
1522988676,6,8
1522989610,6,4
1522990574,2,3
1522991549,3,6
1522992498,2,0
1522993455,6,13
1522994423,4,6
1522995369,4,6
1522996369,2,4
1522997292,10,6
1522998269,4,3
1522999211,7,5
1523000448,7,4
1523001368,6,3
1523002342,9,6
1523003296,3,4
1523004261,7,4
1523005234,4,6
1523006190,5,6
1523007132,9,6
1523008109,5,3
1523009058,4,8
1523010023,8,5
1523010979,2,8
1523011955,7,5
1523012898,5,5
1523013873,4,3
1523014810,2,6
1523015777,3,2
1523016741,7,5
1523017709,3,5
1523018654,4,9
1523019637,2,6
1523020581,7,14
1523021539,8,6
1523022736,3,2
1523023949,7,8
1523024892,7,2
1523025867,4,8
1523027550,6,6
1523028735,7,9
1523029691,3,8
1523030672,4,3
1523031869,10,4
1523032815,4,7
1523033786,3,7
1523034751,5,1
1523035696,3,3
1523036656,4,5
1523037642,8,2
1523038588,3,8
1523039553,7,3
1523040491,5,2
1523041459,6,4
1523042411,6,2
1523043392,8,3
1523044335,3,1
1523045295,8,5
1523046272,3,3
1523048121,8,14
1523049149,8,2
1523050093,4,3
1523051067,4,4
1523052047,2,6
1523052972,7,4
1523053934,5,2
1523055141,8,3
1523056115,6,3
1523057065,8,5
1523058011,6,0
1523058978,5,6
1523059954,9,8
1523060890,6,2
1523061852,6,4
1523062815,7,0
1523063800,8,4
1523064738,7,5
1523065691,3,0
1523066658,7,3
1523067619,5,5
1523068577,7,3
1523069533,2,0
1523070497,5,1
1523071472,0,3
1523072411,5,2
1523073386,7,3
1523074336,7,6
1523075306,3,3
1523076262,6,6
1523077219,4,2
1523078170,9,5
1523079159,3,5
1523080094,5,1
1523081063,8,16
1523082014,2,7
1523083002,3,6
1523083937,5,2
1523084908,4,7
1523085853,5,6
1523086823,4,4
1523087769,4,4
1523088742,12,11
1523089690,7,4
1523090668,3,5
1523091614,0,7
1523092569,5,7
1523093548,5,2
1523094742,6,6
1523095692,8,3
1523096670,1,3
1523097611,5,5
1523098576,2,4
1523099551,5,6
1523100740,2,6
1523101693,3,2
1523102687,4,6
1523103619,7,4
1523104571,4,3
1523105548,4,5
1523106496,3,9
1523107471,2,6
1523108410,4,6
1523109385,3,10
1523110358,3,8
1523111289,5,7
1523112253,2,4
1523113234,2,2
1523114185,6,6
1523115135,0,5
1523116092,1,3
1523117074,2,4
1523118018,3,8
1523118988,7,9
1523119946,3,10
1523120893,6,5
1523122810,7,4
1523123784,4,5
1523124755,7,4
1523125694,3,5
1523126667,2,4
1523127633,2,6
1523128572,3,6
1523129555,3,15
1523130491,2,1
1523131459,5,7
1523132408,3,4
1523133391,4,9
1523134330,0,6
1523135292,3,7
1523136271,3,4
1523137216,6,3
1523138168,4,3
1523139150,5,5
1523140090,2,3
1523141063,5,5
1523142033,4,6
1523143964,5,6
1523144895,10,4
1523145882,2,6
1523146813,3,5
1523147790,5,6
1523148739,7,3
1523149700,3,5
1523150671,4,5
1523151859,4,3
1523152827,7,6
1523153787,6,3
1523154738,10,4
1523155709,5,2
1523156667,0,1
1523157622,1,5
1523158593,3,3
1523159539,1,4
1523160507,6,7
1523161458,6,5
1523162410,3,9
1523163394,6,7
1523164349,6,2
1523165294,5,7
