DateTime,Entries,UniqueIPs
1522645966,75199,86894
1522646892,75221,86923
1522647865,75209,86925
1522648815,75165,86888
1522649802,75195,86925
1522650740,75170,86898
1522651709,75202,86945
1522652659,75194,86937
1522653629,75193,86942
1522654581,75149,86913
1522655544,75145,86920
1522656495,75154,86935
1522657481,75159,86934
1522658413,75134,86922
1522659382,75105,86894
1522660336,75086,86883
1522661317,75059,86853
1522662261,75063,86864
1522663728,74955,86763
1522664658,74999,86828
1522665629,74902,86726
1522666576,74846,86667
1522667541,74815,86636
1522668490,74774,86594
1522669474,74726,86545
1522670441,74664,86468
1522671377,74608,86368
1522672340,74550,86303
1522673311,74555,86314
1522674263,74491,86231
1522675216,74474,86205
1522676183,74497,86231
1522677139,74501,86237
1522678094,74504,86247
1522679075,74445,86170
1522680260,74497,86237
1522681225,74472,86217
1522682184,74467,86214
1522683148,74464,86206
1522684096,74462,86207
1522685084,74421,86175
1522686014,74419,86173
1522686980,74404,86162
1522688176,74407,86166
1522689657,74351,86112
1522690572,74371,86147
1522691553,74357,86137
1522692493,74352,86128
1522693467,74327,86095
1522694414,74351,86126
1522695396,74323,86084
1522696337,74331,86099
1522697301,74303,86060
1522698260,74320,86085
1522699285,74299,86062
1522700421,74280,86038
1522701373,74276,86031
1522702333,74257,86022
1522703312,74240,86036
1522704260,74571,86387
1522705218,75264,87087
1522706177,75832,87675
1522707150,74231,86060
1522708091,74300,86139
1522709677,74248,86086
1522710790,74257,86100
1522711941,74211,86036
1522712894,74197,86030
1522713885,74199,85995
1522715146,74196,85977
1522716269,74106,85880
1522717219,74137,85916
1522718186,74127,85905
1522719142,74082,85871
1522720095,74041,85823
1522721077,74051,85809
1522722012,74052,85776
1522722981,74043,85779
1522723934,74041,85782
1522724912,74027,85757
1522725857,74014,85733
1522726815,74014,85754
1522727791,74005,85731
1522728739,74012,85733
1522729691,73996,85714
1522730673,73974,85704
1522731621,73940,85672
1522732572,73943,85675
1522733548,73893,85624
1522734515,73867,85598
1522735458,73858,85593
1522736666,73838,85561
1522737753,73840,85580
1522738961,73819,85557
1522739997,73811,85545
1522741298,73781,85514
1522742483,73721,85454
1522743527,73721,85453
1522744582,73654,85373
1522745532,73673,85409
1522746501,73672,85411
1522747458,73662,85390
1522748415,73678,85406
1522749385,73681,85421
1522750353,73683,85414
1522751539,73676,85408
1522752497,73643,85376
1522753462,73648,85378
1522754414,73636,85321
1522755381,73686,85387
1522756337,73678,85384
1522757297,73666,85359
1522758265,73612,85274
1522759213,73659,85331
1522760184,73589,85248
1522761141,73615,85281
1522762100,73555,85200
1522763057,73600,85267
1522764018,73505,85173
1522764985,73556,85233
1522765937,73526,85193
1522766895,73511,85202
1522767878,73461,85149
1522768814,73494,85186
1522769783,73439,85125
1522770732,73456,85204
1522772255,73408,85146
1522773385,73413,85185
1522775169,73375,85169
1522776265,73366,85139
1522777223,73354,85162
1522778921,73328,85131
1522779957,73298,85088
1522780908,73277,85113
1522782002,73252,85098
1522782992,73252,85096
1522785474,73137,84998
1522786820,73160,85033
1522787783,73175,85058
1522788737,73146,85062
1522789948,73141,85075
1522790895,73494,85447
1522791865,74367,86330
1522792822,73504,85422
1522794028,73552,85523
1522794989,73553,85514
1522796072,73519,85470
1522797233,73535,85480
1522798338,73495,85408
1522799307,73538,85465
1522800505,73533,85451
1522801724,73477,85384
1522802672,73496,85414
1522803659,73468,85384
1522804575,73496,85430
1522806081,73494,85419
1522807221,73511,85440
1522808173,73506,85428
1522809141,73484,85399
1522810093,73474,85391
1522811080,73517,85451
1522812015,73515,85458
1522812982,73506,85452
1522813933,73479,85424
1522814903,73491,85457
1522815867,73452,85406
1522816817,73438,85389
1522817778,73464,85422
1522818747,73459,85454
1522819694,73404,85391
1522820674,73393,85381
1522821894,73436,85440
1522822833,73393,85412
1522823783,73393,85409
1522824739,73406,85425
1522825878,73364,85418
1522827145,73355,85417
1522828347,73281,85342
1522829300,73313,85397
1522830261,73267,85346
1522831221,73275,85351
1522832176,73303,85387
1522833145,73294,85381
1522834092,73272,85342
1522835058,73317,85401
1522836027,73333,85425
1522836988,73241,85301
1522837939,73276,85336
1522838895,73306,85375
1522839866,73277,85328
1522840819,73249,85298
1522841778,73258,85301
1522842739,73205,85252
1522843708,73263,85316
1522844674,73230,85283
1522845613,73224,85290
1522846587,73169,85229
1522847784,73171,85243
1522848750,73161,85223
1522849693,73151,85218
1522850673,73126,85196
1522851629,73104,85171
1522852578,73149,85231
1522853531,73167,85243
1522854513,73135,85204
1522857847,73101,85166
1522859605,73065,85113
1522860743,73095,85146
1522861695,73073,85130
1522862663,73003,85044
1522863612,73013,85041
1522864835,72973,85000
1522865775,72984,85027
1522866740,72922,84960
1522867691,72847,84905
1522868669,72760,84827
1522869616,72734,84797
1522870591,72738,84782
1522871534,72748,84793
1522872501,72733,84779
1522873458,72684,84738
1522874656,72716,84774
1522875887,72697,84762
1522877814,73564,85645
1522878897,72775,84849
1522879970,72837,84930
1522881281,72800,84875
1522884012,72843,84934
1522885704,72852,84958
1522886697,72814,84913
1522887862,72787,84853
1522889082,72806,84893
1522891994,72764,84788
1522893136,72753,84766
1522894353,72735,84732
1522895538,72740,84727
1522896995,72759,84767
1522897959,72756,84766
1522900908,72741,84800
1522902018,72699,84757
1522903737,72725,84800
1522904687,72695,84770
1522905617,72688,84770
1522906595,72655,84739
1522907538,72668,84783
1522908499,72637,84747
1522909470,72639,84746
1522911404,72587,84702
1522912579,72548,84667
1522913545,72557,84666
1522915638,72544,84682
1522916964,72564,84703
1522917884,72591,84740
1522919060,72594,84749
1522920537,72576,84728
1522921709,72584,84762
1522922657,72566,84760
1522923871,72559,84730
1522924887,72575,84774
1522926266,72565,84760
1522927212,72547,84741
1522928190,72553,84752
1522929152,72545,84734
1522930356,72567,84777
1522931553,72568,84779
1522932743,72585,84808
1522933963,72584,84808
1522934893,72610,84838
1522935866,72593,84828
1522936844,72534,84777
1522937787,72566,84820
1522938743,72554,84814
1522939947,72516,84801
1522941150,72531,84814
1522942101,72515,84804
1522943060,72521,84809
1522944035,72485,84766
1522944993,72492,84787
1522945937,72456,84751
1522946898,72456,84758
1522947862,72446,84762
1522948818,72423,84736
1522949776,72430,84750
1522950734,72405,84729
1522951695,72417,84745
1522952674,72420,84761
1522953857,72447,84794
1522954836,72443,84777
1522955781,72433,84780
1522956810,72425,84762
1522957714,72391,84747
1522958755,72378,84724
1522959873,72390,84727
1522961326,72299,84550
1522962265,72282,84541
1522963217,72583,84853
1522964194,73134,85364
1522965863,71322,83513
1522966830,71295,83475
1522967791,71214,83403
1522968731,71242,83453
1522969703,71298,83547
1522970674,71283,83541
1522971611,71257,83525
1522972582,71238,83531
1522973551,71214,83554
1522974490,71239,83584
1522975454,71229,83586
1522976676,71196,83530
1522977611,71194,83530
1522978594,71196,83539
1522979539,71189,83540
1522980511,71171,83533
1522981474,71159,83519
1522982416,71155,83517
1522983371,71123,83484
1522984356,71146,83524
1522985543,71120,83495
1522986515,71160,83563
1522987474,71116,83509
1522988678,71142,83551
1522989613,71103,83493
1522990576,71082,83478
1522991551,71082,83483
1522992500,71045,83451
1522993457,71043,83461
1522994425,71015,83428
1522995371,71012,83442
1522996371,70968,83389
1522997294,70965,83390
1522998271,70917,83278
1522999213,70940,83299
1523000450,70882,83230
1523001370,70843,83196
1523002344,70846,83209
1523003298,70866,83230
1523004264,70848,83190
1523005236,70827,83170
1523006192,70834,83179
1523007134,70806,83147
1523008111,70841,83198
1523009060,70843,83213
1523010025,70868,83252
1523010991,70847,83231
1523011957,70836,83229
1523012900,70837,83234
1523013875,70841,83238
1523014812,70828,83226
1523015779,70813,83143
1523016743,70756,83089
1523017711,70721,83066
1523018657,70698,83067
1523019639,70666,83042
1523020583,70678,83057
1523021541,70681,83065
1523022738,70699,83108
1523023951,70709,83122
1523024894,70709,83123
1523025870,70706,83113
1523027552,70724,83128
1523028737,70755,83165
1523029711,70673,83087
1523030674,70664,83070
1523031871,70633,83050
1523032817,70680,83105
1523033788,70634,83056
1523034753,70675,83104
1523035698,70626,83046
1523036657,70666,83088
1523037644,70617,83045
1523038590,70628,83054
1523039555,70638,83059
1523040493,70674,83109
1523041462,70669,83066
1523042412,70688,83093
1523043395,70721,83115
1523044337,70751,83146
1523045297,70743,83097
1523046274,70689,83030
1523048123,70723,83078
1523049151,70907,83262
