DateTime,AddedIPs,RemovedIPs
1522645966,823,823
1522646892,581,581
1522647865,713,713
1522648815,178,178
1522649802,882,882
1522650740,593,593
1522651709,771,771
1522652659,438,438
1522653629,780,780
1522654581,642,642
1522655544,516,516
1522656495,678,678
1522657481,541,541
1522658413,395,395
1522659382,666,666
1522660336,658,658
1522661317,487,487
1522662261,594,594
1522663728,775,775
1522664658,577,577
1522665629,622,622
1522666576,520,520
1522667541,652,652
1522668490,585,585
1522669474,672,672
1522670441,606,606
1522671377,525,525
1522672340,575,575
1522673311,514,514
1522674263,574,574
1522675216,508,508
1522676183,719,719
1522677139,508,508
1522678094,731,731
1522679075,360,360
1522680260,1033,1033
1522681225,634,634
1522682184,480,480
1522683148,676,676
1522684096,585,585
1522685084,671,671
1522686014,423,423
1522686980,691,691
1522688176,851,851
1522689657,789,789
1522690572,679,679
1522691553,666,666
1522692493,608,608
1522693467,384,384
1522694414,875,875
1522695396,632,632
1522696337,606,606
1522697301,521,521
1522698260,694,694
1522699285,648,648
1522700421,597,597
1522701373,782,782
1522702333,512,512
1522703312,739,739
1522704260,461,461
1522705218,786,786
1522706177,588,588
1522707150,2000,2000
1522708091,872,872
1522709677,1082,1082
1522710790,733,733
1522711941,760,760
1522712894,612,612
1522713885,689,689
1522715146,779,779
1522716269,924,924
1522717219,528,528
1522718186,730,730
1522719142,576,576
1522720095,545,545
1522721077,557,557
1522722012,558,558
1522722981,787,787
1522723934,552,552
1522724912,670,670
1522725857,632,632
1522726815,836,836
1522727791,684,684
1522728739,535,535
1522729691,777,777
1522730673,718,718
1522731621,629,629
1522732572,495,495
1522733548,765,765
1522734515,644,644
1522735458,641,641
1522736666,494,494
1522737753,970,970
1522738961,783,783
1522739997,605,605
1522741298,1117,1117
1522742483,821,821
1522743527,577,577
1522744582,526,526
1522745532,654,654
1522746501,737,737
1522747458,368,368
1522748415,850,850
1522749385,526,526
1522750353,690,690
1522751539,666,666
1522752497,657,657
1522753462,711,711
1522754414,447,447
1522755381,790,790
1522756337,509,509
1522757297,671,671
1522758265,330,330
1522759213,748,748
1522760184,593,593
1522761141,564,564
1522762100,507,507
1522763057,765,765
1522764018,419,419
1522764985,732,732
1522765937,570,570
1522766895,581,581
1522767878,728,728
1522768814,390,390
1522769783,778,778
1522770732,535,535
1522772255,852,852
1522773385,948,948
1522775169,962,962
1522776265,406,406
1522777223,1002,1002
1522778921,1029,1029
1522779957,403,403
1522780908,768,768
1522782002,676,676
1522782992,497,497
1522785474,1618,1618
1522786820,1003,1003
1522787783,998,998
1522788737,427,427
1522789948,901,901
1522790895,484,484
1522791865,950,950
1522792822,603,603
1522794028,2000,2000
1522794989,886,886
1522796072,446,446
1522797233,762,762
1522798338,973,973
1522799307,674,674
1522800505,910,910
1522801724,406,406
1522802672,1071,1071
1522803659,385,385
1522804575,706,706
1522806081,864,864
1522807221,880,880
1522808173,500,500
1522809141,630,630
1522810093,726,726
1522811080,741,741
1522812015,623,623
1522812982,796,796
1522813933,526,526
1522814903,796,796
1522815867,378,378
1522816817,890,890
1522817778,379,379
1522818747,1018,1018
1522819694,299,299
1522820674,1062,1062
1522821894,714,714
1522822833,589,589
1522823783,790,790
1522824739,397,397
1522825878,1057,1057
1522827145,477,477
1522828347,973,973
1522829300,812,812
1522830261,390,390
1522831221,853,853
1522832176,521,521
1522833145,678,678
1522834092,603,603
1522835058,804,804
1522836027,679,679
1522836988,617,617
1522837939,635,635
1522838895,558,558
1522839866,778,778
1522840819,384,384
1522841778,816,816
1522842739,539,539
1522843708,841,841
1522844674,333,333
1522845613,860,860
1522846587,268,268
1522847784,1019,1019
1522848750,685,685
1522849693,544,544
1522850673,738,738
1522851629,519,519
1522852578,812,812
1522853531,534,534
1522854513,953,953
1522857847,2000,2000
1522859605,1027,1027
1522860743,671,671
1522861695,840,840
1522862663,415,415
1522863612,794,794
1522864835,909,909
1522865775,642,642
1522866740,398,398
1522867691,793,793
1522868669,624,624
1522869616,501,501
1522870591,641,641
1522871534,717,717
1522872501,701,701
1522873458,365,365
1522874656,1116,1116
1522875887,897,897
1522877814,1247,1247
1522878897,765,765
1522879970,2000,2000
1522881281,799,799
1522884012,1462,1462
1522885704,1203,1203
1522886697,759,759
1522887862,530,530
1522889082,1060,1060
1522891994,1831,1831
1522893136,679,679
1522894353,907,907
1522895538,744,744
1522896995,943,943
1522897959,861,861
1522900908,1857,1857
1522902018,572,572
1522903737,1259,1259
1522904687,693,693
1522905617,467,467
1522906595,643,643
1522907538,503,503
1522908499,748,748
1522909470,446,446
1522911404,1172,1172
1522912579,924,924
1522913545,620,620
1522915638,1455,1455
1522916964,622,622
1522917884,948,948
1522919060,766,766
1522920537,820,820
1522921709,783,783
1522922657,613,613
1522923871,498,498
1522924887,889,889
1522926266,939,939
1522927212,391,391
1522928190,683,683
1522929152,551,551
1522930356,835,835
1522931553,732,732
1522932743,589,589
1522933963,903,903
1522934893,399,399
1522935866,924,924
1522936844,577,577
1522937787,609,609
1522938743,354,354
1522939947,1099,1099
1522941150,752,752
1522942101,635,635
1522943060,646,646
1522944035,597,597
1522944993,505,505
1522945937,605,605
1522946898,565,565
1522947862,776,776
1522948818,455,455
1522949776,670,670
1522950734,625,625
1522951695,664,664
1522952674,586,586
1522953857,740,740
1522954836,638,638
1522955781,556,556
1522956810,627,627
1522957714,490,490
1522958755,607,607
1522959873,746,746
1522961326,746,746
1522962265,695,695
1522963217,395,395
1522964194,687,687
1522965863,2000,2000
1522966830,534,534
1522967791,619,619
1522968731,538,538
1522969703,776,776
1522970674,585,585
1522971611,480,480
1522972582,638,638
1522973551,717,717
1522974490,479,479
1522975454,719,719
1522976676,825,825
1522977611,517,517
1522978594,626,626
1522979539,534,534
1522980511,696,696
1522981474,684,684
1522982416,585,585
1522983371,417,417
1522984356,899,899
1522985543,694,694
1522986515,618,618
1522987474,683,683
1522988678,763,763
1522989613,662,662
1522990576,433,433
1522991551,701,701
1522992500,623,623
1522993457,647,647
1522994425,497,497
1522995371,629,629
1522996371,529,529
1522997294,651,651
1522998271,749,749
1522999213,486,486
1523000450,911,911
1523001370,557,557
1523002344,581,581
1523003298,708,708
1523004264,568,568
1523005236,508,508
1523006192,727,727
1523007134,382,382
1523008111,732,732
1523009060,656,656
1523010025,479,479
1523010991,764,764
1523011957,596,596
1523012900,689,689
1523013875,689,689
1523014812,553,553
1523015779,504,504
1523016743,637,637
1523017711,626,626
1523018657,505,505
1523019639,527,527
1523020583,573,573
1523021541,932,932
1523022738,788,788
1523023951,758,758
1523024894,616,616
1523025870,612,612
1523027552,1038,1038
1523028737,753,753
1523029711,590,590
1523030674,643,643
1523031871,731,731
1523032817,546,546
1523033788,490,490
1523034753,783,783
1523035698,645,645
1523036657,494,494
1523037644,659,659
1523038590,674,674
1523039555,550,550
1523040493,609,609
1523041462,704,704
1523042412,467,467
1523043395,783,783
1523044337,463,463
1523045297,619,619
1523046274,507,507
1523048123,1330,1330
1523049151,627,627
1523050094,638,638
1523051070,557,557
1523052049,511,511
1523052974,2000,2000
1523053936,582,582
1523055143,572,572
1523056116,725,725
1523057066,747,747
1523058013,603,603
1523058980,590,590
1523059955,583,583
1523060893,582,582
1523061855,668,668
1523062817,574,574
1523063802,506,506
1523064740,705,705
1523065693,484,484
1523066660,684,684
1523067620,649,649
1523068587,712,712
1523069535,368,368
1523070499,808,808
1523071475,606,606
1523072413,648,648
1523073388,683,683
1523074338,525,525
1523075308,566,566
1523076264,555,555
1523077237,616,616
1523078172,529,529
1523079161,655,655
1523080111,629,629
1523081065,689,689
1523082015,487,487
1523083004,623,623
1523083939,502,502
1523084910,580,580
1523085855,332,332
1523086825,822,822
1523087771,456,456
1523088743,697,697
1523089692,497,497
1523090670,561,561
1523091632,687,687
1523092571,420,420
1523093550,486,486
1523094744,956,956
1523095694,704,704
1523096672,537,537
