DateTime,Entries,UniqueIPs
1512769677,651,651
1512856827,724,724
1512944197,745,745
1513031312,778,778
1513118452,803,803
1513205553,824,824
1513292929,883,883
1513380030,898,898
1513467164,935,935
1513554274,1163,1163
1513728514,1175,1175
1513815609,1263,1263
1513903007,1328,1328
1514077487,1385,1385
1514339099,1453,1453
1514775479,1498,1498
1514862610,1503,1503
1514949735,1521,1521
1515123938,1572,1572
1515298459,1628,1628
1515472933,1684,1684
1515560280,1688,1688
1515778101,1679,1679
1516039724,1709,1709
1516126822,1705,1705
1516301332,1730,1730
1516475787,1785,1785
1516824281,1777,1777
1517085851,1841,1841
1517173269,1902,1902
1517347460,1927,1927
1517434833,1960,1960
1517521930,1960,1960
1517609072,1963,1963
1517783317,1984,1984
1517957794,2065,2065
1518132259,2103,2103
1518307256,2100,2100
1518394598,2220,2220
1518568984,2185,2185
1518656180,2210,2210
1518743319,2333,2333
1518830682,2324,2324
1518917802,2318,2318
1519004921,2334,2334
1519179136,2405,2405
1519353618,2448,2448
1519440749,2459,2459
1519527866,2498,2498
1519614990,2485,2485
1519789209,2549,2549
1519876577,2489,2489
1519963706,2540,2540
1520225060,2586,2586
1520312182,2581,2581
1520573791,2549,2549
1520922266,2594,2594
1521009378,2595,2595
1521184115,2594,2594
1521532835,2602,2602
1521619943,2586,2586
1521707056,2589,2589
1521794186,2615,2615
1522055566,2646,2646
1522142902,2675,2675
1522491867,2667,2667
1522578994,2662,2662
1522666111,2683,2683
1522753465,2689,2689
1523014816,2661,2661
