DateTime,Entries,UniqueIPs
1494309372,6879,6879
1494353289,6881,6881
1494396972,6882,6882
1494440649,6884,6884
1494484329,6885,6885
1494528008,6886,6886
1494571688,6887,6887
1494615369,6889,6889
1494659050,6890,6890
1494790087,6893,6893
1494833768,6894,6894
1494921369,6895,6895
1494965289,6898,6898
1495052648,6899,6899
1495096331,6903,6903
1495140012,6906,6906
1495183689,6908,6908
1495227371,6909,6909
1495271047,6910,6910
1495358410,6912,6912
1495404733,6914,6914
1495448409,6915,6915
1495492088,6918,6918
1495579448,6922,6922
1495710731,6926,6926
1495754408,6928,6928
1495798089,6932,6932
1495885448,6936,6936
1495929128,6939,6939
1495972827,6940,6940
1496016489,6944,6944
1496060170,6948,6948
1496103849,6950,6950
1496147528,6951,6951
1496191209,6954,6954
1496234889,6959,6959
1496278569,6963,6963
1496322490,6964,6964
1496366169,6967,6967
1496453528,6968,6968
1496497448,6969,6969
1496541128,6973,6973
1496584815,6977,6977
1496628728,6980,6980
1496672411,6984,6984
1496716090,6987,6987
1496759781,6989,6989
1496803448,6990,6990
1496847135,6995,6995
1496890817,6998,6998
1496934494,7001,7001
1496978169,7006,7006
1497021849,7010,7010
1497065528,7015,7015
1497152888,7016,7016
1497196571,7019,7019
1497240250,7022,7022
1497283928,7031,7031
1497327609,7032,7032
1497371288,7037,7037
1497414970,7041,7041
1497458648,7042,7042
1497502328,7047,7047
1497546014,7049,7049
1497633617,7052,7052
1497677289,7055,7055
1497720968,7056,7056
1497764649,7058,7058
1497808329,7060,7060
1497852021,7063,7063
1497895690,7066,7066
1497939610,7068,7068
1497983288,7070,7070
1498026968,7071,7071
1498070651,7073,7073
1498201687,7074,7074
1498245368,7078,7078
1498289048,7083,7083
1498332730,7084,7084
1498376411,7087,7087
1498463769,7089,7089
1498508415,7093,7093
1498552089,7101,7101
1498595768,7104,7104
1498639448,7108,7108
1498683130,7111,7111
1498727050,7113,7113
1498770728,7118,7118
1498814409,7120,7120
1498858090,7122,7122
1498901768,7124,7124
1498989128,7125,7125
1499032828,7126,7126
1499076488,7127,7127
1499120170,7128,7128
1499207529,7130,7130
1499294892,7132,7132
1499338569,7136,7136
1499382493,7143,7143
1499470091,7144,7144
1499513771,7147,7147
1499557449,7150,7150
1499644820,7152,7152
1499688729,7154,7154
1499732417,7159,7159
1499778746,7163,7163
1499822415,7165,7165
1499866092,7166,7166
1499909769,7169,7169
1499953447,7172,7172
1499997129,7176,7176
1500040822,7177,7177
1500084488,7187,7187
1500128167,7192,7192
1500171847,7197,7197
1500259209,7200,7200
1500302888,7205,7205
1500346569,7207,7207
1500390249,7211,7211
1500433928,7213,7213
1500477610,7214,7214
1500521532,7218,7218
1500565208,7220,7220
1500653050,7222,7222
1500696728,7223,7223
1500740408,7224,7224
1500784088,7226,7226
1500827769,7227,7227
1500871448,7228,7228
1501046408,7230,7230
1501090088,7233,7233
1501134010,7238,7238
1501221624,7239,7239
1501265529,7242,7242
1501309208,7247,7247
1501352889,7249,7249
1501396809,7250,7250
1501440488,7253,7253
1501484169,7254,7254
1501528091,7257,7257
1501572010,7258,7258
1501615688,7263,7263
1501659370,7267,7267
1501790425,7268,7268
1501834091,7269,7269
1501878009,7270,7270
1501965369,7273,7273
1502009049,7276,7276
1502052728,7277,7277
1502096419,7278,7278
1502140090,7280,7280
1502183769,7281,7281
1502227452,7282,7282
1502314811,7284,7284
1502358488,7285,7285
1502402169,7286,7286
1502489528,7290,7290
1502533450,7293,7293
1502577369,7294,7294
1502621529,7296,7296
1502665231,7298,7298
1502709129,7299,7299
1502752809,7300,7300
1502796489,7301,7301
1502840169,7303,7303
1502883850,7304,7304
1502927530,7306,7306
1502971236,7307,7307
1503014889,7312,7312
1503058569,7313,7313
1503102251,7315,7315
1503145928,7318,7318
1503189608,7323,7323
1503233529,7324,7324
1503277213,7326,7326
1503320889,7328,7328
1503364569,7331,7331
1503495609,7335,7335
1503539291,7336,7336
1503582969,7338,7338
1503670567,7340,7340
1503714249,7343,7343
1503845288,7345,7345
1503932648,7347,7347
1503976328,7351,7351
1504020016,7358,7358
1504063689,7360,7360
1504107370,7364,7364
1504151288,7365,7365
1504194969,7367,7367
1504238650,7371,7371
1504282330,7377,7377
1504326011,7379,7379
1504369688,7381,7381
1504457063,7389,7389
1504500730,7398,7398
1504544418,7401,7401
1504588091,7404,7404
1504631770,7410,7410
1504675450,7412,7412
1504719130,7416,7416
1504762808,7420,7420
1504806488,7423,7423
1504850168,7425,7425
1504893849,7426,7426
1504937527,7427,7427
1505068809,7428,7428
1505156422,7431,7431
1505200091,7432,7432
1505244971,7436,7436
1505332329,7438,7438
1505376014,7439,7439
1505419688,7444,7444
1505464570,7446,7446
1505508488,7454,7454
1505552169,7457,7457
1505595851,7458,7458
1505639531,7460,7460
1505770568,7462,7462
1505857928,7466,7466
1505945291,7468,7468
1505988968,7470,7470
1506163930,7472,7472
1506207608,7474,7474
1506294968,7475,7475
1506338648,7477,7477
1506382329,7478,7478
1506470169,7479,7479
1506513853,7480,7480
1506557530,7486,7486
1506601222,7488,7488
1506644891,7491,7491
1506732249,7493,7493
1506775928,7496,7496
1506819850,7500,7500
1506863530,7501,7501
1506907450,7503,7503
1506951128,7506,7506
1507038728,7509,7509
1507082409,7511,7511
1507126091,7515,7515
1507169767,7518,7518
1507213449,7521,7521
1507257133,7522,7522
1507301050,7524,7524
1507344729,7526,7526
1507388411,7530,7530
1507432092,7533,7533
1507475769,7536,7536
1507519449,7537,7537
1507563368,7538,7538
1507607049,7541,7541
1507694420,7543,7543
1507738090,7545,7545
1507782010,7548,7548
1507825689,7550,7550
1507869369,7551,7551
1507913049,7553,7553
1508000417,7554,7554
1508044328,7560,7560
1508088010,7564,7564
1508131691,7565,7565
1508219051,7570,7570
1508262728,7575,7575
1508306425,7580,7580
1508393768,7581,7581
1508437449,7583,7583
1508481128,7590,7590
1508525289,7593,7593
1508569218,7595,7595
1508613131,7598,7598
1508656808,7603,7603
1508700489,7607,7607
1508744169,7610,7610
1508787849,7611,7611
1508831528,7616,7616
1508875691,7620,7620
1508919371,7622,7622
1508963293,7626,7626
1509006968,7628,7628
1509050648,7632,7632
1509094328,7635,7635
1509138250,7640,7640
1509225609,7646,7646
1509269289,7648,7648
1509313208,7650,7650
1509357129,7652,7652
1509400817,7653,7653
1509444731,7657,7657
1509488409,7660,7660
1509575770,7662,7662
1509619449,7664,7664
1509663129,7666,7666
1509706812,7667,7667
1509751454,7671,7671
1509795128,7672,7672
1509839048,7673,7673
1509926409,7675,7675
1509970090,7682,7682
1510014009,7687,7687
1510057689,7695,7695
1510101368,7704,7704
1510145290,7705,7705
1510188969,7711,7711
1510232649,7729,7729
1510276331,7733,7733
1510320008,7743,7743
1510363688,7752,7752
1510407368,7756,7756
1510451050,7765,7765
1510495222,7767,7767
1510538889,7769,7769
1510582568,7770,7770
1510626249,7773,7773
1510669929,7775,7775
1510713852,7778,7778
1510758022,7782,7782
1510801688,7789,7789
1510845610,7792,7792
1510889290,7798,7798
1510933208,7803,7803
1510976890,7824,7824
1511021051,7841,7841
1511064970,7857,7857
1511108648,7867,7867
1511152329,7873,7873
1511196251,7876,7876
1511239930,7879,7879
1511283618,7882,7882
1511327292,7887,7887
1511370971,7896,7896
1511414649,7899,7899
1511458329,7910,7910
1511502009,7912,7912
1511545691,7923,7923
1511589370,7931,7931
1511633050,7953,7953
1511676730,7966,7966
1511720408,7975,7975
1511764088,7976,7976
1511808010,7978,7978
1511851688,7986,7986
1511895370,7990,7990
1511939048,7997,7997
1511982729,8006,8006
1512026409,8010,8010
1512070088,8018,8018
1512113769,8025,8025
1512157689,8030,8030
1512201368,8031,8031
1512245048,8037,8037
1512288728,8040,8040
1512332408,8047,8047
1512376090,8049,8049
1512420008,8056,8056
1512463932,8066,8066
1512529690,8074,8074
1512573369,8086,8086
1512617049,8092,8092
1512660728,8103,8103
1512704649,8105,8105
1512748568,8110,8110
1512792252,8114,8114
1512836170,8122,8122
1512879848,8126,8126
1512923529,8134,8134
1512967449,8136,8136
1513011129,8138,8138
1513054824,8145,8145
1513098732,8147,8147
1513142408,8155,8155
1513186330,8165,8165
1513230009,8176,8176
1513273689,8189,8189
1513317369,8195,8195
1513361048,8197,8197
1513404730,8199,8199
1513492329,8201,8201
1513536249,8203,8203
1513580171,8205,8205
1513624089,8207,8207
1513667769,8208,8208
1513711450,8210,8210
1513755129,8213,8213
1513799049,8214,8214
1513842728,8215,8215
1513930810,8216,8216
1513974490,8218,8218
1514018169,8219,8219
1514061849,8221,8221
1514105768,8222,8222
1514149449,8224,8224
1514193369,8226,8226
1514237048,8228,8228
1514280972,8234,8234
1514368570,8235,8235
1514456170,8236,8236
1514500090,8237,8237
1514543768,8241,8241
1514587689,8243,8243
1514675290,8244,8244
1514719208,8248,8248
1514851216,8251,8251
1514894890,8252,8252
1514938570,8254,8254
1514982248,8258,8258
1515026650,8263,8263
1515070328,8266,8266
1515114251,8267,8267
1515157929,8268,8268
1515201850,8270,8270
1515245529,8272,8272
1515289451,8278,8278
1515333369,8279,8279
1515420729,8280,8280
1515464409,8281,8281
1515508328,8284,8284
1515552010,8289,8289
1515683050,8290,8290
1515726729,8295,8295
1515814330,8299,8299
1515858251,8300,8300
1515901928,8303,8303
1515945852,8304,8304
1516033450,8306,8306
1516121049,8307,8307
1516208414,8308,8308
1516252329,8311,8311
1516296010,8314,8314
1516339691,8316,8316
1516383369,8320,8320
1516427048,8322,8322
1516470728,8324,8324
1516514415,8325,8325
1516558088,8326,8326
1516601769,8327,8327
1516645450,8332,8332
1516689128,8333,8333
1516732809,8334,8334
1516776488,8339,8339
1516820168,8342,8342
1516863848,8344,8344
1516907770,8347,8347
1516951690,8348,8348
1516995368,8349,8349
1517039048,8351,8351
1517082729,8352,8352
1517126650,8356,8356
1517214008,8359,8359
1517257931,8361,8361
1517301610,8364,8364
1517345771,8370,8370
1517389691,8376,8376
1517433369,8380,8380
1517477049,8387,8387
1517520729,8390,8390
1517564411,8398,8398
1517608089,8416,8416
1517652016,8430,8430
1517695689,8433,8433
1517739609,8449,8449
1517783289,8459,8459
1517826969,8471,8471
1517870649,8485,8485
1517914329,8495,8495
1520580489,9021,9021
1520624409,9022,9022
1520799852,9023,9023
1520888429,9026,9026
1520932329,9027,9027
1520976009,9029,9029
1521019929,9031,9031
1521107530,9032,9032
1521151216,9033,9033
1521282490,9035,9035
1521326891,9036,9036
1521370815,9037,9037
1521414731,9039,9039
1521458409,9041,9041
1521502330,9044,9044
1521721221,9046,9046
1521764890,9047,9047
1521808809,9048,9048
1521896170,9049,9049
1521983529,9052,9052
1522114569,9053,9053
1522158250,9055,9055
1522246090,9056,9056
1522377853,9059,9059
1522421528,9060,9060
1522552809,9061,9061
1522596731,9062,9062
1522640649,9063,9063
1522772171,9066,9066
1522815848,9068,9068
1522859533,9069,9069
1522903691,9071,9071
1522991051,9074,9074
1523034728,9076,9076
1523122330,9077,9077
