DateTime,Entries,UniqueIPs
1467631682,1207,253494
1467718803,1212,253499
1467805922,1220,253507
1468241522,1225,253513
1468328643,1248,253791
1468415761,1257,253800
1468590002,1265,253808
1469461203,1303,254357
1469548322,1305,254614
1469635445,1308,254872
1469722564,1315,254879
1469809682,1319,255138
1470071045,1329,255148
1470158162,1316,255135
1470245283,1317,255136
1470332404,1299,255118
1470419524,1298,255117
1470680881,1305,255124
1470768002,1308,255127
1471029361,1325,255144
1471290722,1342,255161
1471377843,1345,255164
1471464962,1351,255170
1471552084,1355,255174
1471639203,1357,255177
1471900562,1364,255184
1471987684,1364,255184
1472074802,1124,254942
1472161923,1127,254945
1472510642,1143,254961
1472859123,1161,254979
1473120485,1172,254990
1473207604,1173,254991
1473294725,1175,254993
1473381842,1177,254995
1473468962,1193,255012
1473817442,1204,255024
1473904572,1208,255028
1474078804,1226,255046
1474514645,1238,255059
1474601763,1245,255066
1475647924,1300,255124
1475735043,1325,255402
1475822169,1348,255427
1476083762,1363,255443
1476170882,1366,255446
1476258002,1370,255450
1476345128,1372,255452
1476432245,1375,255455
1476519362,1371,255960
1476693602,1380,255969
1476867844,1391,255981
1476954970,1396,255986
1477042324,1397,255987
1477303683,1399,255989
1477390802,1405,255995
1477652164,1425,256016
1477739286,1418,256519
1477913524,1435,256536
1478000645,1436,256537
1478087762,1439,256540
1478174884,1448,256549
1478349122,1450,256551
1478784722,1452,256553
1478871846,1468,256569
1479046085,1473,256574
1479133443,1481,256582
1479220562,1484,256585
1479307684,1489,256590
1479481924,1495,256598
1479743282,1499,256602
1481399042,891,255991
1481573286,890,255990
1481747522,889,255989
1482008886,927,256027
1482096002,948,256048
1482183129,945,256045
1482270242,667,3770
1482357363,671,3774
1482444488,683,4041
1482531844,687,4045
1482618965,690,4048
1482706082,692,4050
1482793207,693,4051
1482880322,706,4064
1482967443,713,4071
1483054563,713,4549
1483141682,717,4808
1483228804,719,4810
1483315925,722,4813
1483403042,724,4815
1483577523,729,4820
1483664642,737,4829
1483751763,740,4832
1483838884,743,4835
1483926003,745,4838
1484013122,750,4843
1484100244,750,4844
1484187605,755,5105
1484274723,757,5107
1484361842,760,5110
1484448964,768,5119
1484536085,773,5124
1484623205,775,5126
1484710323,780,5386
1484797442,788,5395
1484884562,796,5403
1484971681,799,5406
1485059043,806,5414
1485146167,811,5420
1485233526,819,5428
1485320642,821,5685
1485408002,828,5692
1485495123,839,5703
1485582245,846,5965
1485669363,853,5972
1485756484,858,6231
1485843602,861,6234
1485930963,867,6751
1486018084,871,6755
1486105211,884,6770
1486279443,903,7042
1486366562,911,7081
1486453681,920,7090
1486540805,922,7092
1486627923,927,7097
1486715046,939,7109
1486802162,947,7372
1486889282,967,8161
1486976410,974,8169
1487063524,979,8174
1487150643,984,8179
1487237762,993,8188
1487325124,999,8194
1487412245,1000,8195
1487499361,1008,8203
1487586485,1010,8205
1487673604,1014,8209
1487760722,1024,8219
1487847846,1024,8250
1487934962,1028,8255
1488022082,1029,8256
1488109204,1032,8260
1488196322,1037,8265
1488283684,1040,8268
1488370812,1049,8277
1488458163,1054,8536
1488545284,1059,8541
1488632405,1067,8549
1488806644,1080,8562
1488893762,1086,8568
1489068006,1104,8586
1489242243,1113,8850
1489329364,1122,8859
1489416483,1123,8860
1489503609,1138,8875
1489590963,1143,9135
1489678089,1150,9397
1489765204,1156,9403
1489852324,1156,9404
1490026562,1166,9414
1490113683,1167,10179
1490200803,1172,10184
1490287922,1177,10189
1490375042,1182,10194
1490462163,1187,10199
1490549284,1193,10972
1490636403,1199,10978
1490723522,1208,10987
1490810883,1215,10994
1490898003,1226,11006
1490985122,1231,11012
1491072243,1234,11269
1491159363,1241,11276
1491333605,1247,11282
1491420722,1263,11298
1491507842,1270,11305
1491594962,1278,11313
1491856323,1301,11592
1491943443,1307,11598
1492030562,1320,11866
1492117685,1332,11880
1492204803,1342,11891
1492379044,1344,12147
1492553285,1358,12162
1492640415,1363,12167
1492727522,1367,12172
1492814642,1370,12175
1493076023,1381,12186
1493163142,1393,12198
1493250244,1402,12208
1493337363,1404,12465
1493424485,1408,12469
1493598723,1420,12481
1493685843,1421,12482
1493773218,1431,12492
1493860323,1444,12505
1494034563,1457,12518
1494121922,1461,12522
1494296403,1470,12531
1494470643,1482,12543
1494557763,1487,12548
1494644884,1493,12554
1494819123,1510,12572
1494906243,1515,12577
1494993618,1513,13911
1495080722,1518,13916
1495167844,1518,14171
1495254964,1521,14174
1495342082,1525,14178
1495516326,1532,14185
1495603442,1537,14190
1495690562,1542,14195
1495777682,1546,14199
1495864811,1551,14205
1496039042,1559,14214
1496213282,1567,14284
1496300409,1576,14293
1496387522,1580,14297
1496475846,1584,14301
1496562962,1588,14562
1496650084,1592,14566
1496737206,1594,14568
1496824322,1598,14572
1496911443,1603,14577
1496998563,1604,14578
1497085684,1599,14828
1497259922,1605,14834
1497347042,1612,14841
1497434165,1620,14850
1497608403,1623,14853
1497869765,1628,14858
1497956882,1630,14860
1498044003,1633,14863
1498131124,1638,14868
1498218242,1639,14869
1498566962,1652,14883
1499002562,1658,14889
1499089682,1669,14900
1499176804,1676,14907
1499263922,1683,14914
