DateTime,Entries,UniqueIPs
1520492424,313,313
1520496022,313,313
1520499623,314,314
1520503221,315,315
1520506825,315,315
1520510424,317,317
1520514025,316,316
1520517621,318,318
1520521223,317,317
1520524825,315,315
1520528421,313,313
1520532023,312,312
1520535620,313,313
1520539220,312,312
1520542820,314,314
1520546420,312,312
1520550021,310,310
1520553620,312,312
1520557220,311,311
1520560820,308,308
1520564420,303,303
1520568019,301,301
1520571620,300,300
1520575220,301,301
1520586020,300,300
1520589621,302,302
1520593222,302,302
1520618427,307,307
1520622027,307,307
1520625624,309,309
1520632822,309,309
1520636420,308,308
1520640020,307,307
1520643620,309,309
1520647220,310,310
1520650822,309,309
1520654422,308,308
1520658022,310,310
1520665224,311,311
1520672426,312,312
1520683232,311,311
1520686821,312,312
1520690421,313,313
1520701221,314,314
1520704821,313,313
1520708421,315,315
1520722839,316,316
1520748031,314,314
1520755228,317,317
1520758829,318,318
1520762425,318,318
1520766021,320,320
1520769621,322,322
1520773221,321,321
1520776820,325,325
1520780421,327,327
1520784021,327,327
1520787621,328,328
1520791225,327,327
1520798431,292,292
1520802021,275,275
1520805624,270,270
1520809226,270,270
1520812828,269,269
1520816424,267,267
1520820026,267,267
1520827226,266,266
1520830824,261,261
1520834423,260,260
1520838018,261,261
1520841619,262,262
1520845219,264,264
1520848818,265,265
1520856020,266,266
1520863221,263,263
1520866829,266,266
1520870422,261,261
1520874026,230,230
1520877620,229,229
1520881228,231,231
1520884822,232,232
1520888419,231,231
1520892020,230,230
1520895618,231,231
1520899219,232,232
1520902821,233,233
1520906419,231,231
1520917216,233,233
1520931618,235,235
1520942423,233,233
1520946024,232,232
1520949624,231,231
1520956820,231,231
1520967619,230,230
1520974817,231,231
1520982016,233,233
1520985616,231,231
1520989223,230,230
1520992816,230,230
1520996422,231,231
1521000017,230,230
1521003619,229,229
1521018022,230,230
1521021623,231,231
1521028820,232,232
1521039617,233,233
1521043216,229,229
1521046816,226,226
1521050416,224,224
1521054018,220,220
1521057615,216,216
1521061216,214,214
1521064823,215,215
1521068417,211,211
1521072017,212,212
1521075617,205,205
1521079219,203,203
1521082816,193,193
1521090017,189,189
1521093615,188,188
1521097214,185,185
1521100814,183,183
1521104416,182,182
1521111614,184,184
1521115214,185,185
1521118814,189,189
1521122415,190,190
1521126015,192,192
1521129615,191,191
1521133215,193,193
1521140417,194,194
1521144022,196,196
1521147622,196,196
1521151218,195,195
1521154817,191,191
1521158418,190,190
1521162021,189,189
1521165618,187,187
1521169219,184,184
1521172820,181,181
1521176423,179,179
1521180018,178,178
1521183618,179,179
1521187216,180,180
1521194417,181,181
1521198016,182,182
1521201617,183,183
1521205220,184,184
1521208821,186,186
1521216025,188,188
1521223219,187,187
1521226818,189,189
1521230417,187,187
1521237618,186,186
1521241214,187,187
1521244814,186,186
1521248421,182,182
1521252018,177,177
1521255616,178,178
1521266420,179,179
1521270017,178,178
1521273621,177,177
1521277221,176,176
1521280826,177,177
1521298821,175,175
1521302414,176,176
1521306014,178,178
1521313213,177,177
1521320415,178,178
1521324016,177,177
1521327614,176,176
1521331216,175,175
1521334817,174,174
1521345618,175,175
1521352814,176,176
1521356419,179,179
1521360014,180,180
1521363614,182,182
1521367214,184,184
1521370814,183,183
1521374414,184,184
1521378014,186,186
1521381614,186,186
1521388817,184,184
1521392417,185,185
1521396015,185,185
1521399617,185,185
1521403218,185,185
1521406815,184,184
1521410417,182,182
1521414014,180,180
1521417619,182,182
1521421214,180,180
1521428416,181,181
1521432016,180,180
1521435614,179,179
1521446415,181,181
1521450018,180,180
1521453620,179,179
1521457218,180,180
1521471636,179,179
1521486016,181,181
1521489614,181,181
1521493214,180,180
1521496815,181,181
1521500415,184,184
1521504014,183,183
1521518414,185,185
1521522016,183,183
1521547215,182,182
1521550815,183,183
1521554439,182,182
1521558022,183,183
1521568816,182,182
1521572418,183,183
1521576019,185,185
1521579615,184,184
1521586818,179,179
1521590420,178,178
1521594019,178,178
1521597619,178,178
1521601214,179,179
1521604814,180,180
1521608414,179,179
1521612014,178,178
1521615620,175,175
1521619214,176,176
1521626414,175,175
1521633614,176,176
1521637217,177,177
1521644416,178,178
1521648014,179,179
1521662414,179,179
1521669614,177,177
1521676821,177,177
1521680421,178,178
1521684019,179,179
1521687618,181,181
1521694819,181,181
1521698416,181,181
1521702014,182,182
1521705614,186,186
1521712818,190,190
1521716419,191,191
1521723622,193,193
1521734418,193,193
1521738017,192,192
1521741621,192,192
1521745219,192,192
1521748819,192,192
1521752420,190,190
1521756021,189,189
1521763220,187,187
1521766815,186,186
1521770416,185,185
1521774017,184,184
1521788415,183,183
1521795618,184,184
1521799218,182,182
1521802823,181,181
1521806422,180,180
1521810020,181,181
1521813623,178,178
1521817222,178,178
1521824421,177,177
1521831617,175,175
1521842418,175,175
1521846019,174,174
1521853218,173,173
1521856817,174,174
1521860412,174,174
1521864014,175,175
1521867616,176,176
1521871216,175,175
1521878416,178,178
1521885614,176,176
1521900013,177,177
1521903611,178,178
1521907212,180,180
1521910812,181,181
1521918017,180,180
1521946817,181,181
1521957611,181,181
1521961214,181,181
1521964813,179,179
1521968414,178,178
1521972016,177,177
1521975613,175,175
1521979216,173,173
1521986415,171,171
1521990015,170,170
1521993617,171,171
1521997217,170,170
1522000819,170,170
1522004417,171,171
1522008017,172,172
1522018812,173,173
1522022411,171,171
1522026011,172,172
1522033216,170,170
1522040416,172,172
1522051220,171,171
1522054818,173,173
1522062017,173,173
1522065613,174,174
1522076416,173,173
1522080018,174,174
1522087221,175,175
1522090822,172,172
1522098012,173,173
1522105213,170,170
1522112417,169,169
1522116016,170,170
1522119617,171,171
1522123215,172,172
1522130418,169,169
1522137619,168,168
1522141216,169,169
1522148418,170,170
1522155616,170,170
1522159214,171,171
1522162816,170,170
1522170017,172,172
1522173616,171,171
1522177216,171,171
1522180818,169,169
1522188021,171,171
1522191619,173,173
1522195219,173,173
1522202417,172,172
1522206013,173,173
1522209614,172,172
1522216814,174,174
1522220420,173,173
1522227614,174,174
1522234818,173,173
1522242019,171,171
1522249217,170,170
1522256416,170,170
1522263614,168,168
1522267217,165,165
1522274417,166,166
1522281613,165,165
1522285220,164,164
1522288818,164,164
1522296027,165,165
1522303222,165,165
1522306823,166,166
1522310419,168,168
1522314021,170,170
1522317614,171,171
1522321214,172,172
1522324814,173,173
1522328414,173,173
1522332015,178,178
1522335614,180,180
1522339214,180,180
1522342824,185,185
1522346424,188,188
1522350024,190,190
1522353623,192,192
1522357233,194,194
1522360824,195,195
1522364425,197,197
1522368023,193,193
1522371621,192,192
1522375214,192,192
1522382415,193,193
1522386015,195,195
1522389619,196,196
1522393223,197,197
1522407627,197,197
1522414829,196,196
1522418420,195,195
1522422019,195,195
1522429217,194,194
1522440015,192,192
1522443615,193,193
1522461617,191,191
1522465224,190,190
1522472420,189,189
1522479617,185,185
1522486815,183,183
1522497616,182,182
1522504815,181,181
1522508414,181,181
1522526414,182,182
1522544415,183,183
1522551623,185,185
1522558816,184,184
1522562422,185,185
1522566027,184,184
1522569622,185,185
1522573227,185,185
1522576823,185,185
1522580426,187,187
1522584023,186,186
1522587622,187,187
1522591215,188,188
1522594815,191,191
1522598415,191,191
1522602014,191,191
1522605614,192,192
1522609217,190,190
1522612819,189,189
1522616417,189,189
1522620017,188,188
1522623618,188,188
1522627220,188,188
1522630817,186,186
1522634417,187,187
1522638017,185,185
1522641618,186,186
1522659622,185,185
1522674022,186,186
1522688426,187,187
1522692018,209,209
1522713620,208,208
1522720823,209,209
1522724419,209,209
1522728023,208,208
1522731623,208,208
1522735222,209,209
1522738821,210,210
1522742420,211,211
1522746019,210,210
1522749619,209,209
1522756818,209,209
1522760415,208,208
1522771216,207,207
1522782015,206,206
1522796415,204,204
1522800015,203,203
1522810815,202,202
1522814416,201,201
1522818016,202,202
1522843217,201,201
1522868423,227,227
1522872021,242,242
1522875620,246,246
1522882820,245,245
1522890017,253,253
1522893620,254,254
1522900818,253,253
1522911617,254,254
1522915220,253,253
1522918818,254,254
1522922418,256,256
1522929618,258,258
1522933218,259,259
1522936818,254,254
1522940417,252,252
1522944018,251,251
1522947617,249,249
1522951218,249,249
1522954817,248,248
1522958417,249,249
1522962022,246,246
1522965617,243,243
1522969216,239,239
1522972817,238,238
1522976419,237,237
1522980020,234,234
1522983619,233,233
1522987222,232,232
1522990817,231,231
1522994424,231,231
1522998021,230,230
1523005218,229,229
1523008817,229,229
1523012417,229,229
1523016016,228,228
1523019621,229,229
1523023218,230,230
1523026819,229,229
1523037618,230,230
1523048417,229,229
1523055619,229,229
1523059218,230,230
1523062817,231,231
1523066417,233,233
1523077217,234,234
1523080818,236,236
1523084418,235,235
1523088017,235,235
1523095217,236,236
1523098818,237,237
1523102416,238,238
1523109618,239,239
1523113219,239,239
1523116817,238,238
1523124018,239,239
1523127622,238,238
1523131223,237,237
1523138420,236,236
1523145624,237,237
1523149228,238,238
1523152826,237,237
1523156422,235,235
1523163617,234,234
