DateTime,AddedIPs,RemovedIPs
1521086602,3,1
1521090194,1,0
1521093775,1,1
1521097414,1,0
1521101014,0,1
1521104604,0,2
1521108216,1,0
1521111813,3,4
1521115405,3,0
1521118999,1,1
1521122584,1,4
1521126160,2,0
1521129780,1,2
1521133400,1,0
1521137015,0,6
1521140610,1,0
1521144221,1,1
1521147798,1,2
1521151399,1,3
1521154972,5,2
1521158571,0,4
1521162183,2,2
1521165787,0,3
1521169401,0,1
1521176590,1,0
1521180191,1,0
1521183766,2,0
1521187365,0,10
1521190976,0,4
1521198207,1,1
1521201802,0,4
1521205407,0,2
1521209021,0,3
1521212621,3,0
1521216217,3,0
1521219816,1,2
1521234218,0,1
1521237831,1,0
1521241413,2,0
1521244979,3,2
1521248615,0,1
1521252217,1,2
1521255819,2,1
1521259411,2,0
1521262956,1,3
1521266581,2,0
1521270200,1,0
1521273816,2,1
1521277402,1,2
1521284597,1,0
1521291776,3,2
1521295401,0,1
1521299018,1,0
1521302616,3,0
1521306196,2,2
1521309808,2,0
1521317019,3,2
1521320622,3,1
1521324154,0,2
1521327782,2,2
1521331389,3,1
1521335002,1,0
1521338614,1,2
1521349390,1,1
1521356615,5,0
1521360198,3,0
1521363783,1,1
1521367384,2,0
1521370975,1,0
1521374617,1,0
1521378206,0,1
1521381811,0,1
1521385363,0,1
1521396205,0,4
1521399815,0,1
1521403426,1,3
1521414219,1,1
1521421375,2,0
1521428610,0,6
1521432211,0,1
1521435814,0,1
1521443013,3,2
1521450203,0,1
1521461015,0,1
1521464620,1,1
1521468189,1,1
1521471792,0,2
1521475378,2,0
1521479006,0,2
1521482592,0,1
1521486195,1,1
1521493377,4,0
1521497010,1,0
1521500601,3,0
1521507775,0,1
1521511391,3,2
1521515012,2,0
1521518616,4,1
1521522224,1,0
1521529412,0,2
1521532993,2,0
1521536581,3,1
1521540216,0,2
1521547398,2,1
1521550999,1,2
1521554582,1,1
1521558219,0,4
1521561816,1,4
1521565413,1,3
1521568980,1,1
1521572584,6,0
1521576212,2,1
1521579828,0,3
1521583423,2,2
1521587007,1,1
1521590612,5,1
1521594185,1,0
1521597790,0,3
1521601405,2,1
1521605008,2,1
1521612199,0,2
1521615777,2,1
1521619402,0,2
1521626618,0,1
1521630211,2,1
1521633812,2,0
1521637419,6,0
1521641016,4,0
1521644616,5,0
1521648198,2,2
1521651791,3,1
1521655384,3,1
1521659007,2,1
1521662631,2,3
1521666255,3,2
1521669844,4,1
1521673422,8,0
1521677010,3,1
