DateTime,Entries,UniqueIPs
1521086602,418,418
1521090194,419,419
1521093775,419,419
1521097414,420,420
1521101014,419,419
1521104604,417,417
1521108216,418,418
1521111813,417,417
1521115405,420,420
1521118999,420,420
1521122584,417,417
1521126160,419,419
1521129780,418,418
1521133400,419,419
1521137015,413,413
1521140610,414,414
1521144221,414,414
1521147798,413,413
1521151399,411,411
1521154972,414,414
1521158571,410,410
1521162183,410,410
1521165787,407,407
1521169401,406,406
1521176590,407,407
1521180191,408,408
1521183766,410,410
1521187365,400,400
1521190976,396,396
1521198207,396,396
1521201802,392,392
1521205407,390,390
1521209021,387,387
1521212621,390,390
1521216217,393,393
1521219816,392,392
1521234218,391,391
1521237831,392,392
1521241413,394,394
1521244979,395,395
1521248615,394,394
1521252217,393,393
1521255819,394,394
1521259411,396,396
1521262956,394,394
1521266581,396,396
1521270200,397,397
1521273816,398,398
1521277402,397,397
1521284597,398,398
1521291776,399,399
1521295401,398,398
1521299018,399,399
1521302616,402,402
1521306196,402,402
1521309808,404,404
1521317019,405,405
1521320622,407,407
1521324154,405,405
1521327782,405,405
1521331389,407,407
1521335002,408,408
1521338614,407,407
1521349390,407,407
1521356615,412,412
1521360198,415,415
1521363783,415,415
1521367384,417,417
1521370975,418,418
1521374617,419,419
1521378206,418,418
1521381811,417,417
1521385363,416,416
1521396205,412,412
1521399815,411,411
1521403426,409,409
1521414219,409,409
1521421375,411,411
1521428610,405,405
1521432211,404,404
1521435814,403,403
1521443013,404,404
1521450203,403,403
1521461015,402,402
1521464620,402,402
1521468189,402,402
1521471792,400,400
1521475378,402,402
1521479006,400,400
1521482592,399,399
1521486195,399,399
1521493377,403,403
1521497010,404,404
1521500601,407,407
1521507775,406,406
1521511391,407,407
1521515012,409,409
1521518616,412,412
1521522224,413,413
1521529412,411,411
1521532993,413,413
1521536581,415,415
1521540216,413,413
1521547398,414,414
1521550999,413,413
1521554582,413,413
1521558219,409,409
1521561816,406,406
1521565413,404,404
1521568980,404,404
1521572584,410,410
1521576212,411,411
1521579828,408,408
1521583423,408,408
1521587007,408,408
1521590612,412,412
1521594185,413,413
1521597790,410,410
1521601405,411,411
1521605008,412,412
1521612199,410,410
1521615777,411,411
1521619402,409,409
1521626618,408,408
1521630211,409,409
1521633812,411,411
1521637419,417,417
1521641016,421,421
1521644616,426,426
1521648198,426,426
1521651791,428,428
1521655384,430,430
1521659007,431,431
1521662631,430,430
1521666255,431,431
1521669844,434,434
1521673422,442,442
1521677010,444,444
1521680605,447,447
1521684219,448,448
1521687826,449,449
1521691401,450,450
1521695003,452,452
1521698600,450,450
1521702181,452,452
1521705781,452,452
1521712996,451,451
1521720211,452,452
1521723812,451,451
1521731006,455,455
1521734623,459,459
1521738180,460,460
1521745417,458,458
1521749012,458,458
1521752613,459,459
1521756207,460,460
1521759792,460,460
1521763366,463,463
1521766974,461,461
1521770573,461,461
1521774190,462,462
1521788536,461,461
1521792134,461,461
1521795742,462,462
1521799401,460,460
1521802994,457,457
1521806622,457,457
1521813811,459,459
1521817410,459,459
1521820988,460,460
1521831744,460,460
1521838968,462,462
1521846177,462,462
1521849797,464,464
1521853397,464,464
1521857018,462,462
1521860555,462,462
1521864217,460,460
1521871422,460,460
1521875016,458,458
1521878617,459,459
1521882198,458,458
1521885800,456,456
1521889382,453,453
1521893012,455,455
1521900202,454,454
1521903802,455,455
1521907412,456,456
1521910998,453,453
1521914569,454,454
1521918176,456,456
1521921753,459,459
1521925411,458,458
1521929014,455,455
1521932617,455,455
1521936213,454,454
1521939809,455,455
1521943395,457,457
1521946985,457,457
1521950563,458,458
