DateTime,AddedIPs,RemovedIPs
1515776515,0,2
1515783756,1,1
1515787371,0,1
1515794586,2,0
1515801723,0,3
1515812538,0,1
1515830590,0,1
1515841391,0,1
1515848579,0,1
1515855768,0,1
1515859392,0,1
1515862976,1,0
1515873761,0,1
1515877365,0,1
1515902540,0,1
1515916986,0,1
1515924168,0,1
1515934954,1,0
1515938561,1,0
1515985351,1,0
1515992545,1,0
1515999772,0,2
1516014162,0,1
1516064558,2,1
1516068164,2,0
1516075356,0,1
1516082588,1,0
1516089772,1,0
1516122167,1,0
1516143784,0,1
1516158163,0,1
1516179751,1,0
1516201388,1,0
1516212184,1,0
1516222960,3,0
1516240970,0,1
1516262537,1,0
1516399382,0,1
1516410154,1,0
1516467779,1,0
1516507395,1,0
1516518179,0,1
1516539758,0,1
1516564949,0,1
1516579354,1,0
1516586550,1,0
1516633368,0,1
1516640551,2,0
1516662152,1,0
1516669334,1,1
1516672946,0,3
1516694539,0,1
1516716157,1,0
1516719783,1,0
1516726984,0,1
1516748598,1,0
1516755793,1,0
1516762993,1,0
1516766601,1,0
1516773792,3,0
1516780967,1,1
1516788170,1,0
1516791730,1,0
1516813374,2,0
1516816996,1,0
1516827769,0,1
1516831371,1,0
1516834969,0,1
1516852983,1,0
1516874573,1,0
1516888948,0,1
1516917791,1,0
1516921395,0,1
1516978993,1,0
1517007783,1,0
1517014980,0,1
1517061765,1,0
1517072563,0,1
1517079783,0,1
1517090582,0,1
1517130099,2,0
1517140913,1,0
1517148118,0,1
1517155332,1,0
1517162525,0,1
1517212915,0,1
1517245393,2,1
1517252594,1,0
1517256190,1,0
1517259782,2,0
1517263386,1,0
1517266983,0,1
1517277770,1,0
1517281372,1,0
1517284976,1,0
1517288568,1,0
1517317352,3,0
1517320925,1,1
1517324542,0,1
1517349795,1,0
1517353389,0,1
1517360563,0,1
1517367789,0,1
1517374949,1,0
1517378566,0,3
1517385783,0,1
1517392960,0,1
1517396581,0,1
1517400183,0,1
1517418193,1,2
1517421775,0,1
1517457730,0,1
1517461345,0,1
1517464941,0,1
1517479352,0,1
