DateTime,AddedIPs,RemovedIPs
1521349721,33,30
1521353316,36,38
1521356920,61,53
1521360517,34,43
1521364117,20,39
1521367721,18,23
1521371319,21,18
1521374914,47,45
1521378515,25,28
1521382119,43,35
1521385732,27,47
1521389330,42,33
1521392919,26,35
1521396520,42,37
1521400120,53,51
1521403729,35,52
1521407322,26,34
1521410918,17,29
1521414520,21,18
1521418126,50,26
1521421728,24,54
1521425314,31,38
1521428919,27,57
1521432512,31,51
1521436116,31,43
1521439713,37,23
1521443301,51,40
1521446912,22,48
1521450508,29,30
1521454109,20,20
1521457711,26,29
1521461310,25,25
1521464905,44,43
1521468506,28,35
1521472107,34,50
1521475703,61,33
1521482986,189,72
1521486515,56,34
1521490122,48,58
1521493712,31,36
1521497309,28,21
1521500912,24,30
1521504515,24,29
1521508122,46,42
1521511713,18,20
1521515315,46,34
1521518936,38,23
1521522524,29,25
1521526122,18,23
1521529726,16,35
1521533323,19,47
1521536914,17,30
1521540521,18,24
1521544122,37,34
1521547719,43,24
1521551311,42,90
1521554925,26,25
1521558524,25,14
1521562119,26,22
1521565722,49,10
1521569323,25,20
1521572932,37,18
1521576521,38,20
1521580120,22,16
1521583730,24,18
1521587317,19,24
1521590918,24,32
1521594524,14,17
1521598120,21,13
1521601721,16,18
1521605319,12,40
1521608921,20,41
1521612518,18,26
1521616112,28,25
1521619717,29,23
1521623319,22,26
1521626918,25,48
1521630519,45,25
1521634109,33,60
1521637720,31,37
1521641314,24,43
1521644916,32,35
1521648517,93,139
1521652111,55,53
1521655711,63,38
1521659324,105,27
1521662920,55,24
1521666528,41,28
1521670121,46,43
1521673724,50,30
1521677325,25,35
1521680933,27,31
1521684526,22,39
1521688129,16,32
1521691718,33,42
1521695314,23,52
1521698915,28,23
1521702520,60,29
1521706120,30,30
1521709718,36,27
1521713338,39,49
1521716924,48,25
1521720522,34,49
1521724117,26,47
1521727715,30,33
1521731309,23,47
1521734923,33,32
1521738517,36,56
1521742115,31,28
1521745715,55,34
1521749315,42,22
1521752910,33,22
1521756513,27,26
1521760108,43,42
1521763721,45,29
1521767317,64,39
1521770915,33,40
1521774507,9,30
1521788908,86,152
1521792503,21,24
1521796105,34,27
1521799712,24,27
1521803330,39,44
1521806909,32,32
1521810503,30,46
1521814109,16,32
1521817712,19,43
1521821310,17,35
1521824904,27,32
1521828504,14,47
1521832105,34,38
1521835716,39,29
1521839309,35,27
1521842914,29,29
1521846505,25,46
1521850115,41,23
1521853711,25,46
1521857305,16,40
1521860915,20,32
1521864513,14,30
1521868107,39,40
1521871701,14,47
1521875298,24,28
1521878906,23,19
1521882505,17,22
1521886100,17,33
1521889697,21,50
1521893295,26,20
1521896895,25,42
1521900502,19,41
1521904096,21,48
1521907687,16,46
1521911290,28,26
1521914891,34,44
1521918493,19,43
1521922097,30,30
1521925701,80,54
1521929302,15,15
1521932893,32,48
1521936494,48,49
1521940092,24,21
1521943688,10,46
1521947293,20,29
1521950885,24,38
1521954485,31,30
1521958086,19,40
1521961689,31,65
1521965283,9,39
1521968880,25,26
1521972488,12,13
1521976085,28,26
1521979684,29,40
1521983285,35,19
1521986885,13,46
1521990493,49,30
1521994080,24,39
1521997685,44,25
1522001284,29,43
1522004884,38,47
1522008486,19,35
1522012082,26,25
1522015679,25,20
1522019287,28,21
1522022881,42,53
1522026486,31,20
1522030077,20,38
1522033685,15,34
1522037288,18,38
1522040884,29,38
1522044482,27,35
1522048073,27,65
1522051678,26,23
1522055282,13,33
1522058876,28,23
1522062469,19,27
1522066074,27,23
1522069684,31,41
1522073268,19,33
1522076873,22,41
1522080485,8,31
1522084103,26,35
1522087706,32,27
1522091318,28,44
1522094937,43,43
1522098507,28,37
1522102109,34,24
1522105687,26,27
1522109290,38,27
1522112878,43,44
1522116472,14,16
1522120073,10,53
1522123661,10,28
1522127271,17,51
1522130864,35,16
1522134464,19,22
1522138072,30,23
1522141666,17,24
1522145269,47,24
1522148863,32,38
1522152465,43,44
1522156072,38,38
1522159674,21,27
1522163272,19,32
1522166866,22,26
1522170469,19,50
1522174076,44,25
1522177677,82,36
1522181277,59,35
1522184875,27,17
1522188473,22,31
1522192070,20,23
1522195671,26,35
1522199270,47,22
1522202869,31,26
1522206472,13,14
1522210071,27,11
1522213668,18,24
1522217265,37,28
1522220873,15,30
1522224472,36,22
1522228071,26,20
1522231678,25,34
1522235271,17,42
1522238876,19,39
1522242473,40,30
1522246071,25,33
1522249667,20,38
1522253272,37,113
1522256865,71,43
1522260482,183,61
1522264076,81,94
1522267677,49,67
1522271266,26,32
1522274872,32,46
1522278468,25,51
1522282076,21,32
1522285670,34,30
1522289278,33,24
1522292867,15,21
1522296468,17,33
1522300070,17,22
1522303667,22,45
1522307268,34,64
1522310870,21,34
1522314467,18,34
1522318084,16,38
1522321669,26,53
1522325261,29,36
1522328865,29,22
1522332467,53,34
1522336071,22,24
1522339661,19,42
1522343244,9,50
1522346858,15,28
1522350459,35,47
1522354058,23,40
1522357655,31,34
1522361253,25,27
1522364854,80,42
1522368455,20,60
1522372050,29,59
1522375648,37,44
1522379252,23,16
1522382855,23,36
1522386453,19,6
1522390062,21,16
1522393658,28,33
1522397254,17,22
1522400850,26,39
1522404450,16,25
1522408052,23,34
1522411650,21,41
1522415256,37,23
1522418850,40,22
1522422460,28,24
1522426093,16,21
1522429657,17,20
1522433260,21,10
1522436860,28,20
1522440463,134,30
1522444063,24,34
1522447658,28,23
1522451259,23,25
1522454858,25,39
1522458458,20,24
1522462057,28,12
1522465654,34,25
1522469259,17,14
1522472854,30,45
1522476449,11,18
1522480050,20,34
1522483651,41,25
1522487258,10,17
1522490880,167,20
1522494463,20,19
1522498064,24,32
1522501671,36,26
1522505262,23,19
1522508867,34,15
1522512468,20,16
1522516066,14,29
1522519668,30,33
1522523262,25,25
1522526863,35,37
1522530464,24,79
1522534060,34,15
1522537665,18,24
1522541262,36,48
1522544857,14,23
1522548464,50,10
1522552068,29,23
1522555663,46,25
1522559262,15,36
1522562866,27,23
1522566471,20,36
1522570061,40,14
1522573662,35,24
1522577266,41,12
1522580864,22,21
1522584462,30,31
1522588067,42,32
1522591664,43,18
1522595266,28,59
1522598868,54,30
1522602468,135,42
1522606076,180,24
1522609682,114,45
1522613287,77,26
1522616887,51,26
1522620485,52,34
1522624086,50,26
1522627687,36,40
1522631285,43,30
1522634890,40,16
1522638493,36,20
1522642096,43,18
1522645694,34,36
1522649295,28,24
1522652897,96,31
1522656494,24,30
1522660090,35,17
1522663696,32,27
1522667306,41,16
1522670910,29,29
1522674501,23,32
1522678105,30,19
1522681704,37,20
1522685306,45,15
1522688909,24,22
1522692504,29,37
1522696095,26,30
1522699711,31,29
1522703305,33,40
1522706906,21,30
1522710506,45,23
1522714109,29,39
1522717711,38,42
1522721315,129,20
1522724915,85,10
1522728510,42,15
1522732117,26,23
1522735717,9,30
1522739310,15,18
1522742915,21,36
1522746515,37,16
1522750108,30,39
1522753712,36,32
1522757315,35,34
1522760913,29,36
1522764543,38,25
1522768119,33,20
1522771715,36,28
1522775321,29,26
1522778920,90,47
1522782520,32,88
1522786118,25,70
1522789720,31,26
1522793315,22,27
1522796915,28,24
1522800517,30,25
1522804114,39,52
1522807712,30,30
1522811317,31,13
1522814914,34,24
1522818514,23,14
1522822113,19,35
1522825715,17,18
1522829320,21,31
1522832918,34,21
1522836521,31,29
1522840121,34,15
1522843713,40,23
1522847314,21,39
1522850919,31,32
1522854518,27,20
1522858117,48,32
1522861723,30,27
1522865316,34,48
1522868922,61,28
1522872518,84,34
1522876118,116,36
1522879733,97,19
1522883330,66,30
1522886931,62,21
1522890529,42,44
1522894132,51,37
1522897726,44,27
1522901326,40,15
1522904931,46,21
1522908533,37,20
1522912132,31,45
1522915743,29,24
1522919336,39,33
1522922939,33,21
1522926539,29,27
1522930143,38,24
1522933740,29,26
1522937344,43,53
1522940942,33,24
1522944540,38,22
1522948135,41,15
1522951735,30,17
1522955332,31,37
1522958937,39,29
1522962536,57,34
1522966140,38,20
1522969735,23,78
1522973339,33,21
1522976945,22,31
1522980546,24,41
1522984135,29,30
1522987734,20,22
1522991329,24,22
1522994942,35,35
1522998538,26,30
1523002141,25,22
1523005741,23,36
1523009349,41,23
1523012944,26,25
1523016543,37,29
1523020145,44,29
1523023739,39,40
1523027344,31,25
1523030946,31,23
1523034550,22,24
1523038140,19,26
1523041739,44,27
1523045333,42,126
1523048933,43,29
1523052539,56,22
1523056136,22,22
1523059735,28,29
1523063337,47,21
1523066935,26,28
1523070537,40,32
1523074137,29,20
1523077738,29,32
1523084940,57,42
1523088544,45,35
1523092205,28,15
1523095739,20,170
1523099339,97,20
1523102934,38,28
1523106540,44,27
1523110138,34,28
1523113742,46,37
1523117338,22,28
1523120938,27,13
1523124545,37,25
1523128141,39,18
1523131752,112,38
1523135347,24,22
1523138948,21,33
1523142549,24,21
1523146144,19,34
1523149742,48,15
1523153338,23,41
1523156943,35,32
1523160544,38,38
1523164147,25,11
