DateTime,Entries,UniqueIPs
1521353404,6292,6292
1521357006,6304,6304
1521360602,6305,6305
1521364201,6289,6289
1521367806,6287,6287
1521371404,6295,6295
1521375007,6301,6301
1521378612,6295,6295
1521382216,6309,6309
1521385818,6293,6293
1521389423,6305,6305
1521393013,6291,6291
1521396614,6293,6293
1521400216,6299,6299
1521403824,6281,6281
1521407418,6271,6271
1521411013,6258,6258
1521414615,6256,6256
1521418223,6272,6272
1521421818,6247,6247
1521425411,6242,6242
1521429005,6216,6216
1521432601,6197,6197
1521436203,6188,6188
1521439794,6201,6201
1521443404,6222,6222
1521446998,6195,6195
1521450594,6199,6199
1521454197,6203,6203
1521457796,6200,6200
1521461401,6201,6201
1521464993,6200,6200
1521468593,6195,6195
1521472187,6179,6179
1521475784,6210,6210
1521483137,6319,6319
1521486602,6345,6345
1521490218,6334,6334
1521493803,6332,6332
1521497400,6342,6342
1521500996,6340,6340
1521504604,6335,6335
1521508205,6336,6336
1521511801,6337,6337
1521515402,6347,6347
1521519011,6357,6357
1521522623,6367,6367
1521526214,6360,6360
1521529826,6346,6346
1521533417,6322,6322
1521537022,6307,6307
1521540608,6306,6306
1521544213,6312,6312
1521547807,6328,6328
1521551410,6321,6321
1521555016,6314,6314
1521558619,6317,6317
1521562213,6318,6318
1521565812,6349,6349
1521569421,6354,6354
1521573032,6373,6373
1521576620,6398,6398
1521580219,6399,6399
1521583820,6403,6403
1521587411,6404,6404
1521591018,6398,6398
1521594614,6396,6396
1521598214,6396,6396
1521601811,6389,6389
1521605408,6358,6358
1521609008,6338,6338
1521612609,6335,6335
1521616212,6330,6330
1521619802,6334,6334
1521623406,6331,6331
1521627006,6311,6311
1521630603,6328,6328
1521634199,6304,6304
1521637799,6301,6301
1521641403,6287,6287
1521645007,6283,6283
1521648606,6237,6237
1521652206,6234,6234
1521655814,6263,6263
1521659418,6288,6288
1521663015,6298,6298
1521666620,6305,6305
1521670218,6304,6304
1521673822,6326,6326
1521677418,6319,6319
1521681022,6315,6315
1521684622,6301,6301
1521688217,6289,6289
1521691810,6279,6279
1521695410,6249,6249
1521699012,6251,6251
1521702612,6283,6283
1521706218,6275,6275
1521709810,6282,6282
1521713419,6268,6268
1521717023,6296,6296
1521720626,6281,6281
1521724219,6265,6265
1521727811,6271,6271
1521731415,6254,6254
