DateTime,AddedIPs,RemovedIPs
1520515821,3,0
1520517315,106,0
1520517619,41,0
1520518215,1,0
1520519116,17,0
1520521816,37,0
1520522116,31,0
1520522416,44,0
1520523016,111,0
1520523616,13,0
1520527216,34,0
1520527516,1,0
1520529917,60,0
1520530516,129,0
1520530817,56,0
1520531417,134,0
1520532018,161,0
1520532317,39,0
1520532915,60,0
1520535618,37,0
1520535917,4,0
1520536515,1,0
1520538915,1,0
1520539816,38,0
1520540416,6,0
1520544016,4,0
1520544317,6,0
1520546418,183,0
1520546716,39,0
1520549115,6,0
1520549716,34,0
1520551818,2,0
1520552416,2,0
1520554515,36,0
1520554816,6,0
1520556916,34,0
1520559916,23,0
1520560215,2,0
1520560819,2,0
1520561716,8,0
1520562016,70,0
1520562617,65,0
1520563216,2,0
1520564116,1,0
1520565015,13,0
1520565617,1,0
1520566515,1,0
1520566818,1,0
1520567416,1,0
1520568016,5,0
1520569815,10,0
1520570416,15,0
1520570716,3,0
1520572816,27,3
1520573115,4,0
1520573715,4,0
1520575218,1,0
1520575517,28,0
1520578515,2,0
1520579415,1,0
1520580916,26,0
1520581217,5,0
1520583315,22,3
1520583616,3,0
1520586018,8,0
1520588115,21,0
1520588416,13,0
1520588715,27,0
1520589316,2,0
1520590817,46,0
1520591715,38,3
1520594116,1,0
1520596516,28,1
1520596818,5,0
1520598618,12,0
1520599216,19,0
1520599516,6,0
1520601316,65,0
1520601616,1,0
1520601915,1,0
1520602515,2,0
1520604019,11,0
1520604615,10,0
1520607015,1,0
1520607618,5,0
1520609116,6,0
1520609417,132,0
1520610016,66,0
1520610316,3,0
1520612416,19,0
1520612715,2,0
1520614820,1,0
1520615116,2,0
1520618125,3,0
1520620217,8,0
1520620517,4,0
1520620816,5,0
1520622316,5,0
1520622915,3,0
1520623216,10,0
1520623816,2,0
1520625017,32,0
1520625618,239,0
1520626215,216,3
1520626517,1,0
1520626818,1,0
1520627715,2,0
1520628017,10,0
1520629217,1,0
1520630416,51,0
1520631015,1,0
1520632818,19,0
1520633116,31,3
1520635515,0,2
1520638216,1,0
1520640316,24,0
1520643316,1,0
1520645417,17,0
1520650216,39,0
1520650516,43,0
1520650818,3,0
1520652915,9,0
1520653218,2,0
1520653816,3,0
1520655315,18,0
1520655916,4,0
1520660416,6,0
1520661015,2,0
1520664316,5,0
1520666719,1,0
1520667315,4,0
1520670317,1,0
1520673016,28,0
1520676018,4,0
1520676316,1,0
1520679915,4,0
1520682916,4,0
1520683217,1,0
1520685617,1,0
1520686516,1,0
1520689217,25,0
1520692218,3,0
1520692817,50,0
1520695216,22,0
1520695516,120,0
1520696115,124,0
1520697915,2,0
1520698516,269,0
1520699116,164,3
1520700017,10,0
1520701816,5,0
1520702115,71,0
1520702418,41,0
1520703016,1,0
1520704216,11,0
1520705116,6,0
1520706018,2,0
1520706317,7,0
1520706915,27,0
1520708417,2,0
1520709317,1,0
1520709616,1,0
1520710218,5,0
1520712616,8,0
1520713217,3,0
1520713517,25,0
1520714115,3,0
1520714715,1,0
1520715916,1,0
1520716816,8,0
1520717416,4,0
1520719218,7,0
1520721015,17,0
1520721617,4,0
1520722515,2,0
1520724017,4,0
1520724616,1,0
1520725816,9,0
1520728217,7,0
1520729715,20,0
1520730315,1,0
1520730916,16,0
1520731217,161,0
1520731816,78,0
1520732416,80,0
1520733019,10,0
1520733617,1,0
1520735416,2,0
1520736016,6,0
1520736914,1,0
1520738415,32,0
1520738716,1,0
1520739317,2,0
1520742319,18,0
1520742617,13,0
1520745916,5,0
1520746515,3,0
1520747415,6,0
1520749218,1,0
1520750116,7,0
1520751315,32,0
1520754016,6,0
1520756416,16,0
1520756716,3,0
1520757315,2,0
1520757916,9,3
1520758817,12,0
1520760316,1,0
1520760616,1,0
1520761216,6,0
1520763615,30,0
1520763916,1,0
1520766916,24,0
1520767217,34,0
1520767515,1,0
1520768120,2,0
1520769015,5,0
1520773218,2,0
1520773516,13,0
1520776818,31,0
1520777116,67,0
1520778616,93,0
1520778916,1,0
1520781616,43,0
1520782516,5,0
1520783415,3,0
1520785517,5,0
1520785816,44,0
1520788816,139,0
1520789117,3,0
1520789715,176,0
1520790316,127,0
1520790915,28,0
1520792116,5,0
1520792416,6,0
1520793315,3,0
1520793617,81,0
1520795415,19,0
1520796316,1,0
1520796916,4,0
1520799617,12,0
1520800217,1,0
1520804117,9,0
1520804416,16,3
1520805015,8,5
1520805616,0,5
1520806216,7,0
1520806516,1,0
1520806816,118,0
1520807417,6,0
1520809815,12,0
1520810416,1,3
1520810716,0,4
1520811617,2,9
1520811916,6,5
1520812516,0,4
1520812819,1,1
1520813418,0,11
1520814016,3,6
1520814315,3,5
1520814916,41,2
1520815516,84,3
1520815816,63,0
1520816417,5,0
1520817316,1,0
1520817617,4,0
1520818216,1,0
1520818816,19,0
1520821216,22,0
1520822116,11,0
1520824515,21,0
1520824815,3,0
1520825417,4,0
1520826016,3,0
1520828417,22,0
1520831716,15,0
1520832017,2,0
1520832616,8,0
1520833216,2,0
1520836219,13,0
1520836516,5,0
1520837417,2,0
1520838616,1,0
1520840115,21,0
1520842215,1,0
1520843417,1,0
1520844016,21,0
1520844915,1,5
1520845218,0,3
1520845816,0,1
1520846716,1,0
1520847315,46,0
1520851217,8,0
1520866515,1,0
1520882417,1,0
1520887816,168,0
1520888417,2,0
1520889915,1,0
1520892018,1,0
1520896515,1,0
1520906417,1,0
1520913617,1,0
1520919616,4,0
1520923216,1,0
1520923516,1,0
1520924115,1,0
1520925015,1,0
1520937015,0,1
1520967617,1,0
1520977216,0,1
1520981115,1,0
1520985015,1,0
1521024017,1,0
1521034817,1,0
1521043517,1,0
1521057921,1,0
1521090315,1,0
1521114916,1,0
1521118817,0,1
1521120916,0,1
1521126615,1,0
1521152116,1,0
1521177916,1,0
1521178817,1,0
1521198616,0,2
1521198916,0,1
1521233118,1,0
1521293419,1,0
1521323116,0,1
1521327314,1,0
1521363316,1,0
1521367815,1,0
1521392117,138,0
1521413715,0,1
1521414917,1,0
1521449716,0,1
1521460821,1,0
1521463218,1,0
1521468616,0,1
1521470117,1,0
1521522032,1,0
1521537917,1,0
1521550820,1,0
1521552917,1,0
1521554419,1,0
1521564616,1,0
1521582019,5,0
1521601221,1,0
1521623116,0,3
1521630915,1,0
1521633915,1,0
1521647415,1,0
1521666916,1,0
1521676516,0,3
1521676819,0,1
1521677416,209,6
1521678018,0,12
1521678322,0,2
1521678916,0,9
1521679217,0,3
1521679817,0,4
1521680419,0,8
1521687016,1,0
1521720018,1,0
1521720616,1,0
1521720917,1,0
1521721219,1,0
1521739817,1,0
1521746416,1,0
1521769816,1,0
1521815117,1,0
1521820817,2,0
1521873017,1,0
1521881117,1,0
1521936915,1,0
1521968418,1,0
1521969915,1,0
1522002017,0,1
1522007416,1,0
1522013116,1,0
1522045816,1,0
1522046716,0,1
1522052715,0,1
1522053918,0,1
1522054516,0,4
1522054819,0,2
1522081516,1,0
1522089315,1,0
1522091716,392,3
1522092017,70,3
1522098020,1,0
1522110016,1,0
1522118419,1,0
1522135518,0,1
1522148418,2,0
1522201216,1,0
1522213217,1,0
1522215315,2,0
1522216817,1,0
1522220716,0,1
1522238716,1,0
1522239917,1,0
1522248616,1,0
1522270818,2,0
1522287316,1,0
1522287915,1,0
1522302017,1,0
1522310116,0,1
1522317317,1,0
1522326018,1,0
1522364716,1,0
1522401316,1,0
1522409417,1,0
1522419016,1,0
1522428916,2,0
1522440018,1,0
1522445416,2,0
1522451416,1,0
1522493715,1,0
1522506617,1,0
1522521616,36,0
1522522216,501,6
1522522818,120,0
1522525217,0,1
1522534816,0,1
1522590916,195,11
1522591218,292,0
1522591816,223,0
1522596017,76,0
1522596618,527,6
1522597217,48,0
1522602915,1,0
1522605016,459,6
1522605617,150,0
1522617616,0,1
1522678516,1,0
1522680016,1,0
1522680616,1,0
1522689018,2,0
1522707016,1,0
1522760418,1,0
1522761617,2,0
1522764316,0,1
1522786818,1,0
1522792518,187,0
1522792829,283,8
1522793416,378,1
1522794017,353,2
1522794316,103,1
1522795816,0,10
1522797316,0,1
1522798817,0,4
1522799117,3,4
1522799716,0,4
1522800020,0,6
1522800316,0,1
1522801216,0,8
1522802116,8,0
1522802716,384,0
1522803017,197,0
1522803617,207,0
1522808118,1,0
1522828818,0,2
1522831216,3,0
1522834816,1,0
1522835417,0,2
1522859420,1,0
1522867516,1,0
1522871417,248,6
1522872017,135,0
1522882816,1,0
1522889116,2,0
1522891515,1,0
1522933517,2,0
1522958716,1,0
1522968017,15,3
1522968317,273,3
1522968616,159,3
1522996817,0,4
1522997117,0,2
1522997716,0,2
1523001916,0,1
1523009416,1,0
1523013617,1,0
1523033716,1,0
1523055017,1,0
1523056516,1,0
1523060416,1,0
1523109316,1,0
1523109916,1,0
1523116516,1,0
1523133019,2,0
1523133317,6,0
1523133618,1,0
1523144716,33,3
1523145316,347,6
1523145618,5,0
1523148317,3,0
1523148618,90,0
1523149217,199,0
