DateTime,AddedIPs,RemovedIPs
1508601620,256,0
1508603423,256,0
1508604621,0,256
1508608578,256,0
1508687468,256,0
1508695206,256,0
1508707823,256,0
1508711429,256,0
1508725835,256,0
1508759600,256,0
1508767224,0,256
1508784662,0,256
1508790635,256,0
1508824305,256,0
1508856689,0,512
1508863950,256,0
1508875253,0,256
1508938219,256,0
1508957564,0,256
1509026113,0,256
1509036772,256,0
1509039025,256,0
1509105083,256,0
1509108750,512,0
1509119459,0,256
1509135306,0,256
1509161434,256,0
1509191471,256,0
1509202356,512,0
1509204620,256,0
1509210022,0,256
1509229831,256,256
1509288690,256,0
1509304507,0,256
1509316230,0,256
1509317513,256,0
1509323434,256,0
1509372047,0,256
1509414966,256,0
1509450703,0,512
1509468790,256,0
1509473760,256,0
1509517837,0,512
1509525054,0,256
1509528652,0,256
1509553835,0,256
1509558750,0,256
1509576665,256,0
1509592576,256,0
1509691894,256,0
1509807143,0,256
1509832351,512,0
1509897031,0,256
1509900686,256,0
1509904286,0,256
1509911413,256,0
1509921941,256,0
1509976226,0,256
1509996623,256,0
1510066223,0,256
1510093818,0,256
1510097418,0,256
1510141875,0,256
1510163412,0,256
1510168505,0,256
1510180229,0,256
1510182908,0,256
1510214022,0,256
1510224647,512,0
1510230622,0,1024
1510249775,256,0
1510263019,256,0
1510263938,256,0
1510289399,768,0
1510331430,0,256
1510407050,0,512
1510410655,0,256
1510435869,0,256
1510505122,0,512
1510551909,0,256
1510554635,256,0
1510584329,0,512
1510590627,0,256
1510595132,0,256
1510604110,0,256
1510621431,256,0
1510623021,256,0
1510625708,0,256
1510674310,0,768
1510704066,256,0
1510743176,256,0
1510750250,0,512
1510839911,0,1280
1510880823,512,0
1510888121,256,0
1510927871,256,0
1511037037,0,256
1511053224,256,0
1511073963,0,256
1511102725,0,1024
1511139014,512,0
1511192702,0,256
1511220825,1280,0
1511225119,256,0
1511226918,256,0
1511252444,768,0
1511254804,512,0
1511275520,256,0
1511279117,0,1024
1511351134,0,512
1511356833,0,256
1511364049,1024,0
1511367674,0,256
1511370928,1024,0
1511378133,1024,0
1511383532,256,0
1511387134,256,0
1511392841,256,0
1511426743,0,256
1511454149,0,256
1511456402,0,256
1511471737,256,0
1511493681,256,0
1511527541,0,256
1511544602,768,0
1511567154,256,0
1511571603,256,0
1511623587,256,0
1511655839,256,0
1511700340,0,512
1511706074,256,0
1511793922,0,1024
1511804729,0,256
1511810134,256,0
1511814114,0,256
1511821400,0,256
1511880341,0,768
1511882607,256,0
1511908203,0,256
1512065734,0,256
1512080683,0,256
1512138357,256,0
1512141331,256,0
1512168338,0,512
1512228636,256,0
1512238965,256,0
1512240328,256,0
1512251139,0,512
1512264604,0,256
1512325983,512,0
1512474335,0,256
1512495004,256,0
1512501774,256,256
1512527404,0,256
1512562552,0,256
1512581530,512,256
1512627745,0,256
1512675927,0,512
1512757832,256,0
1512817207,0,256
1512832534,256,0
1512837005,256,0
1512841525,0,256
1512869404,0,256
1512880204,0,256
1512915862,512,0
1512967547,256,0
1513034133,256,0
1513036806,0,256
1513125933,256,0
1513126805,0,256
1513149335,0,256
1513212317,0,256
1513294206,0,768
1513298728,0,256
1513363531,256,0
1513484347,512,0
1513485539,512,0
1513558231,0,512
1513563309,0,256
1513645211,0,256
1513646518,256,0
1513731609,0,256
1513734307,256,0
1513763107,256,256
1513816207,0,512
1513817115,0,256
1513827909,0,256
1513845008,0,256
1513846819,0,256
1513848608,0,256
1513852207,0,256
1513874714,0,256
1513910715,256,0
1513984967,768,0
1513993517,512,0
1514035334,0,3584
1514078492,512,0
1514079916,512,0
1514090713,0,256
1514135709,0,512
1514164955,256,0
1514171707,0,256
1514215345,0,512
1514221214,0,512
1514241008,512,0
1514284210,256,0
1514296813,0,768
1514306707,0,256
1514425509,256,0
1514492477,0,256
1514510475,256,0
1514511909,1024,0
1514515509,768,0
1514544308,256,0
1514546473,256,0
1514683304,256,0
1514708461,256,0
1514713511,256,0
1514727915,256,0
1514733321,256,0
1514739606,0,256
1514787335,256,0
1514820113,0,256
1514833207,0,256
1514845806,0,256
1514927726,256,0
1514934009,0,256
1514941209,0,256
1515086131,0,512
1515087008,256,0
1515093919,256,0
1515100949,0,256
1515172902,0,768
1515184322,0,256
1515204138,256,0
1515252086,256,0
1515258121,256,256
1515288061,0,256
1515428132,0,768
1515438922,256,0
1515508218,0,256
1515515414,0,256
1515544261,0,256
1515566750,0,256
1515605416,0,768
1515699015,0,256
1515705999,256,0
1515763396,256,0
1515788127,256,0
1515803083,0,768
1515807933,256,0
1515886207,256,0
1515892522,0,256
1515894332,256,0
1515912337,256,0
1515947001,512,0
1515953730,256,0
1515961807,256,0
1515965173,0,512
1516061707,0,512
1516077005,0,256
1516080153,0,256
1516130119,256,0
1516134351,256,0
1516153520,256,256
1516187716,256,0
1516209326,256,0
1516289407,512,0
1516292678,256,0
1516323612,0,256
1516326305,0,256
1516352417,0,256
1516482925,256,0
1516497339,256,0
1516512607,0,256
1516577408,0,512
1516638411,256,0
1516670806,0,768
1516671005,0,512
1516721409,256,0
1516740328,256,0
1516751106,256,0
1516756534,256,0
1516823139,256,0
1516842011,0,256
1516875338,0,512
1516893338,0,256
1516905207,256,0
1516980606,512,0
1516994131,256,0
1517015733,0,256
1517017536,256,0
1517074235,256,0
1517080525,256,0
1517103008,0,256
1517106737,0,256
1517130932,0,256
1517135441,0,256
1517138136,0,1536
1517149807,0,256
1517153408,512,0
1517251529,256,0
1517260528,256,0
1517276730,256,0
1517299212,0,256
1517302825,0,256
1517310937,0,256
1517326209,256,0
1517378412,0,256
1517402069,256,0
1517415326,0,256
1517418934,256,0
1517440537,256,0
1517445616,512,0
1517513408,768,0
1517526934,256,0
1517531813,256,0
1517585409,256,0
1517618406,256,0
1517682615,256,0
1517705107,256,0
1517775326,0,256
1517843745,0,512
1517852728,256,0
1517941836,768,0
1517944529,0,256
1517960736,256,0
1517963783,512,0
1518050220,256,0
1518098415,0,256
1518107476,256,0
1518108326,256,0
1518122707,256,0
1518123656,0,256
1518136893,256,0
1518201009,0,256
1518223530,512,0
1518288320,256,0
1518298209,0,512
1518306307,0,256
1518308130,256,0
1518374184,256,0
1518376529,0,256
1518381908,256,0
1518396308,256,0
1518462935,256,0
1518482737,256,0
1518505216,0,256
1518514291,0,256
1518537619,0,512
1518540329,256,0
1518549333,0,256
1518555672,0,512
1518569141,0,256
1518640220,0,256
1518655507,256,0
1518724257,256,0
1518726654,0,512
1518727508,0,256
1518750938,256,0
1518812130,256,0
1518815727,0,256
1518906985,256,0
1518971409,512,0
1518973214,0,256
1518987621,0,256
1519081213,0,256
1519147890,0,256
1519173932,256,0
1519194610,0,256
1519219837,256,0
1519228822,0,512
1519250426,0,256
1519254936,0,256
1519260309,256,0
1519326016,0,256
1519346740,256,0
1519348548,256,0
1519395345,0,256
1519420538,0,256
1519432922,512,0
1519496133,0,256
1519598728,0,256
1519744540,0,256
1519769737,256,0
1519786812,0,256
1519799610,256,0
1519831808,0,512
1519839684,256,0
1519845328,256,0
1519868737,0,256
1519890226,256,0
1519911029,256,0
1519918457,0,512
1519967740,256,0
1520031620,0,256
1520039758,0,256
1520104528,0,512
1520107218,0,256
1520123416,0,256
1520125215,0,256
1520177595,0,512
1520184772,256,0
1520203120,256,0
1520210708,256,0
1520274648,0,256
1520282731,256,0
1520356522,0,256
1520374544,256,0
1520440236,512,0
1520444708,0,256
1520469527,256,0
1520530333,256,0
1520532927,0,768
1520555412,0,256
1520616613,0,256
1520695811,256,0
1520699412,0,256
1520778628,256,0
1520796623,0,768
1520869003,256,0
1520879685,0,256
1520901618,256,0
1520919124,256,0
1520955011,256,0
1521027936,0,256
1521058534,256,0
1521083726,256,0
1521132302,0,512
1521178296,256,0
1521202532,256,0
1521221403,256,0
1521227720,0,512
1521311435,512,0
1521315003,0,512
1521323119,256,0
1521333455,256,0
1521394202,256,256
1521427256,256,0
1521504004,0,256
1521506280,256,0
1521510326,256,0
1521512131,0,256
1521540936,0,256
1521562519,0,512
1521589533,256,0
1521648933,0,256
