DateTime,Entries,UniqueIPs
1508601620,115,32256
1508603423,116,32512
1508604621,116,32256
1508608578,117,32512
1508687468,118,32768
1508695206,119,33024
1508707823,120,33280
1508711429,121,33536
1508725835,122,33792
1508759600,123,34048
1508767224,122,33792
1508784662,121,33536
1508790635,122,33792
1508824305,123,34048
1508856689,121,33536
1508863950,122,33792
1508875253,121,33536
1508938219,122,33792
1508957564,121,33536
1509026113,120,33280
1509036772,121,33536
1509039025,122,33792
1509105083,123,34048
1509108750,123,34560
1509119459,122,34304
1509135306,121,34048
1509161434,122,34304
1509191471,122,34560
1509202356,123,35072
1509204620,124,35328
1509210022,123,35072
1509229831,123,35072
1509288690,124,35328
1509304507,123,35072
1509316230,122,34816
1509317513,123,35072
1509323434,124,35328
1509372047,123,35072
1509414966,124,35328
1509450703,123,34816
1509468790,124,35072
1509473760,125,35328
1509517837,124,34816
1509525054,123,34560
1509528652,122,34304
1509553835,121,34048
1509558750,120,33792
1509576665,121,34048
1509592576,122,34304
1509691894,123,34560
1509807143,122,34304
1509832351,124,34816
1509897031,124,34560
1509900686,124,34816
1509904286,123,34560
1509911413,124,34816
1509921941,125,35072
1509976226,124,34816
1509996623,125,35072
1510066223,124,34816
1510093818,123,34560
1510097418,122,34304
1510141875,121,34048
1510163412,120,33792
1510168505,119,33536
1510180229,118,33280
1510182908,117,33024
1510214022,116,32768
1510224647,118,33280
1510230622,114,32256
1510249775,115,32512
1510263019,116,32768
1510263938,117,33024
1510289399,120,33792
1510331430,119,33536
1510407050,117,33024
1510410655,116,32768
1510435869,115,32512
1510505122,114,32000
1510551909,113,31744
1510554635,114,32000
1510584329,113,31488
1510590627,112,31232
1510595132,111,30976
1510604110,110,30720
1510621431,111,30976
1510623021,112,31232
1510625708,111,30976
1510674310,108,30208
1510704066,109,30464
1510743176,109,30720
1510750250,109,30208
1510839911,104,28928
1510880823,106,29440
1510888121,107,29696
1510927871,108,29952
1511037037,107,29696
1511053224,108,29952
1511073963,108,29696
1511102725,106,28672
1511139014,108,29184
1511192702,107,28928
1511220825,112,30208
1511225119,113,30464
1511226918,113,30720
1511252444,115,31488
1511254804,117,32000
1511275520,116,32256
1511279117,113,31232
1511351134,111,30720
1511356833,111,30464
1511364049,114,31488
1511367674,113,31232
1511370928,117,32256
1511378133,120,33280
1511383532,121,33536
1511387134,122,33792
1511392841,123,34048
1511426743,122,33792
1511454149,121,33536
1511456402,120,33280
1511471737,121,33536
1511493681,122,33792
1511527541,121,33536
1511544602,124,34304
1511567154,125,34560
1511571603,126,34816
1511623587,127,35072
1511655839,128,35328
1511700340,126,34816
1511706074,127,35072
1511793922,124,34048
1511804729,123,33792
1511810134,124,34048
1511814114,123,33792
1511821400,122,33536
1511880341,120,32768
1511882607,121,33024
1511908203,120,32768
1512065734,119,32512
1512080683,118,32256
1512138357,118,32512
1512141331,119,32768
1512168338,117,32256
1512228636,118,32512
1512238965,119,32768
1512240328,120,33024
1512251139,119,32512
1512264604,118,32256
1512325983,120,32768
1512474335,119,32512
1512495004,120,32768
1512501774,120,32768
1512527404,119,32512
1512562552,118,32256
1512581530,119,32512
1512627745,118,32256
1512675927,116,31744
1512757832,117,32000
1512817207,116,31744
1512832534,117,32000
1512837005,118,32256
1512841525,117,32000
1512869404,116,31744
1512880204,115,31488
1512915862,117,32000
1512967547,118,32256
1513034133,119,32512
1513036806,118,32256
1513125933,119,32512
1513126805,118,32256
1513149335,117,32000
1513212317,116,31744
1513294206,113,30976
1513298728,112,30720
1513363531,113,30976
1513484347,115,31488
1513485539,117,32000
1513558231,115,31488
1513563309,114,31232
1513645211,113,30976
1513646518,114,31232
1513731609,113,30976
1513734307,114,31232
1513763107,114,31232
1513816207,112,30720
1513817115,111,30464
1513827909,110,30208
