DateTime,AddedIPs,RemovedIPs
1519534800,642,615
1519542000,33,32
1519549200,57,55
1519556400,27,28
1519563600,35,34
1519570800,37,34
1519578000,14,15
1519585200,9,9
1519592400,5,4
1519599600,19,17
1519606800,3,892
1519614000,328,0
1519621200,679,115
1519628400,402,400
1519635600,145,150
1519642800,158,155
1519650000,47,48
1519657800,22,22
1519665000,18,19
1519672200,6,8
1519676400,39,36
1519687200,15,14
1519694400,13,891
1519701600,843,2
1519708800,670,640
1519716000,58,53
1519723200,55,53
1519730400,27,27
1519737600,14,14
1519744800,25,27
1519752600,5,8
1519759800,7,8
1519767000,5,9
1519774200,5,5
1519777800,3,885
1519785000,282,0
1519792200,718,119
1519799400,279,263
1519806600,140,147
1519813800,47,44
1519821000,48,49
1519828200,10,14
1519835400,21,22
1519842600,10,10
1519849800,22,24
1519857000,22,22
1519864800,27,888
1519872000,857,26
1519879200,742,731
1519886400,277,261
1519893600,36,33
1519900800,36,35
1519908000,18,17
1519915200,8,8
1519922400,2,2
1519929600,6,6
1519936800,4,4
1519944600,7,5
1519951800,29,892
1519959000,224,0
1519966200,720,117
1519973400,460,434
1519980600,143,145
1519987800,117,101
1519992000,49,50
1519999200,7,5
1520006400,8,7
1520013600,4,3
1520020800,11,8
1520028000,9,11
1520035200,12,900
1520042400,168,0
1520049600,673,17
1520056800,171,165
1520064000,221,208
1520071200,361,356
1520078400,425,411
1520085600,175,167
1520092800,84,83
1520100000,51,44
1520107200,11,8
1520114400,16,15
1520125200,2,894
1520132400,880,0
1520139600,314,324
1520146800,476,482
1520154000,157,157
1520161200,160,142
1520168400,26,25
1520175600,25,26
1520182800,13,10
1520190000,13,13
1520197200,30,27
1520204400,10,10
1520208000,4,890
1520215200,844,1
1520222400,716,721
1520229600,302,269
1520236800,98,94
1520244000,125,119
1520251200,18,17
1520258400,7,7
1520265600,26,25
1520272800,16,16
1520280000,52,48
1520287200,6,7
1520294400,187,890
1520301600,711,13
1520308800,449,469
1520316000,392,385
1520323200,71,67
1520330400,167,154
1520337600,30,28
1520344800,13,11
1520352000,10,12
1520359200,9,7
1520366400,11,13
1520373600,7,5
1520380800,8,893
1520388000,872,8
1520395200,539,534
1520402400,219,208
1520409600,46,41
1520416800,25,22
1520424000,27,26
1520431200,6,8
1520438400,12,10
1520445600,6,6
1520452800,14,16
1520460000,9,10
1520470800,46,892
1520478000,858,30
1520485200,453,450
1520492400,104,99
1520499600,43,44
1520508000,116,110
1520515200,27,23
1520522400,21,22
1520529600,9,9
1520536800,7,6
1520544000,39,34
1520551200,3,3
1520554800,1,898
1520562000,848,1
1520569200,599,559
1520576400,76,73
1520583600,61,60
1520590800,23,23
1520598000,18,20
1520605200,22,23
1520612400,6,6
1520619600,8,8
1520626800,13,9
1520634000,8,6
1520641200,6,895
1520648400,486,0
1520655600,812,435
1520662800,297,283
1520670000,161,149
1520677200,48,41
1520684400,31,34
1520691600,2,4
1520698800,9,8
1520706000,19,16
1520713200,7,6
1520720400,4,5
1520731200,12,888
1520738400,837,2
1520745600,615,606
1520752800,165,155
1520760000,81,75
1520767200,44,39
1520774400,9,10
1520781600,12,10
1520788800,9,8
1520796000,14,11
1520803200,12,11
1520810400,8,8
1520814000,1,896
1520821200,876,0
1520828400,479,471
1520835600,139,132
1520842800,33,34
1520850000,47,47
1520857200,12,12
1520864400,10,9
1520871600,8,6
1520879400,4,7
1520888400,34,31
1520892000,3,2
1520899200,1,895
1520906400,856,0
1520913600,793,770
1520920800,105,91
1520928000,66,63
1520935200,30,28
1520942400,41,42
1520949600,9,10
1520956800,21,19
1520964000,29,28
1520974800,4,6
1520982000,15,18
1520989200,2,895
1520996400,859,1
1521003600,439,426
1521010800,297,278
1521018000,75,72
1521025200,32,29
1521032400,34,32
1521039600,11,12
1521043800,12,13
1521054600,8,8
1521061800,10,12
1521069000,1,3
1521080400,809,875
1521087600,859,807
1521094800,37,29
1521102000,62,53
1521109200,28,25
1521116400,11,13
1521123600,18,25
1521130800,7,11
1521138000,10,11
1521145200,40,39
1521152400,9,11
1521160200,28,885
1521167400,855,28
1521174600,565,542
1521181800,182,177
1521189000,34,35
1521196200,30,33
1521203400,22,20
1521210600,15,14
1521217800,10,9
1521225000,10,12
1521232200,5,3
1521239400,11,10
1521246600,8,884
1521253800,432,0
1521261000,732,315
1521268200,313,302
1521275400,83,70
1521282600,33,30
1521289800,12,11
1521297000,26,23
1521304200,9,9
1521311400,2,5
1521318600,6,5
1521326400,5,8
