DateTime,AddedIPs,RemovedIPs
1479847231,0,4
1479933562,4,5
1480019976,7,4
1480106368,4,5
1480192690,3,2
1480279147,4,2
1480365565,1,4
1480452001,1,1
1480538384,3,6
1480624771,3,8
1480711160,10,5
1480797538,4,3
1480884020,2,2
1480970370,3,5
1481056922,4,6
1481143191,5,7
1481229586,8,5
1481315989,7,4
1481402313,4,3
1481488730,3,2
1481575199,4,6
1481662450,3,7
1481748078,6,4
1481834434,0,7
1481920795,5,2
1482007176,2,3
1482093578,3,2
1482180039,4,6
1482266449,3,1
1482352884,4,4
1482439257,2,3
1482525638,3,4
1482612037,4,0
1482698426,1,4
1482784881,5,3
1482871298,3,3
1482957570,4,4
1483043889,2,6
1483130384,5,4
1483216728,4,1
1483303147,2,4
1483389518,2,5
1483475917,6,5
1483562354,4,4
1483648797,3,5
1483735333,5,1
1483821709,2,1
1483908173,0,1
1483994541,0,2
1484081161,5,3
1484167331,3,1
1484253813,1,3
1484340328,3,6
1484426320,5,3
1484512782,2,2
1484599166,3,3
1484685558,2,4
1484771930,4,3
1484858398,2,5
1484944775,2,3
1485031084,4,2
1485117556,4,4
1485203974,2,3
1485290390,6,9
1485376756,10,2
1485463295,3,7
1485549693,7,5
1485636073,3,1
1485722443,1,8
1485808916,5,6
1485895363,5,6
1485981591,9,1
1486068066,1,4
1486154340,4,6
1486240748,6,4
1486327135,3,3
1486413471,2,4
1486499903,3,4
1486586266,3,4
1486672741,6,2
1486759093,1,2
1486845539,1,7
1486931905,5,2
1487018483,1,5
1487104992,4,1
1487191108,4,8
1487277532,6,3
1487363947,3,4
1487450301,3,3
1487536804,5,5
1487623166,6,2
1487709695,4,4
1487796027,4,7
1487882556,6,5
1487968892,4,6
1488055184,6,1
1488141597,2,2
1488227942,3,2
1488314415,2,4
1488400754,3,6
1488487188,6,6
1488573611,5,4
1488660020,5,3
1488746375,3,5
1488832741,5,8
1488919131,8,5
1489005618,1,8
1489092038,5,2
1489178435,4,2
1489264829,0,4
1489347601,5,2
1489434026,3,5
1489520452,5,4
1489606866,0,6
1489693233,5,2
1489779635,4,4
1489866066,4,2
1489952425,3,6
1490038832,3,2
1490125249,3,4
1490211698,4,7
1490298045,4,1
1490384350,4,3
1490470839,4,1
1490557244,0,5
1490643628,5,5
1490730005,3,4
1490816420,1,2
1490902819,4,1
1490989216,1,4
1491075620,4,3
1491162036,3,2
1491248469,1,3
1491334865,5,4
1491421282,4,1
1491507650,1,3
1491594003,5,2
1491680467,2,6
1491766840,6,2
1491853236,1,4
1491939659,1,2
1492026021,5,3
1492112431,0,6
1492198838,5,1
1492285175,2,2
1492371585,2,2
1492458002,0,5
1492544480,6,6
1492631032,3,1
1492717467,2,1
1492803797,4,4
1492890173,4,5
1492976573,2,2
1493062800,2,2
1493149167,1,5
1493235599,5,1
1493321899,3,9
1493408348,6,4
1493494785,2,3
1493581233,3,1
1493667653,1,4
1493754044,2,1
1493840479,2,1
1493926818,1,4
1494013235,3,1
1494099605,0,4
1494186044,4,1
1494272448,1,2
1494358828,2,1
1494444841,5,5
1494531173,3,5
1494617535,6,4
1494703986,3,4
1494790424,3,2
1494876835,4,3
1494963197,2,4
1495049613,4,6
1495135998,4,7
1495222428,8,1
1495308899,1,4
1495395213,6,4
1495481608,4,4
1495568141,4,1
1495654405,2,4
1495740771,4,3
1495827189,2,1
1495999966,1,2
1496086381,2,1
1496172757,1,7
1496259190,5,2
1496345592,3,5
1496432017,2,4
1496518378,5,1
1496604768,1,3
1496691232,3,3
1496777606,2,3
1496864013,2,6
1496950386,5,5
1497036802,5,5
1497123169,5,2
1497209565,2,2
1497295989,2,1
1497382413,2,3
1497468803,2,4
1497555180,3,3
1497641572,0,1
1497727945,1,1
1497814331,3,3
1497900735,3,9
1497987183,5,5
1498073581,3,4
1498159962,6,4
1498246386,4,6
1498332751,5,3
1498419169,1,4
1498505616,6,2
1498592007,5,5
1498678399,3,7
1498764831,5,6
1498851167,9,10
1498937614,7,6
1499024002,6,0
1499110405,1,5
1499196826,4,4
1499283372,3,2
1499369615,4,5
1499455991,3,3
1499542398,4,2
1499628771,3,4
1499715131,5,6
1499801572,4,2
1499887990,2,0
1499974364,0,3
1500060806,2,2
1500147147,2,3
1500233551,6,4
1500319932,3,3
1500406380,3,3
1500492791,3,5
1500579138,4,4
1500665599,5,0
1500751946,0,3
1500838361,3,2
1500924763,2,4
1501011148,4,5
1501097529,3,6
1501183928,4,3
1501270367,3,2
1501356726,4,5
1501443139,3,3
1501529575,3,7
1501616083,8,5
1501702415,6,3
1501788763,3,4
1501875185,4,3
1501961566,3,1
1502047948,1,3
1502134325,5,5
1502220776,5,1
1502307204,2,3
1502393619,1,3
1502480020,0,2
1502566358,0,1
1502652825,2,1
1502739197,1,4
1502825557,6,2
1502912008,1,4
1502998479,4,2
1503084804,3,3
1503171129,2,2
1503257549,2,1
1503343926,2,2
1503430378,2,4
1503516761,3,2
1503603211,2,6
1503689589,6,6
1503775948,5,3
1503862383,4,3
1503948782,3,2
1504035195,2,2
1504121607,2,6
1504207954,5,3
1504294383,3,5
1504380701,7,4
1504467118,2,2
1504553518,3,4
1504639923,1,4
1504726357,6,5
1504812736,3,1
1504899111,2,2
1504985595,1,2
1505071900,2,1
1505158323,2,4
1505244754,3,3
1505331259,1,2
1505417595,2,4
1505503986,4,1
1505590347,4,2
1505676771,2,2
1505763196,1,4
1505849568,3,2
1505936049,1,4
1506022406,4,7
1506108758,5,1
1506195140,3,3
1506281535,3,4
1506367936,3,2
1506454345,2,3
1506540771,3,5
1506627207,3,4
1506713591,4,6
1506799954,6,1
1506886313,1,7
1506972772,5,2
1507059139,2,3
1507145561,3,3
1507231932,3,2
1507318350,2,2
1507404743,2,3
1507491160,3,3
1507577536,3,3
1507663963,2,4
1507750345,4,3
1507836741,2,3
1507923154,1,3
1508009518,1,1
1508095957,1,7
1508182388,6,0
1508268787,3,3
1508355163,1,3
1508441595,3,4
1508527998,2,5
1508614315,6,3
1508700794,4,5
1508787217,5,5
1508873659,4,4
1508960063,4,1
1509046700,0,4
1509132810,5,1
1509219215,2,0
1509305591,0,3
1509392061,2,1
1509478430,1,2
1509564853,0,3
1509651180,5,0
1509737641,1,6
1509824021,3,2
1509914007,4,1
1510000434,0,5
1510086792,5,3
1510173176,1,6
1510259552,7,0
1510345946,0,3
1510432422,3,3
1510518841,2,5
1510605086,6,4
1510691734,3,3
1510777916,4,1
1510864321,2,1
1510950881,1,4
1511037111,2,4
1511123568,4,3
1511209946,4,0
1511296538,0,7
1511382741,7,2
1511469155,1,5
1511555541,4,1
1511641987,2,3
1511728314,3,2
1511814728,2,7
1511901144,5,4
1511987495,6,7
1512073990,3,3
1512160366,2,0
1512246736,0,4
1512333084,3,2
1512419530,2,1
1512505949,1,1
1512592326,1,1
1512678765,1,0
1512765158,0,4
1512851513,3,2
1512937982,1,2
1513024355,3,4
1513110706,6,4
1513197124,1,6
1513283496,6,3
1513369973,1,2
1513456577,4,4
1513542766,5,4
1513629149,2,2
1513715603,3,3
1513801931,3,3
1513888336,2,3
1513974726,4,3
1514061121,3,2
1514147590,2,1
1514233923,1,3
1514320314,1,2
1514406714,2,1
1514493144,1,3
1514579538,3,1
1514665945,1,4
1514752303,4,1
1514838793,0,4
1514925099,4,1
1515011495,2,2
1515097903,2,4
1515184262,3,2
1515270645,2,3
1515357124,3,2
1515529951,3,2
1515616310,2,1
1515702712,1,6
1515789123,7,3
1515875502,2,5
1515961888,5,2
1516048301,2,4
1516137899,2,48
1516221812,47,3
1516307545,6,3
1516394037,4,3
1516480303,2,2
1516566701,2,5
1516653148,6,2
1516739534,1,2
1516825905,3,3
1516912295,2,3
1516998838,3,3
1517085094,2,2
1517171523,2,4
1517257933,5,2
1517344298,2,4
1517430759,4,3
1517517127,3,7
1517603527,5,2
1517689894,0,2
1517776274,4,1
1517862725,1,2
1517949135,2,2
1518035513,2,2
1518121980,0,1
1518208333,1,6
1518294717,4,1
1518381126,3,5
1518467483,3,1
1518553935,1,3
1518640378,3,1
1518726754,1,3
1518813108,4,2
1518899493,2,1
1518985891,1,2
1519072305,2,4
1519158694,4,5
1519245110,7,4
1519331854,1,3
1519417977,4,5
1519504289,5,2
1519590693,1,3
1519677199,4,3
1519763575,3,4
1519850027,3,8
1519936374,7,2
1520022790,2,0
1520109174,2,6
1520195497,4,2
1520281911,0,3
1520368390,2,0
1520454730,2,4
1520541130,3,3
1520627527,5,2
1520713952,2,3
1520796738,1,0
1520883187,2,8
1520969557,7,2
1521055915,2,2
1521142331,2,2
1521228731,3,3
1521315146,4,4
1521401525,5,3
1521487934,3,2
1521574373,2,3
1521660800,2,4
1521747160,3,1
1521833628,2,2
1521919894,3,3
1522006340,2,7
1522092768,3,4
1522179196,6,2
1522265510,1,3
1522352002,2,3
1522438344,2,1
1522524736,1,3
1522611138,2,2
1522697536,5,2
1522783955,1,0
1522870412,0,4
1522956797,4,5
1523043277,3,0
1523129497,2,2
