DateTime,Entries,UniqueIPs
1479847231,231,231
1479933562,230,230
1480019976,233,233
1480106368,232,232
1480192690,233,233
1480279147,235,235
1480365565,232,232
1480452001,232,232
1480538384,229,229
1480624771,224,224
1480711160,229,229
1480797538,230,230
1480884020,230,230
1480970370,228,228
1481056922,226,226
1481143191,224,224
1481229586,227,227
1481315989,230,230
1481402313,231,231
1481488730,232,232
1481575199,230,230
1481662450,226,226
1481748078,228,228
1481834434,221,221
1481920795,224,224
1482007176,223,223
1482093578,224,224
1482180039,222,222
1482266449,224,224
1482352884,224,224
1482439257,223,223
1482525638,222,222
1482612037,226,226
1482698426,223,223
1482784881,225,225
1482871298,225,225
1482957570,225,225
1483043889,221,221
1483130384,222,222
1483216728,225,225
1483303147,223,223
1483389518,220,220
1483475917,221,221
1483562354,221,221
1483648797,219,219
1483735333,223,223
1483821709,224,224
1483908173,223,223
1483994541,221,221
1484081161,223,223
1484167331,225,225
1484253813,223,223
1484340328,220,220
1484426320,222,222
1484512782,222,222
1484599166,222,222
1484685558,220,220
1484771930,221,221
1484858398,218,218
1484944775,217,217
1485031084,219,219
1485117556,219,219
1485203974,218,218
1485290390,215,215
1485376756,223,223
1485463295,219,219
1485549693,221,221
1485636073,223,223
1485722443,216,216
1485808916,215,215
1485895363,214,214
1485981591,222,222
1486068066,219,219
1486154340,217,217
1486240748,219,219
1486327135,219,219
1486413471,217,217
1486499903,216,216
1486586266,215,215
1486672741,219,219
1486759093,218,218
1486845539,212,212
1486931905,215,215
1487018483,211,211
1487104992,214,214
1487191108,210,210
1487277532,213,213
1487363947,212,212
1487450301,212,212
1487536804,212,212
1487623166,216,216
1487709695,216,216
1487796027,213,213
1487882556,214,214
1487968892,212,212
1488055184,217,217
1488141597,217,217
1488227942,218,218
1488314415,216,216
1488400754,213,213
1488487188,213,213
1488573611,214,214
1488660020,216,216
1488746375,214,214
1488832741,211,211
1488919131,214,214
1489005618,207,207
1489092038,210,210
1489178435,212,212
1489264829,208,208
1489347601,211,211
1489434026,209,209
1489520452,210,210
1489606866,204,204
1489693233,207,207
1489779635,207,207
1489866066,209,209
1489952425,206,206
1490038832,207,207
1490125249,206,206
1490211698,203,203
1490298045,206,206
1490384350,207,207
1490470839,210,210
1490557244,205,205
1490643628,205,205
1490730005,204,204
1490816420,203,203
1490902819,206,206
1490989216,203,203
1491075620,204,204
1491162036,205,205
