DateTime,Entries,UniqueIPs
1457587802,1439,24198568
1457674201,1440,24198312
1457760601,1438,24198567
1457929802,1307,24241695
1458016201,1454,24242095
1458102601,1452,24241841
1458189005,1458,24242099
1458275401,1460,24242101
1458361801,1476,24242117
1458534601,1480,23813577
1458621001,1487,23813584
1458707401,1481,23813325
1458793801,1485,23813326
1458880201,1489,23813588
1459053001,1494,23444694
1459139402,1495,23444695
1459225801,1496,23444696
1459312201,1520,23444720
1459398602,1522,23444722
1459485001,1523,23444723
1459657801,1531,23347448
1459744201,1530,23347447
1459830601,1528,23347445
1459917002,1528,23347445
1460003402,1526,23347443
1460089801,1529,23347191
1460435402,1533,23495157
1460521801,1532,23495156
1460608201,1536,23495160
1460694602,1538,23495162
1460953801,1535,23289081
1461040202,1537,23289339
1463545801,1570,22924302
1463632201,1575,22924307
1463718602,1577,22924309
1463977802,1576,22989843
1464064201,1575,22989842
1464150602,1576,22989843
1464237001,1576,22989843
1464323401,1575,22989842
1464669001,1576,22914069
1464755402,1606,22914099
1464841801,1609,22914102
1464928202,1607,22914100
1465187401,1601,22911796
1465273801,1599,22911794
1465360201,1600,22911795
1465446602,1601,22911796
1465533001,1605,22911800
1465619401,1605,22911800
1465705801,1601,22842678
1465792202,1601,22842678
1465878601,1601,22842678
1465965001,1600,22842677
1466051401,1602,22842679
1466137801,1600,22842422
1466397001,1584,22835500
1466483402,1585,22835501
1466569801,1584,22835500
1466656201,1584,22835500
1466742601,1584,22835500
1466915402,1589,22846764
1467001801,1591,22846766
1467088201,1589,22846764
1467174602,1590,22846765
1467261001,1589,22846764
1467347401,1589,22846764
1467693001,1595,22844723
1467779401,1597,22844725
1467865801,1597,22844725
1467952201,1598,22844471
1468211401,1602,22912311
1468297801,1601,22912310
1468384201,1603,22912312
1468470601,1603,22912312
1468557001,1605,22912314
1468816202,941,23023497
1468902601,1631,23024191
1468989001,1630,23024190
1469075401,1629,23024189
1469161801,1633,23024193
1469421001,1629,22958655
1469507401,1630,22958655
1469593801,1629,22958654
1469680202,1629,22958654
1469766601,1628,22958653
1470112201,1631,23023168
1470198601,1630,23022912
1470285001,1632,23023169
1470371401,1632,23023169
1470630601,1634,23147077
1470717001,1633,23147076
1470803401,1631,23146819
1470889801,1633,23147076
1470976201,1633,23147076
1471235402,1636,23286596
1471321801,1636,23286596
1471408201,1637,23286597
1471494601,1636,23286596
1471581001,1636,23286596
1471840201,1635,23417668
1471926601,1637,23417415
1472013001,1636,23417670
1472099401,1642,23417675
1472185801,1642,23417675
1472445001,1640,23350859
1472531401,1641,23350860
1472617802,1646,23350865
1472704201,1645,23350864
1472790601,1643,23350608
1473136201,1642,23284302
1473222601,1643,23284303
1473309002,1642,23284048
1473395402,1642,23284302
1473654601,1675,25544782
1473741002,1673,25544780
1473827401,1674,25544781
1473913801,1672,25544779
1474000201,1674,25545036
1474259401,1677,25538639
1474345801,1676,25538638
1474432201,1680,25538642
1474518601,1678,25538895
1474605002,1676,25538638
1474777802,1677,25343057
1474864201,1675,25343055
1474950601,1675,25343055
1475037002,1679,25343059
1475123402,1675,25399635
1475209801,1677,25399381
1475469002,1677,25398103
1475555402,1679,25398105
1475641801,1678,25398104
1475728201,1678,25398104
1475814601,1676,25398102
1476073801,1676,25454423
1476160201,1675,25454422
1476246601,1677,25454679
1476333001,1677,25454424
1476419401,1678,25454680
1476765002,1658,25449546
1476851401,1658,25449291
1476937801,1659,25449292
1477024201,1659,25449548
1477283401,1657,25382732
1477369801,1660,25382735
1477456202,1659,25382734
1477542601,1661,25382736
1477629002,1664,25382739
1477888201,1664,25382739
1477974601,1665,25382741
1478061001,1666,25382741
1478147401,1666,25382742
1478233801,1667,25382742
1478496601,1663,25281109
1478583002,1664,25281109
1478669401,1664,25281109
1478755802,1668,25281113
1478842201,1666,25281111
1479101401,1665,25281112
1479187801,1665,25281111
1479274201,1668,25281114
1479360601,1672,25281118
1479447001,1672,25281118
1479706201,1669,25263201
1479792601,1669,25263202
1479879001,1668,25263202
1480311001,1665,25262688
1480397401,1663,25262686
1480483802,1665,25262687
1480656601,1664,25262687
1480915801,1664,25202269
1481002201,943,25201545
1481088601,943,25201545
1481175001,942,25201544
1481261401,1662,25202268
1481520601,1661,25202267
1481607001,1661,25202267
1481693401,1660,25202266
1481779801,1661,25202267
1481866201,1662,25202268
1482125401,1666,25200225
1482211802,1666,25200225
1482298201,1666,25200225
1482384601,1666,25200225
1482471002,1669,25200228
1482816601,1674,25203561
1482903002,1674,25203561
1482989402,1674,25203561
1483075801,1674,25203561
1483421401,1678,25399402
1483507801,1678,25399402
1483594202,1678,25399402
1483680601,1679,25399403
1483939802,1684,25464938
1484026202,1684,25464938
1484112601,1684,25464938
1484199001,1669,25464923
1484285401,1668,25464922
1484631002,1666,25464154
1484717401,1669,25464157
1484803801,1669,25464157
1484890202,1670,25464158
1485149401,1671,25448545
1485235801,1671,25448545
1485322201,1675,25448549
1485408601,1678,25448553
1485495001,1662,25443435
1485754201,1678,25379948
1485840601,1680,25379949
1485927001,938,25379204
1486013401,1680,25379949
1486099802,1680,25379949
1486359001,1677,25310828
1486445401,1684,25310834
1486531801,1685,25310835
1486618201,1688,25310838
1486704601,1688,25310838
1486963801,1685,25293431
1487050201,1684,25293430
1487136601,1684,25293430
1487223001,1683,25293430
1487309401,1684,25293430
1487655001,1683,25154168
1487741402,1685,25154169
1487827801,1684,25154168
1487914201,1684,25153913
1488173401,1688,25160313
1488259801,1688,25160313
1488346201,1689,25160314
1488432601,1691,25160316
1488519001,1691,25160316
1488778201,1703,25156731
1488864602,1703,25156731
1488951001,1702,25156731
1489037401,1705,25156733
1489123802,1701,25156729
1489379402,1712,25181311
1489465801,1712,25181311
1489552201,1710,25181309
1489656603,1709,25181309
1489725003,1710,25181309
1489984204,1713,25181057
1490070603,1715,25181314
1490157003,1717,25181317
1490243403,1719,25181318
1490329804,1721,25181322
1490589003,1729,25181329
1490675403,1729,25181329
1490761802,1730,25181333
1490848204,1732,25181332
1490934603,1714,25176213
1491193802,1734,25181334
1491280203,1736,25181336
1491366603,1733,25181339
1491453003,1735,25181338
1491539404,1737,25181338
1491798603,1740,25181339
1491885003,1740,25181339
1491971403,1740,25181339
1492057804,1740,25181339
1492403403,1738,25181339
1492489806,1740,25181340
1492576203,820,25180416
1492662602,820,25180416
1492749002,821,25180416
1493008202,822,25180416
1493094602,822,25180416
1493181003,821,25180416
1493267403,936,25180532
1493353803,1728,25181328
1493613003,1737,24791951
1493699403,1738,24791951
1493785803,1747,24791960
1493872203,1745,24791959
1493958604,1763,24791975
1494217803,950,24796531
1494304203,1811,24797396
1494390603,1809,24797395
1494477003,1815,24797401
1494563402,1814,24797401
1494649803,1816,24797403
1494822603,1815,24794329
1494909003,1816,24794329
1494995404,1814,24794329
1495081803,1816,24794330
1495168202,1816,24794330
1495427403,1809,24711129
1495513802,1810,24711129
1495600202,1820,24711141
1495686604,1821,24711142
1496118602,1826,24718566
1496205003,1825,24718566
1496291403,1826,24718566
1496377804,1838,24718578
1496637003,1834,24551668
1496723404,1839,24551672
1496809803,1840,24551673
1496896202,1837,24551671
1496982602,1838,24551671
1497241803,1837,24540407
1497328202,1837,24540408
1497414603,1838,24540153
1497501003,1838,24540153
1497587403,1836,24540407
1497846603,1839,24542457
1497933004,1841,24542202
1498019403,1842,24542459
1498105802,1843,24542459
1498192203,1842,24542459
1498451404,1843,24542719
1498537804,1854,24542729
1498624203,1856,24542729
1498710604,1853,24542729
1498797004,1857,24542729
1499229004,1858,24720660
1499315405,1858,24720661
1499401805,1878,24720680
1499661005,1879,24716590
1499747404,1879,24716591
1499833802,1880,24716591
1499920203,1882,24716594
1500006604,1883,24716595
1500265803,1894,24721210
1500352204,1897,24721468
1500438602,1902,24721471
1500525003,1902,24721471
1500611404,1901,24721471
1500870602,1903,24725826
1500957002,1902,24725827
1501043404,1910,24725831
1501129803,1912,24725834
1501389004,1911,24528204
1501475403,1911,24528203
1501561803,1911,24528204
1501648204,1909,24527947
1501734603,1916,24528209
1501821003,1916,24528209
1502080203,1917,24518996
1502166603,1916,24518996
1502253003,1917,24518997
1502339403,1920,24518999
1502425803,1918,24518998
1502685003,1923,24582748
1502771402,1925,24582750
1502857803,1924,24582749
1502944203,1923,24582748
1503030604,1924,24582749
1503289804,1924,24580702
1503376204,1924,24580447
1503462603,1925,24580703
1503549003,1925,24580703
1503894602,1926,24645984
1503981004,1926,24645984
1504067403,1926,24645984
1504153804,1927,24645985
1504240204,1926,24645729
1504585803,1925,24562788
1504672203,1929,24563047
1504845002,1934,24562797
1505104203,1934,24563565
1505190604,1934,24563565
1505277003,1931,24563307
1505449804,1934,24563310
1505709004,1926,24558693
1505795403,1930,24558442
1505968204,1937,24558704
1506054604,1943,24558710
1506313803,1943,24554106
1506400203,1943,24554106
1506573004,1948,24554111
1506659403,1947,24553856
1506918606,1954,24554118
1507005009,1956,24553864
1507091403,1957,24554120
1507177803,1959,24554122
1507264204,1962,24554126
1507523404,1966,24544915
1507696203,1970,24544919
1507782604,1971,24544920
1507869003,1972,24544667
1508128203,1976,24411552
1508214603,1977,24411808
1508301003,1980,24411811
1508387404,1980,24411811
1508473803,1980,24411812
1508733003,1986,24411562
1508819403,1987,24411563
1508905803,1988,24411819
1508992202,1991,24411822
1509078603,1993,24411569
1509337803,1991,24406707
1509424203,1994,24406455
1509510603,1999,24406460
1509597003,2001,24406717
1509683403,1983,24401599
1509946203,2016,24475335
1510032603,2019,24475338
1510119004,2026,24475345
1510205404,2029,24475348
1510291803,2033,24475352
1510551007,2029,24338139
1510637410,2030,24338140
1510723811,2035,24338145
1510810203,2040,24338151
1510896604,2043,24338155
1511155803,2039,24294636
1511242203,2039,24294636
1511328603,2038,24294891
1511760602,2049,25666800
1511847003,2050,25666801
1511933403,2050,25666801
1512019803,2054,25666805
1512106215,2053,25666804
1512365403,2056,24484091
1512451803,2057,24484092
1512538203,2060,24483840
1512624603,2062,24484097
1512711004,2059,24483839
1512970203,2056,24405510
1513056603,2055,24405254
1513143002,2054,24405253
1513229403,2059,24405513
1513315803,2060,24405514
1513575003,2079,24369939
1513661403,2080,24369940
1513747803,2078,24369683
1513834203,2082,24369942
1513920603,2085,24369945
1514266202,2078,24367892
1514352603,2081,24367895
1514439003,2085,24367899
1514525403,2084,24367898
1514871002,2087,24417053
1514957403,2088,24417054
1515043803,2092,24417058
1515130202,2092,24417058
1515389403,2095,24417061
1515475803,2095,24417061
1515562202,2093,24416804
1515648603,2094,24417060
1515735002,2093,24417059
1516080603,2085,24283679
1516167003,2086,24283680
1516253403,2086,24283681
1516339803,2090,24283685
1516599002,2090,24346149
1516685403,2089,24346404
1516858202,2092,24346407
1516944603,2092,24346407
1517203802,2102,24797992
1517290203,2102,24797992
1517376603,2102,24797992
1517463002,2102,24797992
1517549402,2105,24797995
1517808603,2106,24788782
1517895003,2107,24788783
1517981402,2110,24788786
1518067803,2113,24788788
1518154203,2112,24788788
1518413402,2116,24807220
1518499802,2119,24807222
1518586202,2118,24807222
1518672603,2119,24807223
1518759002,2120,24807223
1519018202,2141,24901179
1519104603,2140,24901178
1519191003,2141,24901180
1519277402,2145,24901439
1519363803,2146,24901185
1519623002,2165,24642885
1519709402,2166,24642887
1519795803,2167,24642888
1519882203,2167,24642633
1519968603,2169,24642891
1520227803,2169,24641356
1520314203,2170,24641102
1520400603,2170,24641102
1520487003,2174,24641360
1520573403,2176,24641362
1520829002,2183,24584023
1520915402,2185,24584025
1521001803,2187,24584027
1521088202,2190,24584030
1521174603,825,24582656
1521433803,2186,24624481
1521520203,2188,24624483
1521606602,2189,24624484
1521693002,2190,24624486
1521779402,2189,24624488
1522038602,2191,24626536
1522125003,2196,24626537
1522211402,2195,24626536
1522297803,2195,24626536
1522384203,2196,24626538
1522643403,2197,24627307
1522729803,2200,24627565
1522816203,2200,24627565
1522902603,2182,24622446
1522989003,2201,24627566
