DateTime,Entries,UniqueIPs
1457501406,1152,1152
1457587809,1152,1152
1457674206,1150,1150
1457760606,1128,1128
1457929809,1161,1161
1458016210,1158,1158
1458102606,1147,1147
1458189011,1144,1144
1458275406,1153,1153
1458361807,1123,1123
1458534606,1119,1119
1458621006,1116,1116
1458707408,1133,1133
1458793805,1147,1147
1458880207,1146,1146
1459053006,1152,1152
1459139406,1145,1145
1459225806,1141,1141
1459312208,1145,1145
1459398608,1152,1152
1459485006,1170,1170
1459657805,1164,1164
1459744206,1170,1170
1459830606,1147,1147
1459917007,1158,1158
1460003407,1157,1157
1460089806,1126,1126
1460435407,1094,1094
1460521806,1067,1067
1460608207,1060,1060
1460694606,1049,1049
1460953808,1063,1063
1461040206,1069,1069
1463504073,1102,1102
1463545813,1099,1099
1463632210,1102,1102
1463718608,1104,1104
1463977831,1117,1117
1464064219,1122,1122
1464150607,1121,1121
1464237011,1120,1120
1464323406,1113,1113
1464669006,1081,1081
1464755406,1091,1091
1464841808,1120,1120
1464928207,1151,1151
1465187408,1132,1132
1465273810,1130,1130
1465360210,1140,1140
1465446607,1135,1135
1465533007,1146,1146
1465619411,1151,1151
1465705807,1149,1149
1465792213,1137,1137
1465878606,1129,1129
1465965008,1131,1131
1466051410,1140,1140
1466137809,1140,1140
1466397007,1137,1137
1466483407,1134,1134
1466569817,1151,1151
1466656210,1122,1122
1466742612,1129,1129
1466915422,1136,1136
1467001807,1128,1128
1467088206,1111,1111
1467174625,1117,1117
1467261026,1109,1109
1467347418,1100,1100
1467693008,1085,1085
1467779406,1084,1084
1467865806,1085,1085
1467952206,1090,1090
1468211406,1040,1040
1468297822,1039,1039
1468384206,1039,1039
1468470607,1035,1035
1468557073,1031,1031
1468816209,990,990
1468902611,1004,1004
1468989006,1002,1002
1469075410,994,994
1469161806,982,982
1469421007,973,973
1469507407,953,953
1469593807,962,962
1469680211,971,971
1469766609,968,968
1470112207,960,960
1470198606,963,963
1470285007,973,973
1470371406,977,977
1470630606,963,963
1470717006,964,964
1470803409,958,958
1470889806,969,969
1470976207,980,980
1471235406,981,981
1471321806,1001,1001
1471408206,1000,1000
1471494609,1016,1016
1471581007,1031,1031
1471840210,1122,1122
1471926606,1146,1146
1472013013,1170,1170
1472099408,1181,1181
1472185834,1193,1193
1472445040,1198,1198
1472531407,1224,1224
1472617818,1222,1222
1472704207,1234,1234
1472790610,1235,1235
1473136210,1236,1236
1473222608,1257,1257
1473309008,1266,1266
1473395408,1289,1289
1473654607,1276,1276
1473741009,1277,1277
1473827413,1247,1247
1473913808,1246,1246
1474000207,1237,1237
1474259414,1153,1153
1474345815,1134,1134
1474432212,1114,1114
1474518615,1089,1089
1474605007,1072,1072
1474777829,1045,1045
1474864221,1021,1021
1474950607,995,995
1475037017,991,991
1475123409,984,984
1475209808,982,982
1475469006,996,996
1475555407,999,999
1475641808,1001,1001
1475728206,1010,1010
1475814608,997,997
1476073806,1010,1010
1476160207,1039,1039
1476246607,1062,1062
1476333008,1120,1120
1476419410,1183,1183
1476678695,1270,1270
1476765015,1310,1310
1476851434,1317,1317
1476937821,1324,1324
1477024235,1314,1314
1477283406,1308,1308
1477369807,1306,1306
1477456208,1318,1318
1477542632,1349,1349
1477629008,1397,1397
1477888209,1512,1512
1477974617,1537,1537
1478061011,1530,1530
1478147408,1532,1532
1478233835,1539,1539
1478496607,1488,1488
1478583011,1471,1471
1478669413,1494,1494
1478755811,1507,1507
1478842235,1478,1478
1479101412,1457,1457
1479187812,1458,1458
1479274211,1445,1445
1479360670,1409,1409
1479447008,1410,1410
1479706208,1406,1406
1479792608,1415,1415
1479879008,1423,1423
1480311007,1360,1360
1480397408,1335,1335
1480483808,1332,1332
1480656607,1331,1331
1480915808,1370,1370
1481002251,1368,1368
1481088654,1370,1370
1481175052,1377,1377
1481261427,1368,1368
1481520608,1331,1331
1481607007,1321,1321
1481693407,1305,1305
1481779807,1331,1331
1481866207,1353,1353
1482211814,1318,1318
1482298207,1309,1309
1482384606,1318,1318
1482534616,1298,1298
