DateTime,Entries,UniqueIPs
1457760611,6930,6930
1457929817,6860,6860
1458016212,6910,6910
1458102612,6900,6900
1458189014,6920,6920
1458275413,6910,6910
1458361816,6940,6940
1458534615,6910,6910
1458621016,6920,6920
1458707416,6930,6930
1458793813,6900,6900
1458880214,6960,6960
1459053013,6890,6890
1459139418,6910,6910
1459225814,6870,6870
1459312215,6880,6880
1459398623,6860,6860
1459485007,6960,6960
1459657809,6980,6980
1459744213,6980,6980
1459830608,7010,7010
1459917010,7000,7000
1460003409,7010,7010
1460089810,7040,7040
1460435412,6960,6960
1460521822,6970,6970
1460608211,6960,6960
1460694611,6980,6980
1460953812,6980,6980
1461040212,6940,6940
1463504073,6810,6810
1463545814,6800,6800
1463632218,6800,6800
1463718614,6810,6810
1463977812,6800,6800
1464064213,6810,6810
1464150614,6840,6840
1464237011,6820,6820
1464323431,6820,6820
1464669015,6790,6790
1464755412,6810,6810
1464841817,6860,6860
1464928213,6850,6850
1465187412,6880,6880
1465273816,6890,6890
1465360212,6880,6880
1465446618,6860,6860
1465533018,6870,6870
1465619413,6890,6890
1465705812,6860,6860
1465792224,6850,6850
1465878613,6820,6820
1465965012,6930,6930
1466051415,6910,6910
1466137813,6870,6870
1466397014,6790,6790
1466483415,6810,6810
1466569813,6780,6780
1466656219,6820,6820
1466742611,6860,6860
1466915431,6860,6860
1467001812,6860,6860
1467088213,6860,6860
1467174614,6830,6830
1467261013,6860,6860
1467347414,6870,6870
1467693013,6870,6870
1467779416,6850,6850
1467865816,6770,6770
1467952213,6770,6770
1468211415,6770,6770
1468297810,6780,6780
1468384214,6770,6770
1468470613,6740,6740
1468557013,6730,6730
1468816224,6690,6690
1468902616,6710,6710
1468989014,6730,6730
1469075427,6710,6710
1469161826,6670,6670
1469421016,6630,6630
1469507413,6660,6660
1469593816,6670,6670
1469680220,6680,6680
1469766609,6760,6760
1470112238,6720,6720
1470198609,6720,6720
1470285009,6750,6750
1470371410,6770,6770
1470630616,6740,6740
1470717013,6740,6740
1470803412,6740,6740
1470889817,6750,6750
1470976230,6750,6750
1471235414,6700,6700
1471321813,6730,6730
1471408210,6740,6740
1471494611,6710,6710
1471581013,6650,6650
1471840211,6720,6720
1471926616,6730,6730
1472013020,6740,6740
1472099413,6730,6730
1472185826,6750,6750
1472445009,6760,6760
1472531410,6780,6780
1472617812,6750,6750
1472704214,6790,6790
1472790613,6830,6830
1473136210,6870,6870
1473222610,6890,6890
1473309012,6900,6900
1473395413,6870,6870
1473654610,6870,6870
1473741016,6890,6890
1473827423,6890,6890
1473913821,6910,6910
1474000219,6890,6890
1474259412,6920,6920
1474345817,6930,6930
1474432215,6940,6940
1474518613,6960,6960
1474605020,6970,6970
1474777812,6970,6970
1474864220,6970,6970
1474950626,6970,6970
1475037018,6950,6950
1475123419,6940,6940
1475209823,6930,6930
1475469019,6990,6990
1475555427,6980,6980
1475641875,6970,6970
1475728257,6950,6950
1475814761,6930,6930
1476073940,6920,6920
1476160241,6930,6930
1476246629,6900,6900
1476333035,6900,6900
1476419454,6880,6880
1476765020,6850,6850
1476851425,6900,6900
1476937828,6860,6860
1477024258,6860,6860
1477283425,6820,6820
1477369842,6840,6840
1477456218,6850,6850
1477542687,6860,6860
1477629018,6830,6830
1477888252,6830,6830
1477974738,6890,6890
1478061024,6930,6930
1478147418,6900,6900
1478233817,6940,6940
1478496623,6880,6880
1478583019,6840,6840
1478669409,6910,6910
1478755832,6850,6850
1478842227,6890,6890
1479101423,6870,6870
1479187819,6840,6840
1479274214,6870,6870
1479360621,6880,6880
1479447016,6880,6880
1479706212,6890,6890
1479792625,6880,6880
1479879012,6850,6850
1480311024,6880,6880
1480397417,6920,6920
1480483816,6900,6900
1480656613,6980,6980
1480915815,6990,6990
1481002215,6960,6960
1481088619,6930,6930
1481175014,6960,6960
1481261415,6990,6990
1481520615,7010,7010
1481607032,6960,6960
1481693428,6960,6960
1481779824,6930,6930
1481866216,6920,6920
1482126325,6909,6909
1482193945,7000,7000
1482256014,6950,6950
1482341271,6990,6990
1482384619,6970,6970
1482471018,6890,6890
1482816614,6850,6850
1482903022,6990,6990
1482989413,6960,6960
1483075827,6840,6840
1483421414,6870,6870
1483507817,6980,6980
1483594220,6900,6900
1483680613,6910,6910
1483939812,7010,7010
1484026215,7050,7050
1484112611,7060,7060
1484199032,6980,6980
1484285416,6930,6930
1484631012,6950,6950
1484717413,6980,6980
1484803863,6940,6940
1484890276,6960,6960
1485149434,7040,7040
1485235806,6940,6940
1485322214,6950,6950
1485408610,7080,7080
1485495011,7040,7040
1485754212,6970,6970
1485840610,7020,7020
1485927008,7070,7070
1486013410,7110,7110
1486099811,7030,7030
1486359015,7180,7180
1486445410,7090,7090
1486531818,7140,7140
1486618211,7150,7150
1486704610,7030,7030
1486963810,7000,7000
1487050212,7110,7110
1487136607,7070,7070
1487223011,7080,7080
1487309412,7070,7070
1487655012,7040,7040
1487741413,7010,7010
1487827816,7080,7080
1487914210,7020,7020
1488173503,7150,7150
1488259810,7030,7030
1488346213,7080,7080
1488432609,7020,7020
1488519008,7000,7000
1488778209,7130,7130
1488864610,7160,7160
1488951010,7140,7140
1489037413,7130,7130
1489123812,7050,7050
1489379412,7050,7050
1489465812,7050,7050
1489552213,7170,7170
1489656610,7110,7110
1489725014,7010,7010
1489984210,7010,7010
1490070609,6980,6980
1490157011,7100,7100
1490243408,7120,7120
