DateTime,AddedIPs,RemovedIPs
1522796072,122,27
1522797233,239,353
1522797860,58,84
1522798338,255,8
1522799307,186,343
1522800505,232,206
1522800985,62,1849
1522801724,151,240
1522802672,282,156
1522803139,8,1
1522803659,208,190
1522804575,264,9
1522805361,9,0
1522806081,260,317
1522807221,236,148
1522808173,204,149
1522809141,160,235
1522810093,197,148
1522811080,201,188
1522811702,45,0
1522812015,207,174
1522812982,204,204
1522813933,144,184
1522814903,218,157
1522815302,49,0
1522815867,98,265
1522816817,190,197
1522817778,89,159
1522818747,283,147
1522818902,58,0
1522819694,107,230
1522820674,288,161
1522821894,213,330
1522822833,356,33
1522823783,220,275
1522824739,129,196
1522825878,263,165
1522826101,159,0
1522826652,2,3
1522827145,116,323
1522828347,229,188
1522828827,4,5
1522829300,189,162
1522829701,155,0
1522830261,98,139
1522830742,6,5
1522831221,206,205
1522832176,126,182
1522832666,2,4
1522833145,168,116
1522833302,118,0
1522834092,140,220
1522835058,228,170
1522836027,166,171
1522836507,3,3
1522836988,251,169
1522837939,132,6
1522838895,139,180
1522839866,189,301
1522840501,110,0
1522840819,93,206
1522841778,157,18
1522842266,5,0
1522842739,139,306
1522843708,166,90
1522844186,121,2
1522844674,91,161
1522845613,220,180
1522846087,7,3
1522846587,68,144
1522847784,327,106
1522848281,4,13
1522848750,176,191
1522849693,136,90
1522850171,3,4
1522850673,161,183
1522851629,201,122
1522852099,7,6
1522852578,232,124
1522853531,183,163
1522854013,4,0
1522854513,238,82
1522854902,146,0
1522857847,537,575
1522859605,366,323
1522860277,5,1
1522860743,181,219
1522861695,235,122
1522862184,1,2
1522862663,94,12
1522863002,53,0
1522863612,243,342
1522864093,9,1
1522864835,249,260
1522865775,175,109
1522866017,4,0
1522866740,184,239
1522867691,233,160
1522868185,2,7
1522868669,167,131
1522869132,30,0
1522869616,142,529
1522870092,7,1
1522870201,55,0
1522870591,168,6
1522871534,199,21
1522872230,3,0
1522872501,197,241
1522873458,103,340
1522874191,68,4
1522874656,286,111
1522875887,242,224
1522876337,1,0
1522877814,1143,487
1522878897,784,177
1522879970,529,2030
1522881281,231,320
1522884012,511,534
1522885704,283,225
1522886697,218,1518
1522887376,28,27
1522887862,159,116
1522889082,291,371
1522891994,449,438
1522893136,150,348
1522893874,4,4
1522894353,202,130
1522895538,274,195
1522896026,4,5
1522896995,218,383
1522897959,187,157
1522900908,661,469
1522902018,122,105
1522903737,311,307
1522904687,229,259
1522905617,105,79
1522906595,160,268
1522907538,192,195
1522908001,55,0
1522908499,198,186
1522909470,121,181
1522911404,317,424
1522911602,48,0
1522912579,191,130
1522913545,142,262
1522915638,436,191
1522916964,164,291
1522917884,230,135
1522919060,221,136
1522920537,193,336
1522921709,236,149
1522922492,3,1
1522922657,216,115
1522923871,121,178
1522924887,231,150
1522926266,312,179
1522926747,6,0
1522927212,85,77
1522928190,168,292
1522928654,4,0
1522929152,167,185
1522929602,66,0
1522930356,201,73
1522930836,1,8
1522931553,194,203
1522932743,152,65
1522933963,276,276
1522934664,10,5
1522934893,108,224
1522935866,207,135
1522936844,163,188
1522937787,219,122
1522938743,129,178
1522939947,284,329
1522940662,46,2
1522941150,225,488
1522942101,160,30
1522942582,4,0
1522943060,162,6
1522944035,149,11
1522944522,73,3
1522944993,129,247
1522945937,143,21
1522946421,2,0
1522946898,111,166
1522947862,208,246
1522948354,3,4
1522948818,97,77
1522949776,156,178
1522950259,5,2
1522950734,139,231
1522951202,75,0
1522951695,173,161
1522952175,4,8
1522952674,158,91
1522953857,201,203
1522954344,2,2
1522954836,167,149
1522955781,204,154
1522956810,155,228
1522957714,126,203
1522958755,195,166
1522959873,187,385
1522961326,224,228
1522962265,190,19
1522963217,381,302
1522964194,695,1
1522965863,587,2074
1522966343,1,1
1522966830,107,208
1522967791,172,435
1522968260,5,3
1522968731,159,9
1522969202,29,0
1522969703,257,56
1522970191,3,0
1522970674,177,351
1522971611,100,11
1522972337,5,5
1522972582,248,176
1522972802,19,2079
1522973551,256,146
1522974253,3,0
1522974490,130,291
1522975454,177,27
1522976676,290,565
1522977611,127,6
1522978594,144,169
1522979539,136,260
1522980511,175,22
1522981474,161,218
1522982416,161,248
1522983371,77,12
1522983602,250,0
1522984356,200,237
1522985543,214,513
1522986251,5,4
1522986515,189,15
1522987474,190,170
1522988678,209,421
1522989613,169,15
1522990576,109,161
1522990802,27,0
1522991551,151,110
1522992500,152,172
1522993457,137,144
1522994425,147,219
1522995371,207,106
1522996371,119,404
1522997294,132,6
1522998271,258,295
1522999213,142,177
1523000450,257,425
1523001370,115,1
1523001601,35,0
1523002344,221,156
1523003298,148,15
1523004264,136,325
1523005236,132,216
1523006192,265,200
1523007134,84,228
1523008111,226,143
1523009060,271,132
1523010025,130,12
1523010991,170,232
1523011957,162,241
1523012401,71,0
1523012900,183,96
1523013875,149,178
1523014812,107,142
1523015779,143,201
1523016001,68,0
1523016743,184,21
1523017711,159,210
1523018657,238,134
1523019639,151,254
1523020583,258,105
1523021541,286,279
1523022738,235,167
1523023202,76,0
1523023951,188,178
1523024894,150,73
1523025372,1,11
1523025870,158,289
1523027552,343,432
1523028737,177,142
1523029450,6,2
1523029711,159,161
1523030674,169,149
1523031376,5,1
1523031871,195,158
1523032817,160,116
1523033295,6,0
1523033788,115,191
1523034002,38,0
1523034753,221,109
1523035221,7,3
1523035698,131,156
1523036657,131,134
1523037143,10,4
1523037644,165,170
1523038590,228,135
1523039077,3,3
1523039555,133,154
1523040493,152,156
