DateTime,AddedIPs,RemovedIPs
1522843922,15,46
1522844521,1,0
1522845721,2,16
1522846563,62,15
1522847023,4,4
1522847521,7,2
1522848121,2,7
1522848725,58,77
1522849322,2,0
1522850563,4,4
1522851721,2,4
1522852562,56,19
1522852921,18,5
1522854121,2,3
1522854484,0,95
1522854721,2,37
1522857613,82,51
1522859525,75,49
1522860122,8,2
1522860721,1,8
1522861321,5,3
1522861363,0,3
1522861922,2,3
1522862521,5,0
1522863363,72,17
1522863721,2,20
1522864322,5,0
1522865284,3,118
1522866123,7,0
1522867203,97,0
1522867322,4,8
1522867922,1,4
1522868563,1,18
1522869722,7,4
1522870230,1,2
1522871046,88,111
1522872162,2,3
1522872722,3,13
1522873321,2,4
1522873981,6,5
1522874521,3,3
1522875123,84,13
1522875763,3,5
1522876322,8,19
1522877764,56,134
1522878722,14,11
1522879921,7,12
1522880522,5,8
1522883524,45,177
1522884781,10,7
1522886643,92,106
1522887121,10,0
1522887721,0,8
1522889043,32,83
1522889522,4,7
1522891921,8,24
1522892521,6,0
1522893122,5,6
1522893844,60,137
1522894322,2,39
1522894922,5,2
1522895522,4,2
1522896003,69,1
1522896722,2,8
1522897362,8,9
1522897922,0,101
1522898521,8,1
1522900321,9,23
1522901522,7,4
1522903683,147,166
1522904563,4,26
1522905121,7,53
1522905722,1,10
1522906921,1,1
1522907522,89,0
1522908121,3,2
1522908164,0,1
1522908721,2,6
1522909443,3,69
1522911362,68,6
1522911764,1,51
1522912322,3,0
1522912922,1,12
1522913522,60,9
1522915445,7,103
1522915922,1,2
1522916521,2,11
1522917842,84,8
1522918323,7,9
1522918964,7,0
1522919521,3,1
1522920121,10,5
1522920781,6,0
1522921321,8,4
1522921921,2,0
1522922408,51,13
1522922564,3,9
1522923362,3,103
1522923721,5,0
1522924802,71,85
1522924921,6,0
1522925522,7,15
1522926163,15,24
1522926722,0,4
1522927321,2,2
1522927922,5,3
1522928642,67,14
1522929123,0,83
1522929722,6,0
1522930321,3,0
1522930814,70,0
1522930921,1,3
1522931522,1,4
1522932122,4,4
1522933922,11,14
1522934522,6,2
1522935122,0,61
1522935722,8,15
1522936321,6,1
1522936811,66,0
1522936963,7,7
1522937521,3,8
1522938121,4,5
1522938723,51,19
1522939203,0,88
1522939321,3,10
1522940521,1,2
1522941121,3,5
1522941722,5,6
1522942562,88,0
1522942922,8,0
1522943522,5,18
1522944122,0,28
1522944164,0,4
1522945322,6,54
1522945921,3,0
1522946521,13,4
1522947121,1,11
1522947764,8,2
1522948323,112,40
1522948803,31,86
1522948922,2,0
1522950122,3,8
1522950722,4,5
1522951321,4,0
1522951364,0,1
1522951921,0,1
1522952521,3,30
1522953121,1,5
