DateTime,AddedIPs,RemovedIPs
1522198211,1,0
1522200685,1092,1206
1522202400,70,22
1522204514,2,1
1522207554,6,10
1522210544,13,9
1522211059,5,0
1522211493,750,834
1522218011,8,10
1522218723,11,7
1522222202,682,710
1522225217,4,2
1522225951,1,0
1522229638,8,3
1522229711,0,25
1522233991,970,833
1522240203,12,1
1522241067,9,20
1522243896,668,647
1522247241,2,0
1522248000,1,0
1522252013,5,5
1522254014,3,0
1522254625,843,575
1522255200,1,1
1522255701,50,42
1522257326,254,0
1522258331,2,2
1522261215,43,0
1522262400,0,1
1522263146,6,9
1522265221,632,619
1522268420,5,1
1522272919,0,35
1522274403,5,4
1522276021,626,608
1522276800,1,0
1522278320,1,0
1522282813,2,0
1522284006,1,67
1522285244,9,7
1522287002,1242,1261
1522290013,1,1
1522290343,255,0
1522291200,551,0
1522296003,5,5
1522297210,5,0
1522297621,794,767
1522298400,65,539
1522299853,1,1
1522304407,5,0
1522305600,5,11
1522306983,4,3
1522308014,1,0
1522308602,648,622
1522311981,4,0
1522312800,2,5
1522314498,1,1
1522314983,1,0
1522316117,0,21
1522318001,2,5
1522319714,645,637
1522320000,404,235
1522325993,48,1
1522327532,2,1
1522329139,8,8
1522329474,0,4
1522330384,543,527
1522332184,1,0
1522333089,3,0
1522340347,12,2
1522341003,664,650
1522343783,58,43
1522347480,6,0
1522348291,1,0
1522351129,9,6
1522351804,637,623
1522353786,1,0
1522354688,5,0
1522359323,13,0
1522359925,0,129
1522362696,599,554
1522363526,1,1
1522366203,0,256
1522369218,2,0
1522370735,246,0
1522372815,1,0
1522373547,1183,1181
1522373763,4,5
1522376421,3,0
1522381200,10,63
1522381594,1,0
1522383615,3,0
1522384021,780,773
1522384203,4,4
1522384287,1,0
1522388736,125,9
1522390819,4,0
1522392255,266,215
1522395069,661,625
1522395992,56,123
1522401334,0,256
1522403308,20,43
1522405217,4,0
1522405621,586,590
1522406015,4,6
1522406782,298,225
1522410000,9,14
1522411515,14,0
1522412413,1,0
1522416603,593,595
1522417200,9,6
1522417928,37,31
1522420283,245,0
1522424400,1,0
1522426809,2,0
1522427477,645,636
1522428322,250,0
1522434016,4,0
1522438381,607,606
1522438800,1,0
1522440930,252,0
1522446328,2,24
1522446612,2,0
1522448421,1,0
1522449086,624,611
1522449637,6,25
1522452011,1,0
1522452929,1,0
1522453800,2,1
1522455625,3,0
1522457423,2,55
1522458309,4,0
1522460654,1243,1264
1522461023,1,0
1522462811,2,0
1522464600,691,0
1522470017,4,0
1522470603,848,837
1522471503,2,19
1522471812,43,673
1522477213,3,0
1522479021,12,5
1522481465,690,696
1522484427,3,0
1522486200,4,5
1522488908,0,27
1522491859,7,0
1522492202,608,638
1522492622,385,228
1522493400,9,2
1522495210,1,0
1522498954,2,0
1522500600,6,1
1522502423,11,0
1522503210,675,704
1522503903,0,1022
1522506017,2,0
1522506742,495,490
1522507800,3,4
1522513223,4,0
1522513621,677,679
1522514318,5,11
1522515000,2,4
1522516537,0,252
1522521395,3,0
1522522200,503,2
1522524690,695,689
1522525599,8,10
1522525815,1,0
1522527614,3,1
1522528855,1,0
1522530000,1,2
1522532123,0,72
1522534833,1,0
1522536084,624,611
1522536627,6,7
1522537525,1,3
1522540806,1,74
1522542017,1,0
1522543899,1,0
1522546202,1183,1197
1522547928,5,6
1522548000,233,1
1522548932,252,0
1522549213,15,1
1522550129,1,0
1522555513,61,222
1522556417,4,0
1522557002,814,804
1522558807,2,7
1522563334,22,4
1522563627,5,0
1522567803,702,701
1522569865,16,6
1522571271,8,1
1522575902,0,28
1522576800,8,12
1522578014,1,0
1522578421,712,722
1522578787,383,286
