DateTime,Entries,UniqueIPs
1522809137,73403,9331753
1522809572,73393,9331743
1522810292,73387,9331737
1522811067,73369,9331718
1522811731,73370,9331719
1522812451,73372,9331721
1522812979,73362,9331711
1522813413,73359,9331708
1522814373,73360,9331710
1522814651,73361,9331711
1522814892,73359,9331709
1522815333,73353,9331701
1522815848,73355,9331703
1522816292,73350,9331697
1522816811,73359,9331706
1522817253,73349,9331696
1522818212,73345,9331692
1522818742,73348,9331695
1522819172,73340,9331687
1522819892,73333,9331680
1522820612,73331,9331678
1522821332,73329,9331677
1522822293,73334,9331682
1522822829,73321,9331668
1522823253,73288,9331637
1522824214,73329,9331678
1522824735,73327,9331676
1522825171,73338,9331687
1522826374,73332,9331682
1522826652,73324,9331674
1522827091,73321,9331671
1522827812,73321,9331671
1522828827,73303,9331653
1522829291,73306,9331656
1522829732,73313,9331663
1522830742,73312,9331660
1522831652,73304,9331652
1522832666,73295,9331643
1522833572,73328,9331681
1522834582,73331,9331684
1522835492,73339,9331693
1522836507,73351,9331705
1522837412,73351,9331705
1522838373,73348,9331702
1522839333,73352,9331706
1522840292,73354,9331708
1522841254,73342,9331695
1522842266,73332,9331683
1522843172,73329,9331679
1522844186,73328,9331676
1522845092,73314,9331662
1522845813,73311,9331659
1522846087,73315,9331663
1522846532,73319,9331667
1522847313,73322,9331670
1522848281,73314,9331662
1522849172,73315,9331662
1522849893,73316,9331663
1522850171,73312,9331660
1522850613,73309,9331657
1522851572,73272,9331620
1522852099,73275,9331623
1522852291,73308,9331656
1522853013,73303,9331649
1522853733,73297,9331643
1522854013,73297,9331643
1522854453,73278,9331624
1522857831,73262,9331605
1522859555,73262,9331606
1522860277,73263,9331608
1522861172,73257,9331601
1522862184,73266,9331610
1522863092,73257,9331601
1522863811,73255,9331598
1522864093,73265,9331608
1522864772,73258,9331601
1522865492,73254,9331597
1522866017,73254,9331597
1522866212,73257,9331600
1522867172,73255,9331598
1522868185,73257,9331600
1522869092,73247,9331590
1522869813,73243,9331586
1522870092,73243,9331587
1522870533,73231,9331575
1522871251,73224,9331568
1522872230,73221,9331565
1522872931,73222,9331566
1522874191,73227,9331570
1522875092,73222,9331565
1522875812,73219,9331562
1522876337,73218,9331561
1522876531,73218,9331561
1522877733,73213,9331558
1522878884,73208,9331553
1522879893,73218,9331563
1522881265,73218,9331564
1522883998,73237,9331646
1522885172,73248,9331657
1522886612,73244,9331653
1522887332,73238,9331647
1522888292,73239,9331648
1522889067,73233,9331642
1522889875,73236,9331645
1522891980,73239,9331649
1522892612,73246,9331656
1522893573,73255,9331665
1522893874,73259,9331669
1522894292,73264,9331674
1522895012,73264,9331674
1522896026,73255,9331664
1522896932,73253,9331662
1522897945,73261,9331670
1522898612,73256,9331665
1522900832,73256,9331663
1522901493,73264,9331671
1522903722,73257,9331663
1522904612,73254,9331660
1522905332,73252,9331657
1522905612,73253,9331658
1522906052,73252,9331657
1522907012,73254,9331659
1522907533,73253,9331659
1522907972,73253,9331659
1522908932,73234,9331640
1522909455,73238,9331644
1522911390,73222,9331627
1522912111,73217,9331622
1522913012,73224,9331626
1522913541,73222,9331624
1522915500,73222,9331624
1522916132,73215,9331617
1522916912,73215,9331617
1522917870,73204,9331606
1522918578,73212,9331614
1522919493,73203,9331605
1522920523,73203,9331604
1522921173,73230,9331631
1522922133,73231,9331631
1522922492,73221,9331621
1522923332,73207,9331607
1522924873,73199,9331599
1522925731,73192,9331592
1522926747,73200,9331600
1522927651,73206,9331606
1522928372,73207,9331607
1522928654,73208,9331607
1522929091,73196,9331595
1522929813,73196,9331595
1522930836,73186,9331585
1522931492,73190,9331589
1522932212,73216,9331615
1522933233,73197,9331595
1522933892,73190,9331588
1522934664,73184,9331582
1522935333,73179,9331577
1522935607,73181,9331579
1522936292,73186,9331584
1522936840,73190,9331587
1522937252,73188,9331585
1522938211,73186,9331583
1522938738,73185,9331582
1522939171,73150,9331547
1522939893,73149,9331546
1522940662,73154,9331551
1522941573,73157,9331554
1522942582,73190,9331587
1522943492,73179,9331576
1522944213,73172,9331569
1522944522,73175,9331572
1522944932,73169,9331566
1522945652,73164,9331561
1522946421,73168,9331565
1522947333,73178,9331573
1522947851,73179,9331574
1522948354,73169,9331563
1522949253,73158,9331552
1522950259,73154,9331547
