DateTime,AddedIPs,RemovedIPs
1522786921,3,4
1522787581,4,0
1522788122,5,0
1522788722,3,1
1522789922,7,56
1522790521,11,0
1522791722,7,22
1522792922,27,7
1522793522,4,5
1522794121,4,3
1522794781,6,3
1522795322,9,11
1522796522,1,42
1522797721,10,41
1522798922,7,3
1522799521,0,5
1522800121,5,0
1522800721,2,6
1522801321,4,49
1522801981,12,0
1522802522,10,0
1522803122,3,3
1522803721,3,5
1522804322,12,0
1522804921,3,0
1522805581,2,5
1522806122,9,4
1522806722,4,0
1522807322,5,7
1522808521,3,3
1522809122,1,2
1522809721,3,0
1522810921,1,6
1522812121,4,6
1522812781,5,59
1522813321,6,0
1522813922,2,0
1522814522,1,8
1522815122,1,3
1522815722,2,13
1522816922,9,0
1522817522,4,0
1522818121,8,4
1522818722,0,3
1522819322,4,0
1522820521,2,11
1522821122,6,0
1522822321,23,3
1522822921,3,2
1522824122,2,4
1522824722,1,1
1522825322,9,0
1522825922,2,8
1522826521,15,2
1522827721,8,15
1522828921,3,6
1522829522,3,11
1522830121,7,1
1522830721,2,2
1522831322,5,15
1522831921,5,33
1522832522,3,0
1522833122,11,42
1522833721,7,3
1522834381,18,7
1522834922,8,3
1522836121,4,4
1522836722,11,2
1522837322,7,3
1522838522,2,0
1522839121,3,4
1522839721,6,0
1522840921,1,9
1522841581,4,2
1522842122,7,10
1522842721,6,0
1522843322,0,35
1522843922,15,46
1522844521,1,0
1522845721,2,16
1522846921,3,1
1522847521,7,2
1522848121,2,7
1522848721,2,1
1522849322,2,0
1522850522,4,4
1522851721,2,4
1522852921,18,5
1522854121,2,3
1522854721,2,37
1522857122,5,52
1522859522,9,7
1522860122,8,2
1522860721,1,8
1522861321,5,3
1522861922,2,3
1522862521,5,0
1522863721,2,20
1522864322,5,0
1522864922,3,4
1522866123,7,0
1522867322,4,8
1522867922,1,4
1522868521,1,15
1522869722,7,4
1522870230,1,2
1522870922,8,53
1522872122,2,3
1522872722,3,13
1522873321,2,4
1522873981,6,5
1522874521,3,3
1522875122,13,2
1522875721,3,5
1522876322,8,19
1522877581,4,6
1522878722,14,11
1522879921,7,9
1522880522,5,8
1522883522,1,89
1522884781,10,7
1522886522,5,11
1522887121,10,0
1522887721,0,8
1522888921,2,1
1522889522,4,7
1522891921,8,23
1522892521,6,0
1522893122,5,6
1522893722,3,11
1522894322,2,38
1522894922,5,2
1522895522,4,2
1522895581,0,1
1522896722,2,8
1522897321,8,8
1522898521,8,1
1522900321,9,23
1522901522,4,3
1522903321,7,12
1522904521,4,26
1522905121,7,53
1522905722,1,10
1522906921,1,1
1522908121,3,2
1522908721,2,6
1522909322,3,0
1522911122,7,6
1522911721,1,49
1522912322,3,0
1522912922,1,12
1522915321,7,14
1522915922,1,2
1522916521,2,11
1522917722,0,8
1522918323,7,9
1522918922,7,0
1522919521,3,1
1522920121,10,5
1522920781,6,0
1522921321,8,4
1522921921,2,0
1522922521,3,6
1522923121,3,8
1522923721,5,0
1522924382,8,85
1522924921,6,0
1522925522,7,15
1522926121,15,23
1522926722,0,4
1522927321,2,2
1522927922,5,3
1522928521,9,5
1522929722,6,0
1522930321,3,0
1522930921,1,3
1522931522,1,4
1522932122,4,4
1522933922,10,14
1522934522,6,2
1522935122,0,3
1522935722,8,15
1522936321,6,1
1522936921,7,6
1522937521,3,8
1522938121,4,5
1522939321,3,10
1522940521,1,2
1522941121,3,4
1522941722,5,6
1522942922,8,0
1522943522,5,18
1522944122,0,28
1522945322,6,54
1522945921,3,0
1522946521,13,4
1522947121,1,11
1522947722,7,0
1522948322,1,5
1522948922,2,0
1522950122,3,8
1522950722,4,5
1522951321,4,0
1522951921,0,1
1522952521,3,30
1522953121,1,5
1522953722,3,2
1522954322,4,0
1522954921,7,0
1522955521,4,0
1522956030,5,1
1522959122,4,21
1522960921,0,14
1522962721,0,3
1522963322,0,7
1522964521,0,18
1522965721,0,10
1522966321,0,9
1522966921,2,4
1522969322,0,16
1522969921,0,4
1522970521,0,3
1522971122,0,8
1522971722,0,6
1522972922,0,74
1522974122,4,4
1522974781,3,0
1522975321,5,11
1522975921,3,9
1522976521,2,0
1522977723,6,20
1522978322,0,1
1522978922,6,30
1522979521,5,0
1522980121,3,5
1522980722,5,0
1522981322,7,0
1522982522,7,8
1522984321,6,44
1522984922,1,20
1522985521,3,1
1522985581,0,1
1522986121,5,0
1522987321,28,7
1522987921,7,5
1522988521,2,7
1522989722,4,26
1522990322,4,0
1522990921,3,10
1522992121,3,3
1522992781,6,4
1522993322,6,2
1522994521,9,9
1522995030,0,1
1522995722,3,13
1522996321,5,4
1522996922,7,2
1522997521,2,3
1522998122,22,1
1522998721,10,0
1522999322,3,11
1522999982,5,10
1523000521,11,3
1523001722,20,2
1523002921,10,5
1523003581,1,11
1523004121,4,0
1523004721,5,0
1523005322,10,11
1523005922,3,9
1523006521,1,36
1523007722,0,7
1523008322,7,0
1523008922,22,7
1523009522,1,7
1523010121,13,2
1523010781,5,3
1523011321,7,0
1523012522,1,4
1523013121,6,2
1523013721,2,4
1523014322,3,1
1523014921,13,0
1523015522,3,3
1523016121,7,0
1523017321,4,8
1523017982,1,10
1523018522,10,13
1523019122,10,0
1523019723,1,30
1523020322,34,0
1523020922,6,0
1523021521,3,7
1523022122,3,2
1523022723,1,0
1523023322,6,3
1523023922,2,4
1523024522,4,1
1523025121,4,3
1523025721,2,4
1523026321,3,5
1523026922,7,3
1523028121,3,2
1523028722,11,0
1523029321,2,1
1523029922,0,11
1523030521,8,27
1523031122,2,0
1523031722,51,14
1523032321,17,0
1523032922,12,0
1523033521,15,14
1523034121,3,3
1523034722,2,1
1523035322,9,0
1523035981,18,2
1523036521,5,0
1523037122,17,4
1523037722,2,4
1523038321,5,5
1523038922,5,21
1523039521,5,21
1523040122,2,0
1523040722,7,14
1523041321,5,1
1523041922,5,0
1523042522,6,5
1523043122,4,11
1523043722,2,1
1523044321,0,1
1523044921,10,3
1523045522,6,20
1523046123,7,40
1523046722,1,0
1523047922,3,10
1523048521,2,0
1523049121,2,4
1523049721,0,11
1523050322,1,3
1523050921,5,7
1523051522,5,0
1523052122,2,3
1523052721,2,0
1523053321,7,73
1523053922,4,1
1523055122,1,8
1523055721,3,14
1523056321,9,1
1523056921,2,6
1523057522,15,0
1523058122,13,14
1523058722,12,2
1523059321,13,1
1523059921,7,9
1523060522,5,54
1523061181,4,0
1523061721,4,0
1523062922,9,48
1523063521,3,7
1523064122,1,0
1523064721,4,5
1523065322,4,9
1523065921,2,18
1523066522,2,0
1523067121,5,57
1523067722,9,6
1523068381,3,14
1523068922,7,19
1523069521,8,0
1523070122,5,29
1523070722,4,2
1523071322,5,6
1523071921,6,0
1523072522,2,0
1523073122,3,44
1523073721,7,20
1523074322,3,13
1523074922,0,14
1523075581,2,0
1523076121,1,0
1523076723,4,7
1523077321,3,3
1523078522,0,50
1523079121,8,0
1523080322,5,2
1523080922,2,2
1523082121,6,9
1523082781,1,1
1523083322,1,0
1523084522,5,4
1523085121,2,7
1523085722,3,0
1523086321,8,0
1523086922,7,8
1523087522,8,0
1523088122,1,9
1523089322,3,17
1523090521,4,2
1523091121,1,1
1523091721,4,11
1523092922,0,3
1523093521,2,0
1523094122,4,3
1523094721,0,2
1523095321,5,4
1523096522,17,12
1523097122,1,0
1523097721,0,10
1523098921,3,13
1523099521,0,2
1523100121,2,2
1523100721,2,6
1523101323,7,0
1523102522,0,72
1523103121,2,0
1523103721,1,1
1523104921,1,2
1523105522,0,18
1523106121,4,8
1523106722,5,2
1523107322,12,4
1523108522,2,2
