DateTime,AddedIPs,RemovedIPs
1500240089,270,95
1500241982,238,183
1500292848,295,174
1500314229,138,221
1500315285,226,220
1500379263,574,557
1500391290,303,279
1500398727,260,208
1500399708,216,184
1500402007,29,32
1500465649,197,191
1500478191,342,283
1500479489,233,246
1500480593,203,224
1500552046,187,185
1500566501,485,8200
1500574509,199,267
1500576229,305,372
1500638448,291,195
1500647966,7945,95
1500659727,574,445
1500724852,232,165
1500811258,195,187
1500821281,559,549
1500897648,613,2249
1500922199,535,670
1500931737,255,209
1500935712,151,136
1500984047,219,382
1500995791,147,221
1501013368,327,351
1501021917,242,140
1501070446,204,286
1501078062,439,169
1501092840,362,261
1501095205,208,193
1501156851,243,323
1501176448,484,490
1501179204,174,255
1501240525,300,167
1501243249,248,272
1501257905,319,325
1501269240,346,437
1501329649,427,206
1501350776,285,104
1501416049,374,207
1501419318,325,291
1501446986,445,550
1501500070,353,316
1501502449,301,271
1501526660,456,495
1501588852,1016,689
1501610007,223,237
1501610922,462,373
1501675247,191,201
1501681303,306,633
1501694166,405,362
1501761647,382,519
1501769772,343,203
1501779385,333,330
1501848051,202,214
1501860495,344,300
1501934448,279,199
1502020863,531,522
1502025930,870,1070
1502047819,234,126
1502107260,345,423
1502109893,308,264
1502130993,841,407
1502193647,224,441
1502201345,762,728
1502218156,230,431
1502280047,492,602
1502302922,622,659
1502303693,317,308
1502366448,423,519
1502386170,329,352
1502446533,168,242
1502452860,516,569
1502488827,873,473
1502539249,188,190
1502563082,337,93
1502568886,304,234
1502625671,176,237
1502644849,132,347
1502653436,104,375
1502712084,666,849
1502730868,270,148
1502731060,277,235
1502733299,257,146
1502798446,434,240
1502817614,161,214
1502818805,426,502
1502884849,463,213
1502893355,295,295
1502901156,824,346
1502971263,335,201
1502980440,442,472
1502984246,460,487
1503005886,227,117
1503057651,233,216
1503066619,333,306
1503088622,130,242
1503144048,268,254
1503230449,1165,1678
1503316847,228,210
1503326137,369,183
1503335995,341,550
1503353182,243,7214
1503403273,275,190
1503418920,651,413
1503440577,7265,104
1503440720,343,140
1503489672,229,163
1503503042,341,443
1503527516,575,434
1503576049,289,355
1503587890,339,360
1503614614,555,416
1503662448,250,450
1503675019,409,293
1503748847,693,945
1503781541,382,362
1503835249,245,313
1503863941,220,315
1503864287,627,161
1503921651,459,504
1503933044,278,281
1503947025,443,499
1504008048,204,268
1504018191,337,277
1504034542,379,458
1504094459,265,244
1504103882,352,378
1504113886,579,166
1504119024,380,173
1504180854,282,262
1504191688,544,898
1504204658,389,495
1504267381,269,266
1504281774,823,489
1504289099,252,206
1504353652,263,254
1504391126,510,1036
1504405286,238,265
1504440064,293,313
1504467186,408,129
1504474331,198,266
1504526450,501,552
1504534640,325,263
1504542915,403,410
1504612852,294,262
1504619585,277,282
1504626715,277,307
1504699249,219,253
1504709961,1421,956
1504737921,204,253
1504774074,262,249
1504785650,219,217
1504794210,135,599
1504823731,300,132
1504860638,332,272
1504872049,219,219
1504873265,357,231
1504900358,144,274
1504958449,610,520
1504983190,486,360
1504991240,231,257
1505044882,278,276
1505052758,257,273
1505067201,262,201
1505077574,196,257
1505121329,8,7
1505131278,1275,242
1505138178,269,257
1505144786,384,333
1505156427,301,203
1505217654,623,273
1505217668,306,303
