DateTime,Entries,UniqueIPs
1500241982,62722,34740355
1500292848,62841,34740476
1500314229,62766,34740393
1500315285,62716,34740399
1500379263,62721,34740416
1500391290,62749,34740440
1500398727,62818,34740492
1500399708,62863,34740524
1500402007,62866,34740521
1500465649,62852,34740527
1500478191,62898,34740586
1500479489,62866,34740573
1500480593,62907,34740552
1500552046,62906,34740554
1500566501,56024,34732839
1500574509,55898,34732771
1500576229,55832,34732704
1500638448,55916,34732800
1500647966,62885,34740650
1500659727,63066,34740779
1500724852,63130,34740846
1500811258,63149,34740854
1500821281,63124,34740864
1500897648,61482,34739228
1500922199,61455,34739093
1500931737,61489,34739139
1500935712,61510,34739154
1500984047,61346,34738991
1500995791,61276,34738917
1501013368,61256,34738893
1501021917,61305,34738995
1501070446,61225,34738913
1501078062,61470,34739183
1501092840,61558,34739284
1501095205,61615,34739299
1501156851,61527,34739219
1501176448,61499,34739213
1501179204,61450,34739132
1501240525,61572,34739265
1501243249,61581,34739241
1501257905,61590,34739235
1501269240,61524,34739144
1501329649,61759,34739365
1501350776,61918,34739546
1501416049,62096,34739713
1501419318,62036,34739747
1501446986,61935,34739642
1501500070,61959,34739679
1501502449,62007,34739709
1501526660,62072,34739670
1501588852,62287,34739997
1501610007,62268,34739983
1501610922,62406,34740072
1501675247,62414,34740062
1501681303,62170,34739735
1501694166,62227,34739778
1501761647,62099,34739641
1501769772,62194,34739781
1501779385,62192,34739784
1501848051,62169,34739772
1501860495,62197,34739816
1501934448,62264,34739896
1502020863,62287,34739905
1502025930,62139,34739705
1502047819,62227,34739813
1502107260,62152,34739735
1502109893,62199,34739779
1502130993,62459,34740213
1502193647,62238,34739996
1502201345,62263,34740030
1502218156,62081,34739829
1502280047,61900,34739719
1502302922,62006,34739682
1502303693,62033,34739691
1502366448,61891,34739595
1502386170,61856,34739572
1502446533,61788,34739498
1502452860,61754,34739445
1502488827,61884,34739845
1502539249,61879,34739843
1502563082,62104,34740087
1502568886,62133,34740157
1502625671,62075,34740096
1502644849,61891,34739881
1502653436,61721,34739610
1502712084,61802,34739427
1502730868,61929,34739549
1502731060,61958,34739591
1502733299,62014,34739702
1502798446,62222,34739896
1502817614,62169,34739843
1502818805,62114,34739767
1502884849,62373,34740017
1502893355,62371,34740017
1502901156,62713,34740495
1502971263,62845,34740629
1502980440,62814,34740599
1502984246,62764,34740572
1503005886,62856,34740682
1503057651,62859,34740699
1503066619,62870,34740726
1503088622,62758,34740614
1503144048,62825,34740628
1503230449,62419,34740115
1503316847,62426,34740133
1503326137,62609,34740319
1503335995,62570,34740110
1503353182,56373,34733139
1503403273,56454,34733224
1503418920,56608,34733462
1503440577,62972,34740623
1503440720,63092,34740826
1503489672,63156,34740892
1503503042,63101,34740790
1503527516,63265,34740931
1503576049,63199,34740865
1503587890,63187,34740844
1503614614,63303,34740983
1503662448,63101,34740783
1503675019,63199,34740899
1503748847,62979,34740647
1503781541,62986,34740667
1503835249,62912,34740599
1503863941,62873,34740504
1503864287,63281,34740970
1503921651,63253,34740925
1503933044,63263,34740922
1503947025,63234,34740866
1504008048,63183,34740802
1504018191,63222,34740862
1504034542,63128,34740783
1504094459,63166,34740804
1504103882,63168,34740778
1504113886,63363,34741191
1504119024,63556,34741398
1504180854,63594,34741418
1504191688,63464,34741064
1504204658,63378,34740958
1504267381,63396,34740961
1504281774,63544,34741295
1504289099,63588,34741341
1504353652,63608,34741350
1504391126,63263,34740824
1504405286,63248,34740797
1504440064,63243,34740777
1504467186,63503,34741056
1504474331,63407,34740988
1504526450,63362,34740937
1504534640,63419,34740999
1504542915,63411,34740992
1504612852,63433,34741024
1504619585,63428,34741019
1504626715,63414,34740989
1504699249,63380,34740955
1504709961,63683,34741420
1504737921,63641,34741371
1504774074,63648,34741384
1504785650,63643,34741386
1504794210,63396,34740922
1504823731,63547,34741090
1504860638,63611,34741150
1504872049,63605,34741150
1504873265,63697,34741276
1504900358,63586,34741146
1504958449,63661,34741236
1504983190,63766,34741362
1504991240,63793,34741336
1505044882,63773,34741338
1505052758,63759,34741322
1505067201,63806,34741383
1505077574,63727,34741322
1505121329,63735,34741323
1505131278,64754,34742356
1505138178,64759,34742368
1505144786,64814,34742419
1505156427,64936,34742517
1505217654,65262,34742867
1505217668,65268,34742870
1505228380,65239,34742836
1505241745,65248,34742830
1505304115,65356,34742947
1505315423,65476,34743080
1505320386,65549,34743184
1505375995,65500,34743121
