DateTime,Entries,UniqueIPs
1522160186,2565,2565
1522162105,2583,2583
1522164018,2558,2558
1522165942,2566,2566
1522167857,2617,2617
1522170051,2652,2652
1522171939,2682,2682
1522173865,2714,2714
1522175773,2735,2735
1522177701,2721,2721
1522179616,2735,2735
1522181547,2768,2768
1522183457,2768,2768
1522185385,2777,2777
1522187300,2781,2781
1522189629,2787,2787
1522191631,2810,2810
1522193531,2831,2831
1522195704,2869,2869
1522197610,2916,2916
1522199540,3702,3702
1522201697,3685,3685
1522203613,3696,3696
1522205546,3709,3709
1522207696,3695,3695
1522209650,3713,3713
1522211791,3705,3705
1522213963,3707,3707
1522215860,3711,3711
1522218043,3697,3697
1522220182,3722,3722
1522222108,3710,3710
1522224038,3696,3696
1522225953,3725,3725
1522228114,3735,3735
1522230258,3726,3726
1522234120,3773,3773
1522236034,3777,3777
1522238459,2259,2259
1522240343,2259,2259
1522242513,2900,2900
1522244665,2935,2935
1522246585,2950,2950
1522248744,2973,2973
1522250655,2991,2991
1522252578,2993,2993
1522254748,3033,3033
1522256660,3061,3061
1522258580,3082,3082
1522260497,3110,3110
1522262419,3129,3129
1522264339,3155,3155
1522266264,3191,3191
1522268184,3195,3195
1522270103,3199,3199
1522272021,3207,3207
1522273941,3209,3209
1522276460,3225,3225
1522278840,3225,3225
1522280653,3209,3209
1522282819,3182,3182
1522284741,3160,3160
1522286666,3756,3756
1522288580,3755,3755
1522290501,3755,3755
1522292422,3775,3775
1522294342,3777,3777
1522296266,3792,3792
1522298187,3816,3816
1522300096,3834,3834
1522302019,3837,3837
1522303942,3830,3830
1522305870,3839,3839
1522307775,3840,3840
1522309711,3856,3856
1522311613,3909,3909
1522313538,3947,3947
1522315459,3956,3956
1522317376,3975,3975
1522319293,3982,3982
1522321224,3988,3988
1522323139,3973,3973
1522325323,1869,1869
1522327212,1853,1853
1522329149,2731,2731
1522331058,2757,2757
1522332995,2798,2798
1522334898,2831,2831
1522337068,2845,2845
1522338972,2855,2855
1522340907,2851,2851
1522342828,2925,2925
1522344744,2957,2957
1522346667,2986,2986
1522348584,2982,2982
1522350495,2990,2990
1522352420,3003,3003
1522354340,3013,3013
1522356279,3017,3017
1522358173,3049,3049
1522360106,3066,3066
1522362011,3068,3068
1522365398,3071,3071
1522367291,3055,3055
1522369237,3076,3076
1522371140,3068,3068
1522373064,3858,3858
1522374972,3860,3860
1522376909,3840,3840
1522378827,3853,3853
1522380996,3854,3854
1522382908,3863,3863
1522384824,3867,3867
1522386739,3865,3865
1522388908,3855,3855
1522390857,3875,3875
1522392748,3879,3879
1522394662,3888,3888
1522396584,3910,3910
1522398739,3908,3908
1522400651,3913,3913
1522402816,3904,3904
1522404747,3891,3891
1522406664,3919,3919
1522408577,3927,3927
1522410508,3924,3924
1522412427,2264,2264
1522414334,2295,2295
1522416259,3104,3104
1522418228,3155,3155
1522420347,3210,3210
1522422275,3239,3239
1522424174,3264,3264
1522426118,3264,3264
1522428041,3263,3263
1522429947,3254,3254
1522431863,3263,3263
1522433785,3302,3302
1522435697,3327,3327
1522437615,3388,3388
1522439536,3401,3401
1522441456,3376,3376
1522443378,3366,3366
1522445541,3378,3378
1522447468,3388,3388
1522449793,3383,3383
1522452079,3396,3396
1522454175,3406,3406
1522456337,3418,3418
1522458261,4147,4147
1522460179,4163,4163
1522462112,4164,4164
1522464014,4161,4161
1522465943,4178,4178
1522467860,4179,4179
1522469784,4180,4180
1522471693,4179,4179
1522473618,4169,4169
1522475537,4167,4167
1522477463,4171,4171
1522479396,4196,4196
1522481299,4213,4213
1522483235,4185,4185
1522485140,4144,4144
1522487061,4151,4151
1522488983,4155,4155
1522490899,4158,4158
1522492820,4157,4157
1522494747,4173,4173
1522496658,4172,4172
1522498584,2151,2151
1522500500,2125,2125
1522502410,3031,3031
1522504338,3066,3066
1522506253,3106,3106
1522508193,3129,3129
1522510095,3103,3103
1522512063,3087,3087
1522513938,3109,3109
1522515861,3130,3130
1522517776,3161,3161
1522519947,3155,3155
1522521858,3163,3163
1522523784,3169,3169
1522525705,3162,3162
1522527858,3156,3156
1522529772,3152,3152
1522531941,3154,3154
1522533863,3157,3157
1522536088,3099,3099
1522537938,3084,3084
1522540680,3063,3063
1522542519,3052,3052
1522544673,3861,3861
1522546584,3859,3859
1522548507,3856,3856
1522550415,3843,3843
1522552346,3812,3812
1522554262,3814,3814
1522556182,3807,3807
1522558099,3811,3811
1522560017,3820,3820
1522561937,3825,3825
1522563865,3827,3827
1522566038,3815,3815
1522567944,3800,3800
1522569878,3772,3772
1522571774,3758,3758
1522573702,3744,3744
1522575614,3741,3741
1522577541,3733,3733
1522579463,3679,3679
1522581386,3686,3686
1522583304,3662,3662
1522585225,1683,1683
1522587160,1678,1678
1522589056,2496,2496
1522591003,2502,2502
1522592897,2498,2498
1522594855,2522,2522
1522596750,2537,2537
1522598671,2555,2555
1522600580,2570,2570
1522602514,2585,2585
1522604417,2593,2593
1522606600,2603,2603
1522609744,2604,2604
1522611616,2606,2606
1522613556,2601,2601
1522615464,2601,2601
1522617392,2584,2584
1522619294,2556,2556
1522622068,2554,2554
1522624330,2574,2574
1522626504,2581,2581
1522628412,2592,2592
1522630350,2573,2573
1522632254,3326,3326
1522634177,3335,3335
1522636102,3341,3341
1522638285,3358,3358
1522640174,3365,3365
