DateTime,AddedIPs,RemovedIPs
1515768532,7,3
1515783384,8,1
1515799000,7,1
1515813856,11,0
1515828751,8,1
1515843866,4,0
1515858747,5,1
1515873614,5,2
1515888254,4,0
1515902905,7,0
1515917546,15,0
1515932423,4,0
1515947064,4,0
1515962687,9,4
1515977309,5,1
1515991946,4,1
1516006583,11,5
1516021222,7,0
1516035860,3,1
1516050500,7,0
1516065132,9,0
1516080022,3,2
1516094655,8,0
1516109308,5,0
1516123951,7,3
1516138578,10,3
1516153468,5,2
1516168095,4,2
1516183234,8,4
1516198112,4,2
1516212989,3,2
1516227622,8,2
1516242259,3,3
1516257146,1,1
1516271787,8,1
1516286404,4,0
1516301314,8,2
1516315934,7,3
1516330825,4,1
1516345713,3,2
1516360335,4,3
1516374971,3,2
1516389853,4,4
1516404860,7,0
1516419615,4,0
1516434499,2,3
1516449136,8,0
1516463785,2,1
1516478661,5,0
1516493285,9,1
1516507929,7,1
1516522818,4,1
1516537465,7,0
1516552096,3,2
1516566726,4,1
1516581619,10,1
1516596260,3,2
1516610910,5,3
1516625787,7,4
1516640412,2,1
1516655052,2,0
1516669696,8,0
1516684345,2,1
1516699221,6,2
1516713852,4,4
1516728746,6,1
1516743369,11,1
1516758253,15,1
1516772894,13,1
1516787540,6,2
1516802186,12,0
1516816829,6,3
1516831447,14,1
1516846346,4,0
1516860965,12,0
1516875617,8,2
1516890258,11,1
1516904903,14,0
1516919786,5,0
1516934422,10,0
1516949050,13,2
1516963930,8,1
1516978571,8,1
1516993464,6,1
1517008595,11,0
1517023461,3,1
1517038086,9,3
1517052744,3,4
1517067402,8,2
1517082255,8,6
1517096897,2,0
1517111555,3,1
1517126171,6,2
1517141066,6,3
1517155708,4,0
1517170352,8,2
1517184987,4,1
1517199609,11,2
1517214256,20,1
1517229135,13,3
1517244021,12,3
1517258659,9,2
1517273293,3,0
1517287939,4,1
1517302589,6,1
1517317218,12,1
1517331854,3,2
1517346731,9,2
1517361624,5,2
1517376248,10,2
1517391145,10,2
1517405767,3,1
1517420408,8,0
1517435048,11,1
1517449710,6,0
1517464324,4,3
1517478970,12,1
1517493643,5,0
1517508258,6,0
1517522894,12,1
1517537536,2,0
1517552171,4,3
1517566805,7,0
1517581458,4,0
1517596106,6,0
1517610979,7,2
1517625855,5,1
1517640488,5,3
1517655372,7,2
1517670262,5,1
1517684914,4,2
1517699778,6,2
1517714418,8,1
1517729297,5,3
1517743928,11,0
1517758570,5,1
1517773205,9,1
1517788109,5,0
1517802748,7,1
1517817627,15,0
1517832513,13,0
1517847378,15,0
1517862025,13,0
1517876903,5,3
1517891530,6,1
1517906180,12,1
1517921053,6,2
1517935688,5,0
1517950582,7,0
1517965210,6,2
1517979855,7,0
1517994734,8,2
1518009365,4,3
1518024014,8,1
1518038661,3,1
1518053304,2,0
1518067940,9,1
1518082576,3,0
1518097209,6,0
1518111862,9,2
1518126509,6,1
1518141131,7,1
1518155777,5,1
1518170416,4,0
1518185052,4,0
1518199930,10,0
1518214830,5,2
1518229451,12,0
1518244334,8,1
1518258968,5,1
1518273624,1,1
1518288254,6,0
1518303140,3,0
1518317785,6,0
1518332422,2,1
1518347049,6,1
1518361704,10,0
1518376592,3,0
1518391220,4,0
1518405865,8,0
1518420745,9,0
1518435394,4,0
1518450264,12,0
1518464885,13,0
1518479554,3,0
1518494169,11,0
1518508829,6,0
1518523471,13,0
1518538341,6,1
1518553221,3,0
1518567757,8,0
1518582498,4,0
1518597379,7,1
1518612014,5,1
1518626657,4,0
1518641296,10,1
1518656171,5,1
1518670819,4,0
1518685692,12,3
1518700579,8,0
1518715212,6,2
1518729851,7,0
1518744743,4,0
1518759608,4,1
1518774496,9,3
1518789135,3,1
1518803772,2,1
1518818658,4,0
1518833786,5,0
1518848425,2,2
1518863047,8,0
1518877942,4,0
1518892818,6,0
1518907450,6,1
1518922095,1,0
1518936743,2,0
1518951624,4,2
1518966500,2,2
1518981145,1,0
1518996572,5,2
1519011128,1,1
1519026014,9,2
1519040656,4,3
1519055535,6,1
1519070173,11,0
1519084833,5,1
1519099707,14,2
1519114338,7,4
1519129487,11,1
1519144344,6,0
1519158973,7,0
1519173627,7,3
1519188260,3,0
1519202895,7,0
1519217547,4,1
1519232183,6,0
1519246814,5,1
1519261709,4,1
1519276577,2,0
1519291701,4,0
1519306349,14,0
1519320988,6,1
