DateTime,AddedIPs,RemovedIPs
1483116396,618,423
1483203297,372,362
1483277791,343,353
1483361667,352,447
1483438942,463,481
1483524290,523,630
1483570486,419,450
1483633267,394,505
1483699628,544,358
1483767186,389,472
1483980068,577,585
1484060822,649,712
1484141077,744,611
1484219558,433,521
1484304344,534,346
1484334050,357,598
1484501492,677,467
1484582924,797,766
1484670058,729,708
1484754415,716,950
1484841541,926,706
1484923062,513,500
1484971033,406,530
1485018892,472,400
1485092179,462,479
1485164786,505,583
1485208688,629,512
1485290591,507,586
1485376551,530,476
1485462657,582,489
1485544530,486,492
1485579240,405,358
1485739024,428,372
1485823702,403,436
1485903298,489,474
1485987816,497,602
1486070765,502,609
1486157293,842,543
1486225496,479,807
1486289916,395,397
1486464090,942,650
1486519717,620,564
1486595367,543,532
1486673157,580,443
1486747587,517,655
1486830828,511,380
1486911442,367,457
1486985537,608,515
1487068349,603,572
1487111916,552,585
1487181459,468,506
1487265896,549,449
1487345844,540,503
1487418228,456,610
1487590400,540,574
1487676580,472,502
1487710317,477,481
1487794961,479,469
1487868301,608,606
1487935754,548,533
1488010711,614,454
1488038803,428,473
1488125149,433,386
1488209400,828,771
1488289957,878,971
1488370603,480,510
1488455368,523,535
1488512600,608,420
1488561150,490,526
1488712233,531,465
1488798547,417,443
1488820741,500,513
1488981559,577,498
1489145452,823,725
1489183598,458,682
1489256282,419,376
1489335217,437,436
1489417839,494,474
1489503213,428,484
1489568141,468,517
1489624631,492,455
1489682673,511,418
1489765596,394,422
1489784405,464,483
1489855323,347,339
1489930278,412,435
1490004769,469,506
1490055675,477,587
1490134681,696,751
1490220278,716,707
1490292077,535,542
1490372160,454,439
1490457709,393,439
1490541336,491,432
1490616220,445,446
1490696835,527,477
1490775684,444,472
1490819442,510,530
1490895515,469,442
1490975048,525,451
1490998881,407,464
1491084888,423,354
1491171120,728,507
1491233806,554,548
1491307174,396,399
1491391084,478,474
1491474983,467,499
1491561338,592,450
1491642995,453,428
1491679769,346,393
1491753511,395,365
1491836843,414,457
1491914533,469,428
1491995986,518,461
1492080358,493,535
1492160207,572,447
1492194983,409,416
1492364165,510,471
1492450700,417,424
1492537199,487,471
1492623440,459,438
1492707587,534,436
1492794401,495,457
1492820257,411,426
1492900943,369,371
1492972119,418,358
1493048421,462,481
1493135555,521,469
1493221044,569,447
1493307432,565,512
1493393738,493,465
1493406599,480,485
1493569501,532,436
1493653834,424,435
1493721621,416,444
1493806002,812,750
1493842427,793,837
1493925960,506,461
1493936009,459,465
1494090864,468,458
1494171264,390,392
1494257981,518,425
1494336324,480,465
1494423211,415,483
1494449807,567,471
1494522706,432,460
1494584376,461,462
1494688549,515,492
1494858206,470,478
1494937598,489,498
1494991091,501,484
1495043753,478,489
1495217458,609,543
1495369668,427,485
1495438355,452,490
1495488034,566,417
1495567806,471,469
1495651406,580,467
1495735759,528,501
1495822310,500,487
1495901430,422,399
1495983928,431,444
1496062911,496,517
1496134592,519,492
1496220948,986,879
1496240674,868,836
1496326502,374,403
1496412741,532,474
1496440946,477,520
1496695784,930,688
1496767806,582,619
1496852635,555,735
1496959970,666,584
1497044629,834,860
1497105796,786,812
1497277609,892,891
1497348421,978,907
1497431647,979,848
1497482057,487,531
1497551389,477,456
1497637557,497,481
1497720327,839,826
1497801988,736,802
1497885864,500,455
