DateTime,Entries,UniqueIPs
1481736580,30073,30073
1481889204,30189,30189
1481967649,30142,30142
1482071653,30149,30149
1482145719,30120,30120
1482168021,30246,30246
1482249137,30251,30251
1482324763,30240,30240
1482406940,30435,30435
1482483224,30577,30577
1482527143,31114,31114
1482625961,31145,31145
1482764586,31068,31068
1482838055,31112,31112
1482920741,31038,31038
1482950169,31218,31218
1483029156,31665,31665
1483097606,31706,31706
1483205196,31811,31811
1483369943,31942,31942
1483439189,31866,31866
1483487757,31937,31937
1483571130,31999,31999
1483652885,32059,32059
1483738622,32103,32103
1483751664,32101,32101
1483987891,32279,32279
1484062648,32332,32332
1484085971,32389,32389
1484154813,32466,32466
1484238546,32676,32676
1484304864,32384,32384
1484350924,32464,32464
1484502580,32520,32520
1484581430,32591,32591
1484664889,32666,32666
1484736439,32582,32582
1484822912,32695,32695
1484908847,32713,32713
1484976300,32647,32647
1485092306,32636,32636
1485176014,32572,32572
1485258996,32564,32564
1485344386,32620,32620
1485425568,32565,32565
1485484980,32550,32550
1485546581,32621,32621
1485691889,32546,32546
1485776081,32558,32558
1485862044,32569,32569
1485895331,32499,32499
1486047854,32526,32526
1486115622,32548,32548
1486154060,32546,32546
1486219044,32365,32365
1486289617,32377,32377
1486318680,32561,32561
1486405634,32553,32553
1486476260,32711,32711
1486552573,32805,32805
1486639064,32841,32841
1486724092,32918,32918
1486759600,32870,32870
1486902728,32901,32901
1486980414,33435,33435
1487020172,33479,33479
1487099795,33572,33572
1487184097,33926,33926
1487266582,34081,34081
1487330146,34143,34143
1487423861,34163,34163
1487507851,34196,34196
1487514381,34257,34257
1487676672,34365,34365
1487710002,34472,34472
1487794976,34454,34454
1487863043,34422,34422
1487940426,34472,34472
1487963532,34713,34713
1488125205,34739,34739
1488203636,34855,34855
1488318711,34709,34709
1488387137,34579,34579
1488410869,34829,34829
1488489691,35145,35145
1488564465,35233,35233
1488586027,35199,35199
1488712599,35167,35167
1488798673,35345,35345
1488824720,35153,35153
1488974567,35192,35192
1489145698,35308,35308
1489189780,34864,34864
1489336974,34232,34232
1489403283,33779,33779
1489445328,33294,33294
1489527966,32926,32926
1489608653,32730,32730
1489695289,32724,32724
1489770280,32789,32789
1489923445,32768,32768
1489955373,32829,32829
1490038026,32853,32853
1490123907,32851,32851
1490207850,32830,32830
1490293110,32837,32837
1490375812,32819,32819
1490457724,32758,32758
1490537447,32835,32835
1490616494,32746,32746
1490644590,32807,32807
1490712450,32782,32782
1490786307,32700,32700
1490868436,32170,32170
1490909924,31843,31843
1490994341,31706,31706
1491072378,31497,31497
1491144694,31049,31049
1491228084,30676,30676
1491314121,30872,30872
1491391156,30588,30588
1491475137,30303,30303
1491561499,29963,29963
1491621504,29571,29571
1491679867,29288,29288
1491736996,29018,29018
1491770435,29535,29535
1491856382,29676,29676
1491925255,29301,29301
1492011277,29202,29202
1492080680,29339,29339
1492167722,29306,29306
1492204066,29229,29229
1492279555,29164,29164
1492449526,29119,29119
1492527984,29024,29024
1492605243,28951,28951
1492623177,28825,28825
1492735653,28650,28650
1492818110,28576,28576
1492895102,28523,28523
1492976430,28507,28507
1493052269,28345,28345
1493138162,28161,28161
1493221879,28172,28172
1493307720,28037,28037
1493381727,27854,27854
1493484222,27766,27766
1493561330,27750,27750
1493631848,27776,27776
1493712211,27773,27773
1493762737,28095,28095
1493847218,28277,28277
1493927949,28369,28369
1493937531,28322,28322
1494098608,28300,28300
1494173564,28233,28233
1494250844,28229,28229
1494322530,28294,28294
1494407355,28380,28380
1494565158,28128,28128
1494700861,28128,28128
1494779381,28128,28128
1494864573,28106,28106
1494927223,28098,28098
1494991078,28073,28073
1495060878,28072,28072
1495146701,28060,28060
1495224536,28009,28009
1495308241,28052,28052
1495389096,28072,28072
1495462188,28108,28108
1495549144,28117,28117
1495625147,28219,28219
1495698652,28276,28276
1495748156,28148,28148
1495900878,28096,28096
1495971823,28131,28131
1496058361,28161,28161
1496135383,28178,28178
1496221173,28164,28164
1496270357,28131,28131
1496513878,27651,27651
1496775637,27706,27706
1497001423,27772,27772
1497118136,27656,27656
1497203102,27660,27660
1497276740,27669,27669
1497291856,27650,27650
1497378413,27644,27644
1497464108,27632,27632
1497549316,27570,27570
1497563473,27630,27630
1497736552,27497,27497
1497815218,27623,27623
1497890229,27720,27720
1497974266,27954,27954
1498059409,27999,27999
1498136938,27953,27953
1498208980,28066,28066
1498226387,28056,28056
1498388225,28060,28060
1498472779,28157,28157
1498554806,28165,28165
1498640615,28242,28242
1498715582,28173,28173
1498777633,26106,26106
1498942504,25864,25864
1499023701,26064,26064
1499106393,26065,26065
1499189342,26020,26020
1499269242,26109,26109
1499332657,26189,26189
1499417767,26098,26098
1499537950,26237,26237
1499618674,26243,26243
1499703647,26462,26462
1499788304,26452,26452
1499870754,26412,26412
1499942060,26640,26640
1500024938,26526,26526
1500074322,26550,26550
1500154974,26465,26465
1500241982,26524,26524
1500315285,26547,26547
1500399708,26575,26575
1500480593,26499,26499
1500488203,26522,26522
1500574509,26489,26489
1500647953,26466,26466
1500815970,26407,26407
1500870839,26314,26314
1500935712,26322,26322
1501021917,26495,26495
1501095205,26505,26505
1501179204,26688,26688
1501249432,26427,26427
1501419318,26483,26483
1501501510,26383,26383
1501524074,26653,26653
1501607788,26611,26611
1501681303,26309,26309
1501962510,26168,26168
1502047819,26342,26342
1502122396,26363,26363
1502201345,26277,26277
1502279921,26499,26499
1502365384,26481,26481
1502446528,26526,26526
1502568886,26614,26614
1502653436,26263,26263
1502733299,26436,26436
1502818805,26499,26499
1502901156,26761,26761
1502984246,26331,26331
1503074436,26016,26016
1503326137,26041,26041
1503394960,26089,26089
1503440720,26362,26362
1503527516,26364,26364
1503614614,26508,26508
1503672175,26390,26390
1503702236,26695,26695
1503781541,26388,26388
