DateTime,Entries,UniqueIPs
1446553102,984,984
1447082874,831,831
1447558385,801,801
1447687849,847,847
1447778675,845,845
1447880759,845,845
1448033590,885,885
1448354232,880,880
1448554656,883,883
1448726694,887,887
1449084543,900,900
1449233392,896,896
1449265706,887,887
1449583079,950,950
1450321077,1080,1080
1450785218,965,965
1451159593,980,980
1451302029,976,976
1451508964,998,998
1451916652,992,992
1452013373,1142,1142
1452187219,1185,1185
1452279304,1209,1209
1453399633,1210,1210
1453568820,1287,1287
1453729784,1285,1285
1453857565,1321,1321
1453932962,1430,1430
1454087682,1550,1550
1454341331,1540,1540
1454416678,1485,1485
1454690464,1527,1527
1454946072,1523,1523
1455196524,1534,1534
1455208929,1537,1537
1457973493,1511,1511
1458836910,1518,1518
1459005212,1518,1518
1459175640,1522,1522
1460117297,1515,1515
1460633748,1538,1538
1460713362,1545,1545
1461000366,1536,1536
1461073442,1537,1537
1461412995,1536,1536
1461600560,1529,1529
1461846008,1528,1528
1462019716,1535,1535
1462275617,1549,1549
1462716465,1547,1547
1462800435,1553,1553
1462871418,1560,1560
1463490163,1558,1558
1463569239,1563,1563
1463592570,1550,1550
1463658206,1567,1567
1463877439,1567,1567
1464008442,1572,1572
1464091632,1568,1568
1464350825,1559,1559
1464362562,1573,1573
1464441575,1569,1569
1464696810,1587,1587
1464716737,1584,1584
1464947974,1653,1653
1464988378,1642,1642
1465219313,1644,1644
1465299556,1643,1643
1465314106,1637,1637
1465389808,1639,1639
1465465295,1638,1638
1465968054,1631,1631
1465992217,1628,1628
1466165793,1628,1628
1466423990,1623,1623
1466672787,1640,1640
1466905303,1672,1672
1467028099,1638,1638
1467221667,1642,1642
1467376635,1647,1647
1467634604,1631,1631
1467810171,1631,1631
1467896200,1641,1641
1467985276,1632,1632
1468107881,1639,1639
1468503992,1654,1654
1469454432,1633,1633
1469702424,1633,1633
1469880760,1636,1636
1470223574,1656,1656
1470311860,1672,1672
1470476763,1674,1674
1470491365,1676,1676
1470572136,1684,1684
1470653094,1694,1694
1470785247,1684,1684
1470833678,1685,1685
1471004292,1692,1692
1471515280,1705,1705
1471695028,1708,1708
1471781252,1711,1711
1471854769,1714,1714
1471885728,1714,1714
1472035652,1719,1719
1472261559,1722,1722
1472389418,1722,1722
1472461261,1726,1726
1472554898,1730,1730
1472745211,1731,1731
1473076259,1731,1731
1473161468,1731,1731
1473333964,1727,1727
1473520353,1748,1748
1473765856,1744,1744
1473881898,1741,1741
1474030027,1754,1754
1474061090,1758,1758
1474299672,1760,1760
1474371759,1760,1760
1474454435,1758,1758
1474628165,1759,1759
1474939268,1759,1759
1475205778,1758,1758
1475328703,1755,1755
1475848755,1749,1749
1476189020,1747,1747
1476273121,1744,1744
1476358637,1751,1751
1476509621,1765,1765
1476631612,1755,1755
1476958508,1751,1751
1476998065,1746,1746
1477053000,1745,1745
1477227068,1762,1762
1477313661,1759,1759
1477407268,1748,1748
1477572972,1761,1761
1477664809,1766,1766
1477784007,1750,1750
1477924413,1827,1827
1478008681,1783,1783
1478179662,1769,1769
1478518887,1738,1738
1478699353,1721,1721
1478864877,1737,1737
1479212056,1712,1712
1479296451,1753,1753
1479314081,1745,1745
1479396699,1753,1753
1479485976,1746,1746
1479655230,1753,1753
1479830936,1779,1779
1480004641,1777,1777
1480174766,1780,1780
1480264549,1781,1781
1480678809,1768,1768
1480865213,1771,1771
1481113404,1758,1758
1481203637,1764,1764
1481293622,1739,1739
1481545255,1752,1752
1482167354,1763,1763
1482243718,1778,1778
1482406355,1775,1775
1482625972,1768,1768
1482920662,1776,1776
1483097372,1787,1787
1483354355,1794,1794
1483905553,1790,1790
1484257198,1836,1836
1484304693,1808,1808
1484650563,1878,1878
1484736396,1800,1800
1484823103,1845,1845
1485162351,1794,1794
1485258928,1795,1795
1485564224,1776,1776
1485691833,1777,1777
1485859182,1773,1773
1486027761,1859,1859
1486115983,1831,1831
1486381563,1807,1807
1486552429,1837,1837
1486638864,1773,1773
1486902098,2110,2110
1487157962,2076,2076
1487168274,1933,1933
1487507614,1846,1846
1487676782,1897,1897
1488110102,1792,1792
1488112819,1788,1788
1488370702,1781,1781
1488544545,1784,1784
1488712368,1776,1776
1488974131,1776,1776
1489145983,1775,1775
1489321385,1771,1771
1489493590,1780,1780
1489575809,1793,1793
1489624665,1726,1726
1489784198,1704,1704
1490011798,1701,1701
1490094199,1698,1698
1490180904,1688,1688
1490353329,1687,1687
1490457715,1688,1688
1490616383,1728,1728
1490868362,1715,1715
1490994321,1698,1698
1491218355,1690,1690
1491320863,1687,1687
1491561466,1668,1668
1491736574,1700,1700
1491907224,1679,1679
1491921735,1677,1677
1492012745,1675,1675
1492182834,1683,1683
1492284073,1688,1688
1492425721,1663,1663
1492507471,1676,1676
1492642495,1686,1686
1492684540,1681,1681
1492809925,1684,1684
1492961467,1680,1680
1493036198,1676,1676
1493116667,1670,1670
1493161385,1671,1671
1493204074,1673,1673
1493334252,1660,1660
1493561781,1661,1661
1493631256,1645,1645
1493740560,1659,1659
1493806192,1655,1655
1493893170,1649,1649
1493908948,1657,1657
1494235043,1661,1661
1494407794,1665,1665
1494778529,1669,1669
1494942100,1711,1711
1495116208,1757,1757
1495439106,1715,1715
1495536063,1699,1699
1495698604,1685,1685
1495804510,1678,1678
1495971507,1672,1672
1496221124,1677,1677
1496349960,1701,1701
1496513148,1697,1697
1497225913,1669,1669
1497345453,1663,1663
1497429986,1665,1665
1497815204,1667,1667
1497897256,1657,1657
1497974257,1648,1648
1498154874,1641,1641
1498472892,1630,1630
1498640952,1640,1640
1498688249,1666,1666
1498773847,1639,1639
1498931354,1652,1652
1498999527,1646,1646
1499068994,1644,1644
1499096293,1645,1645
1499163645,1644,1644
1499332464,1650,1650
1499526076,1655,1655
1499603105,1651,1651
1499801535,1651,1651
1499959173,1663,1663
1500024801,1666,1666
1500140085,1689,1689
1500313758,1689,1689
1500373589,1686,1686
1500501657,1691,1691
1500748135,1689,1689
1500815503,1692,1692
1500919745,1699,1699
1500990851,1696,1696
1501109655,1705,1705
1501179206,1706,1706
1501249504,1714,1714
1501417649,1718,1718
1501594993,1699,1699
1501676673,1692,1692
1502045994,1752,1752
1502303513,1731,1731
1502375788,1721,1721
1502563570,1734,1734
1502644670,1740,1740
1502728882,1744,1744
1502989982,1736,1736
1503326140,1736,1736
1503409107,1734,1734
1503440710,1732,1732
1503497635,1732,1732
1503665231,1744,1744
1503764354,1747,1747
1503931162,1742,1742
1504015182,1753,1753
1504046044,1770,1770
1504113873,1775,1775
1504191691,1779,1779
1504219110,1779,1779
1504391129,1798,1798
1504474334,1794,1794
1504639177,1805,1805
1504709247,1821,1821
1504792591,1831,1831
1504823834,1821,1821
1504983640,1826,1826
1505067457,1827,1827
1505074704,1826,1826
1505315097,1835,1835
1505397034,1851,1851
1505467787,1860,1860
1505589859,1868,1868
1505675359,1879,1879
1505758558,1880,1880
1505841007,1890,1890
1505853764,1901,1901
1506007082,1897,1897
1506033160,1897,1897
1506198099,1898,1898
1506284030,1900,1900
1506356245,1900,1900
1506420218,1907,1907
1506504388,1909,1909
1506551423,1927,1927
1506637416,1934,1934
1506710685,1942,1942
1506878431,1931,1931
1507130790,1917,1917
1507243894,1918,1918
1507418864,1917,1917
1507572550,1921,1921
1507709857,1924,1924
1507761233,1928,1928
1507847076,1928,1928
1507998907,1928,1928
1508082780,1923,1923
1508152394,1919,1919
1508221982,1916,1916
1508280272,1906,1906
1508361687,1909,1909
1508428836,1915,1915
1508480651,1914,1914
1508689422,1924,1924
1508852043,1909,1909
1508972055,1906,1906
1509057332,1902,1902
1509212091,1905,1905
1509269503,1900,1900
1509352860,1913,1913
1509386909,1914,1914
1509450594,1908,1908
1509527664,1914,1914
1509662317,1910,1910
1509702993,1904,1904
1509826634,1911,1911
1509902519,1916,1916
1509990204,1910,1910
1510007924,1917,1917
1510243029,1919,1919
1510335376,1927,1927
1510449246,1936,1936
1510522730,1927,1927
1510592129,1926,1926
1510698679,1930,1930
1510775069,1929,1929
1510823927,1941,1941
1510870417,1944,1944
1511121506,1936,1936
1511200346,1936,1936
1511373947,1943,1943
1511701481,1971,1971
1511773699,1964,1964
1511897274,1965,1965
1512298624,1979,1979
1512469791,1983,1983
1512496086,1985,1985
1512599710,1976,1976
1512685640,1986,1986
1512844322,1998,1998
1513181732,1995,1995
1513950991,1971,1971
1514114473,1973,1973
1514197053,1977,1977
1514574641,1956,1956
1514984861,1972,1972
1515020378,1978,1978
1515710350,1963,1963
1515873277,1973,1973
1515959213,1965,1965
1516005332,1967,1967
1516049733,1986,1986
1516269581,1988,1988
1516552815,1974,1974
1516746670,1990,1990
1516833543,1989,1989
1516890110,1989,1989
1516969058,1992,1992
1517094119,1995,1995
1517170825,2002,2002
1517320970,2018,2018
1517408127,2014,2014
1517435278,2024,2024
1517524069,2015,2015
1517697111,2027,2027
1517773378,2024,2024
1517844966,2022,2022
1517925466,2031,2031
1518005739,2032,2032
1518042895,2031,2031
1518129920,2026,2026
1518381288,2013,2013
1518513844,2017,2017
1518907159,2006,2006
1518985773,2004,2004
1519061294,2019,2019
1519210015,2012,2012
1519252339,2004,2004
1519337934,2010,2010
1519412034,1992,1992
1519666486,2009,2009
1519770099,2008,2008
1520196630,1948,1948
1520376446,1966,1966
1520547356,1976,1976
1520799258,1979,1979
1520881198,1960,1960
1520931625,1949,1949
1520981091,1962,1962
1521066851,1979,1979
1521153705,1962,1962
1521325328,1951,1951
1521481851,1935,1935
1521551654,1938,1938
1521711688,1930,1930
1521972820,1962,1962
1522276637,1969,1969
1522612786,1962,1962
1522684352,1956,1956
1522854421,2116,2116
1522877741,2116,2116
1522946307,2128,2128
