DateTime,Entries,UniqueIPs
1471815901,570,572
1473027407,854,1058
1473200285,1133,1264
1473287322,1298,1436
1473373801,1419,1567
1473460205,1266,1412
1473633669,930,1012
1473720302,892,973
1473807379,807,884
1473980536,758,830
1474067009,693,760
1474153686,695,764
1474240227,698,768
1474326902,704,777
1474413401,732,809
1474499894,807,882
1474587001,857,934
1474673481,898,974
1474760255,973,1049
1474846845,1041,1121
1474933501,1133,1213
1475019903,1184,1262
1475106693,1292,1371
1475193133,1446,1523
1475279606,1587,1676
1475366402,1833,1994
1475452919,2019,2127
1475539326,2208,2316
1475625782,2362,2487
1475712328,2566,2695
1475799026,2622,2753
1475885475,2589,2695
1475972008,2872,2966
1476058502,2987,3093
1476145003,3101,3220
1476231481,3001,3120
1476318522,2978,3096
1476405001,3203,3323
1476491888,3454,3562
1476578701,3825,3910
1476665228,4390,4468
1476751683,5107,5177
1476838275,5861,5933
1476925017,6186,6268
1477011447,6521,6616
1477098000,6772,6886
1477184403,6822,6935
1477270863,6467,6586
1477357331,6270,6421
1477443786,6028,6187
1477530275,6023,6170
1477616725,5699,5849
1477703193,5300,5528
1477789977,5242,5482
1477876416,5326,5519
1477962902,5608,5777
1478049403,5855,5991
1478135884,6337,6497
1478222376,6680,6864
1478308954,6983,7173
1478395447,7936,8153
1478569087,10365,10606
1478655902,11742,11971
1478742457,12003,12204
1478828911,12210,12419
1478915429,11446,11624
1479001876,10853,11036
1479174846,9532,9727
1479261337,9664,9861
1479348000,10207,10437
1479434403,10816,11174
1479520880,10603,10976
1479866702,7957,8258
1479953277,7117,7279
1480039945,6474,6652
1480126482,5588,5886
1480212902,5808,6165
1480299404,6032,6384
1480386023,6024,6364
1480472469,6016,6353
1480558943,6142,6489
1480645392,6196,6552
1480731843,6362,6730
1480818333,6446,6809
1480904977,6638,7013
1480991404,6636,6797
1481077958,6692,6844
1481164525,6803,6944
1481198522,6856,7000
1481284983,6855,6997
1481371499,6840,6971
1481457923,7000,7142
1481544379,7047,7187
1481630831,7197,7334
1481717458,7319,7456
1481804102,7578,7803
1481890570,7752,7976
1481977259,7986,8206
1482063791,8250,8452
1482150294,8420,8626
1482237002,8600,8807
1482323493,8946,9057
1482410266,9572,9687
1482583358,10981,11110
1482669791,11801,11938
1482756302,12728,12866
1482843205,13445,13586
1482929739,13998,14141
1483016398,14628,14784
1483102805,15302,15487
1483189265,15997,16176
1483275740,16527,16700
1483362190,17113,17291
1483535354,18415,18599
1483621844,19025,19213
1483708334,19565,19872
1483794800,19925,20292
1483967707,20585,20951
1484054226,20996,21367
1484140910,20821,21214
1484227396,20811,21204
1484314203,20782,21185
1484401044,20529,20953
1484487610,19834,20248
1484574193,18742,19153
1484660703,18336,18749
1484747234,17776,18186
1484833910,17654,18059
1484920472,17333,17736
1485006937,17013,17393
1485093596,16343,16695
1485180010,15712,16003
1485266476,15121,15292
1485352933,14133,14291
1485439390,13445,13601
1485612512,12492,12779
1485698980,11499,11871
1485785585,10740,11105
1485872064,10762,11127
1485958504,10840,11199
1486218192,11131,11497
1486305005,10447,10709
1486391469,10511,10641
1486478272,10723,10861
1486564816,10691,10825
1486651394,10456,10586
1486737871,10426,10558
1486824305,11169,11303
1486910857,11447,11584
1487084154,11762,11904
1487170608,12104,12257
1487257194,12469,12619
1487343604,12704,12859
1487430071,13003,13159
1487516528,13052,13207
1487602989,13325,13475
1487690107,13257,13398
1487776577,13596,13736
1487863391,14082,14442
1487950203,14425,14816
1488036929,14722,15113
1488123415,14782,15180
1488209838,14393,14787
1488296284,14752,15152
1488382993,15124,15514
1488469502,15087,15468
1488556038,15118,15499
1488642493,15320,15698
1488729342,15351,15725
1488815771,15066,15435
1488902394,14923,15292
1488988804,14917,15288
1489075325,14888,15249
1489161787,14966,15333
1489248345,15374,15742
1489334845,15460,15855
1489421321,15336,15727
1489507791,15375,15766
1489594407,15260,15646
1489767651,15466,15874
1489854192,15571,15975
1490027843,15379,15769
1490114703,15390,15795
1490201480,15626,16026
1490288125,15727,16123
1490374588,15768,16156
1490461192,15854,16237
1490547607,15805,16155
1490634065,15317,15588
1490720531,14918,15175
1490980227,14808,14976
1491066724,14863,15089
1491153305,14982,15367
1491239965,14882,15256
1491326594,15065,15454
1491413055,15423,15824
1491499779,15522,15920
1491586204,15654,16056
1491759792,15794,16019
1491846302,15270,15467
1491932782,15502,15713
1492019514,15774,16038
1492106121,15912,16268
1492192700,16011,16409
1492279193,16238,16621
1492365615,16630,17013
1492452069,16534,16913
1492538536,16410,16774
1492624987,16416,16780
1492711462,16484,16843
1492797941,16077,16448
1492884425,16388,16770
1493057648,14822,15220
1493144103,14156,14553
1493230996,13608,14004
1493317493,13643,14039
1493490605,15223,15628
1493664086,16391,16834
1493750537,17135,17608
1493836998,17641,18135
1493923503,17952,18455
1494010205,18113,18634
1494096727,18220,18740
1494183325,18427,18955
1494269993,18140,18654
1494356406,17960,18464
1494442866,17729,18229
1494529339,17150,17630
1494615794,16225,16635
1494788720,15215,15592
1494875266,14736,15149
1494962105,14015,14437
1495048597,13550,13951
1495135394,14153,14564
1495221933,14505,14929
1495308379,14708,15119
1495395004,14395,14796
1495481559,6455,6786
1495568240,14625,15036
1495654731,14605,15012
1495741354,14931,15333
1495827795,15181,15577
1495914302,15435,15831
1496001056,15708,16105
1496087739,15751,16147
1496174391,16108,16497
1496260805,16170,16548
1496347264,16289,16685
1496433734,16338,16736
1496520185,16425,16831
1496606685,16383,16789
1496693160,16299,16706
1496779569,16110,16420
1496866503,15906,16074
1496953393,16059,16230
1497039860,16480,16653
1497126345,16708,16869
1497212775,16759,16927
1497385803,16713,16897
1497472496,16688,16878
1497559105,16366,16562
1497645794,16333,16526
1497732302,16251,16443
1497819324,16142,16332
1497905956,15635,15824
1497992409,15460,15652
1498078865,15405,15597
1498165333,15397,15575
1498251790,15006,15176
1498338265,15679,15837
1498424708,16124,16301
1498597818,16377,16560
1498771346,16802,17017
1498857793,16897,17109
1498944412,17199,17423
1499031008,18573,18825
1499117761,19144,19502
1499204246,37096,37617
1499290779,49270,49883
1499377399,69565,70476
1499463890,75958,76960
1499550309,76252,77260
1499637181,75406,76430
1499723700,68699,69687
1499810109,55726,56631
1499896606,46597,47324
1499983100,44635,45283
1500242530,49525,50116
1500415464,47897,48442
1500501919,48098,48646
1500674953,47323,47909
1500761428,43819,44457
1500847890,46472,47172
1500934360,45638,46339
1501020917,43821,44512
1501107571,42415,43099
1501194030,40201,40739
1501280595,38785,39226
1501453520,34413,34804
1501540070,33157,33524
1501626531,32268,32630
1501712967,31948,32295
1501972697,30550,30905
1502059192,30076,30454
1502232266,29812,30206
1502318706,28818,29209
1502405200,28162,28551
1502491658,27452,27824
1502578128,26414,26774
1502751329,25843,26202
1502837818,24327,24726
1502924316,23700,24091
1503010761,23040,23422
1503097208,22088,22456
1503270142,21105,21477
1503356601,17299,17548
1503443201,17612,17865
1503529806,16180,16419
1503702904,14031,14263
1504048905,10606,10806
1504654700,9315,9771
1504914304,11361,11870
1505260520,11384,11860
1505869265,9599,9862
1506215250,8312,8517
1506474817,14531,14912
1506561303,14476,14896
1506647770,14523,14908
1506734243,14566,14928
1506820711,14575,14928
1506907244,14543,14916
1506993792,14553,14912
1507080289,14581,14936
1507166734,14522,14892
1507253218,14509,14896
1507339796,14566,14912
1507426214,14558,14920
1507513097,14536,14916
1507599621,14505,14912
1507686194,14516,14916
1507772703,14496,14904
1507859216,14435,14880
1507945665,14526,14912
1508032383,14552,14892
1508118860,14518,14896
1508205322,14555,14904
1508291861,14521,14904
1508378339,14406,14844
1508464756,14414,14836
1508551206,14541,14904
1508637668,14528,14900
1508724148,14503,14892
1508810593,14491,14900
1508897073,14519,14904
1508983630,14468,14872
1509070167,14472,14884
1509156889,14533,14896
1509243305,14526,14900
1509329796,14527,14904
1509416228,14560,14904
1509502755,14575,14912
1509589290,14547,14904
1509675793,14545,14916
1509762266,14602,14924
1509848895,14668,14912
1509935462,14636,14920
1510021923,14658,14916
1510108499,14704,14948
1510194903,14677,14928
1510281450,14608,14904
1510367901,14605,14912
1510454443,14589,14912
1510540995,14595,14904
1510627490,14607,14912
1510713902,14589,14920
1510800459,14439,14828
1510887255,14526,14896
1510973721,14600,14896
1511060387,14612,14920
1511146804,14606,14920
1511233283,14609,14916
1511319744,14620,14936
1511406184,14582,14920
1511492858,14609,14912
1511579374,14640,14928
1511665810,14639,14912
1511752308,14624,14932
1511838884,14632,14932
1511925304,14625,14924
1512011834,14589,14928
1512098498,14590,14924
1512184991,14623,14944
1512271629,14646,14928
1512358117,14615,14928
1512444594,14611,14928
1512531002,14646,14932
1512617588,14600,14916
1512704053,14604,14920
1512790649,14626,14916
1512877094,14635,14932
1512963661,14586,14928
1513050193,14578,14904
1513136702,14599,14928
1513223199,14532,14876
1513309972,14561,14932
1513396387,14569,14916
1513482918,14591,14916
1513569501,14593,14924
1513655990,14545,14916
1513742405,14536,14888
1513828865,14429,14840
1513915328,14497,14876
1514001793,14546,14883
1514088250,14572,14903
1514174710,14531,14903
1514261247,14548,14892
1514347716,14544,14900
1514434289,14546,14888
1514520892,14502,14864
1514607304,14566,14900
1514693945,14556,14912
1514780535,14518,14888
1514867042,14532,14896
1514953801,14495,14892
1515040442,14519,14904
1515127016,14509,14900
1515213561,14568,14904
1515300184,14584,14920
1515386702,14558,14920
1515473304,14521,14892
1515559844,14524,14892
1515646365,14508,14900
1515732961,14464,14900
1515819542,14519,14904
1515906007,14479,14884
1515992466,14449,14896
1516078926,14423,14856
1516165385,1508,1520
1516251843,14450,14900
