DateTime,Entries,UniqueIPs
1452219718,3695,605768520
1452306616,3696,605762376
1452393870,3697,605754696
1452654649,3698,605745480
1452741627,3695,605735240
1452828662,3695,605727304
1452915603,3694,605719112
1453002632,3698,605702216
1453089603,3698,605702216
1453176982,3698,605702216
1453263693,3698,605709384
1453350745,3701,605702216
1453437611,3700,605682760
1453524625,3698,605673544
1453611632,3700,605662280
1453698640,3700,605662280
1453872618,3709,605633096
1453959610,3711,605622088
1454046630,3709,605612872
1454220783,3711,605603912
1454394611,3710,605588552
1454481995,3710,605571144
1454568617,3709,605561160
1454655609,3709,605545800
1454742620,3710,605563208
1455090614,3711,605527368
1455177609,3709,605515848
1455264638,3712,605504840
1455438627,3713,605497672
1455612614,3713,605485384
1455786605,3713,605459784
1455873611,3712,605439304
1455960610,3710,605429064
1456221616,3714,605409096
1456482607,3713,605373000
1456569603,3714,605362248
1456830614,3713,605346888
1456917613,3717,605333832
1457091621,3720,605438280
1457178619,3724,605418824
1457527029,3723,605395272
1457614359,3722,605376840
1457962503,3722,605373768
1458049753,3721,605357384
1458136433,3721,605347144
1458223208,3723,605337928
1458310584,3721,605323848
1458397218,3728,605310536
1458658302,3728,605305416
1458745236,3727,605296200
1458832580,3726,605285960
1458919932,3725,605277768
1459355537,3724,605265480
1459529580,3725,605234760
1459616454,3728,605220424
1459878496,3728,605212232
1459965180,3728,605192776
1460052055,3729,605179464
1460139391,3726,605167944
1460313146,3727,605152584
1460487236,3726,605136200
1460574043,3728,605120840
1460661163,3727,605108808
1460835018,3728,605079112
1461096027,3730,605061704
1461183379,3731,605050440
1461531609,3732,605001544
1461706044,3730,604987464
1461793456,3730,604965960
1461967249,3730,604944456
1462054369,3732,604932168
1462315969,3731,604907848
1462402830,3731,604896840
1462490188,3732,604883528
1462664132,3733,604863048
1462925486,3731,604845640
1463012623,3731,604835400
1463099553,3731,604809544
1463186438,3731,604796232
1463273486,3736,604781896
1463621896,3734,604771400
1463708505,3735,604751688
1463794939,3734,604735304
1463881729,3734,604708680
1464141673,3735,604688200
1464228314,3735,604673096
1464315631,3734,604664904
1464402092,3737,604653640
1464489024,3737,604643144
1464749924,3735,604638024
1464836439,3734,604622664
