DateTime,Entries,UniqueIPs
1440181870,40792,227983904
1440616863,40792,227983904
1442530856,40792,227983904
1453057837,40792,227983904
1453144839,40792,227983904
1453231839,40792,227983904
1453318828,40792,227983904
1453405838,40792,227983904
1453492864,40792,227983904
1453579841,40792,227983904
1453666835,40792,227983904
1465745904,40791,227983648
1500027089,40777,227979632
1500113546,40779,227915462
1500200005,40784,227917135
1500286465,40780,227982096
1500372920,40783,227713336
1500459373,40779,227982170
1500545958,40787,227983183
1500632486,40789,227913608
1500718932,40778,227915930
1500805405,40780,227786376
1500891938,40783,227983183
1500978447,40786,227982576
1501065010,40774,227915680
1501151484,40776,227981552
1501237949,40778,227981608
1501324393,40781,227980968
1501410861,40779,227978928
1501497311,40770,227967304
1501583906,40783,227981760
1501670352,40786,227973880
1501756821,40778,227916281
1501843285,40780,227974552
1501929840,40771,227901048
1502016253,40781,227895944
1502102734,40782,227981568
1502189269,40784,227898648
1502275693,40787,227916176
1502362294,40779,227915504
1502448769,40787,227980328
1502535191,40782,227784079
1502621679,40789,227982807
1502708119,40780,227917056
1502794671,40780,227981880
1502881100,40794,227959008
1502967561,40784,227982103
1503054014,40775,227980960
1503140503,40791,227980592
1503226932,40785,227982064
1503313393,40787,227973224
1503399906,40789,227979600
1503486372,40780,227916910
1503572939,40780,227981616
1503659390,40786,227915624
1503832278,40777,227917160
1503918874,40777,227883373
1504005322,40785,227916106
1504091772,40782,227915983
1504178362,40779,227904840
1504264813,40780,227961256
1504351450,40786,227982775
1504437911,40786,227883835
1504524611,40785,227982640
1504611094,40785,227916432
1504697533,40781,227981008
1504784017,40788,227880576
1504870595,40782,227818342
1504957213,40781,227982560
1505043869,40779,227982264
1505130355,40780,227917263
1505216829,40784,227981319
1505303419,40780,227916999
1505476459,40780,227588884
1505562918,40785,227981978
1505649443,40793,227983016
1505735969,40780,227917152
1505822419,40776,227916719
1505908885,40778,227908544
1505995332,40783,227949760
1506081797,40776,227980626
1506168279,40782,227982192
1506254711,40787,227983491
1506341172,40786,227917904
1506427705,40786,227981490
1507292852,40792,227982728
1507379339,40780,227983240
1507465752,40780,227851301
1507552210,40787,227915783
1507638760,40791,227848043
1507725244,40789,227981103
1507811728,40778,227848120
1507898169,40775,227906198
1507984812,40778,227973184
1508071298,40782,227648583
1508157778,40780,227915256
1508244361,40787,227983187
1508330778,40782,227916439
1508417299,40775,227978223
1508503759,40782,227835663
1508590296,40789,227884600
1508676753,40782,227983063
1508763376,40778,227982446
1508849861,40781,227981080
1508936411,40777,227982584
1509022932,40788,227982211
1509109402,40785,227982587
1509195850,40787,227982482
1509282324,40776,227970144
1509368793,40781,227961560
1509455306,40780,227900480
1509541831,40790,227924475
1509628298,40791,227913574
1509714771,40787,227850984
1509801308,40784,227982067
1509887771,40781,227851687
1509974296,40781,227902335
1510060804,40780,227976680
1510147336,40778,227975930
1510233823,40783,227912512
1510320605,40784,227916195
1510407069,40780,227980336
1510493529,40783,227981928
1510580020,40783,227851272
1510666565,40787,227983139
1510753208,40778,227981839
1510839745,40793,227982771
1510926256,40781,227974730
1511012716,40777,227915112
1511099524,40785,227983000
1511186112,40776,227709624
1511272714,40779,227980944
1511359152,40786,227973670
1511445608,40784,227848704
1511532094,40778,227905795
1511618532,40776,227915648
1511704991,40786,227979728
1511791470,40781,227977291
1511877932,40779,227916872
1511964442,40786,227981443
1512050904,40787,227917000
1512137404,40782,227721368
1512223884,40782,227966639
1512310335,40774,227842459
1512396906,40778,227915723
1512483609,40778,227850576
1512570140,40773,227915079
1512656712,40786,227916510
1512743197,40789,227964320
1512829641,40778,227916088
1512916161,40782,227913051
1513002606,40778,227917415
1513089328,40783,227916992
1513175770,40772,227913562
1513262233,40784,227917127
1513348745,40784,227980097
1513435208,40783,227979142
1513521670,40776,227847695
1513608135,40782,227982743
1513694593,40775,227980544
1513781151,40779,227905311
1513867574,40776,227972304
1513954035,40785,227982795
1514040500,40785,227786656
1514126952,40781,227972496
1514213413,40780,227916976
1514299875,40781,227912888
1514386333,40782,227982728
1514472801,40780,227980664
1514559288,40787,227982035
1514645713,40779,227973095
1514732209,40777,227851790
1514818630,40786,227982520
1514905121,40784,227786227
1514991548,40785,227851816
1515078071,40786,227964240
1515164529,40782,227980192
1515251125,40780,227915983
1515337566,40781,227916376
1515424053,40782,227786027
1515510634,40780,227981024
1515597066,40774,227979479
1515683616,40790,227913470
1515770080,40781,227916312
1515856531,40778,227916415
1515943068,40782,227983240
1516029545,40789,227899622
1516116058,40785,227751432
1516202588,40784,227974496
1516289072,40781,227916712
1516375507,40783,227982448
1516461969,40785,227916696
1516548507,40783,227916583
1516634976,40775,227960983
1516721413,40780,227980632
1516807874,40783,227851111
1516894398,40778,227982381
1516981172,40778,227982920
1517067834,40784,227982932
1517154271,40780,227916034
1517240765,40785,227966608
1517327415,40784,227915704
1517414110,40784,227915447
1517500581,40782,227982106
1517587044,40778,227948664
1517673492,40777,227915719
1517759946,40782,227892712
1517846409,40779,227981072
1517932866,40834,227957888
1518019332,40788,227917015
1518105795,40784,227982870
1518192318,40784,227980544
1518278765,40780,227916647
1518365236,40779,227982629
1518451886,40781,227981379
1518538499,40785,227917059
1518624907,40782,227982544
1518711424,40780,227912360
1518797911,40782,227983088
1518884405,40781,227977520
1518970887,40776,227876160
1519057355,40791,227850659
1519144206,40781,227851880
1519230785,40788,227982776
1519317266,40778,227981064
1519403766,40782,227969882
1519490405,40779,227916848
1519577008,40775,227966456
1519663509,40783,227982528
1519749966,40783,227917657
1519836438,40784,227982784
1519923063,40782,227917416
1520009573,40783,227982985
1520096007,40781,227977664
1520182509,40786,227917144
1520269092,40785,227966776
1520355548,40785,227916216
1520442009,40782,227982167
1520528467,40779,227981495
1520614927,40781,227979199
1520701407,40784,227913496
1520787866,40786,227983008
1520874356,40780,227851211
1520960986,40794,227974728
1521047416,40780,227907984
1521133892,40793,227851352
1521220389,40782,227917456
1521306906,40780,227982146
1521393474,40767,227778907
1521479885,40788,227917567
1521566404,40778,227457888
1521652921,40776,227976783
1521739731,40789,227982867
1521826208,40783,227979863
1521912982,40785,227785720
1521999483,40783,227978891
1522086010,40780,227979072
1522172625,40779,227714880
1522259104,40787,227916488
1522518723,40776,227912631
1522605253,40782,227982560
1522691714,40784,227912840
1522778198,40778,227908536
1522864748,40779,227982000
1522951208,40786,227973088
1523037668,40779,227980176
1523124164,40781,227972195
