DateTime,Entries,UniqueIPs
1478920752,218284,762691576
1479006210,218278,762684865
1479072343,218285,762690041
1479109570,218287,762691692
1479196814,218282,762690833
1479283338,218277,762623607
1479368831,218277,762688304
1479456171,218285,762691343
1479542544,218286,762691671
1479629017,218280,762690229
1479716114,218282,762690984
1479801549,218287,762691400
1479887529,218282,762690383
1479974016,218279,762691212
1480060032,218276,762691168
1480172268,218276,762689676
1480262156,218280,762687432
1480324739,218287,762689000
1480412155,218287,762690400
1480497063,218285,762690879
1480583216,218283,762691318
1480670276,218277,762691248
1480756725,218279,762691309
1480842779,218279,762683407
1480929478,218284,762691380
1481017681,218279,762616597
1481102456,218280,762690232
1481188617,218280,762685009
1481275055,218284,762691583
1481396056,218280,762690690
1481449377,218280,762690221
1481534454,218278,762690198
1481620904,218284,762691639
1481706470,218285,762690760
1481793590,218282,762625669
1481880589,218284,762559583
1481967769,218284,762691041
1482053575,218284,762691421
1482138414,218281,762690551
1482225234,218286,762625990
1482311513,218287,762691694
1482397973,218283,762690593
1482485812,218277,762690960
1482572255,218286,762691416
1482658716,218286,762691376
1482745175,218283,762690113
1482831636,218279,762687575
1482918107,218283,762625105
1483004563,218283,762691135
1483091016,218286,762690369
1483177486,218281,762691134
1483263936,218277,762689511
1483350401,218279,762687766
1483468237,218288,762626167
1483554695,218276,762691058
1483641156,218281,762690905
1483727618,218280,762625324
1483814075,218283,762691313
1483904349,218285,762691351
1483990842,218289,762678872
1484077307,218284,762690952
1484163758,218278,762691082
1484250216,218287,762691424
1484336683,218286,762683480
1484423065,218282,762691322
1484526805,218284,762691601
1484613278,218286,762625166
1484699735,218279,762675035
1484786197,218279,762691113
1484872656,218278,762624789
1484959122,218282,762690741
1485045576,218285,762625881
1485132045,218280,762691325
1485218502,218278,762691380
1485304955,218279,762690953
1485391415,218276,762687492
1485477883,218286,762690664
1485564336,218284,762690863
1485605004,218280,762691096
1485691477,218286,762686039
1485777936,218278,762689466
1485864395,218280,762691286
1485950859,218286,762625729
1486037318,218277,762690807
1486123776,218281,762691339
1486205567,218282,762691491
1486273522,218283,762691365
1486360220,218287,762691549
1486446923,218287,762691560
1486534579,218286,762691376
1486619298,218285,762680697
1486705786,218282,762690647
1486797235,218279,762690942
1486883815,218284,762690911
1486970637,218286,762626104
1487057873,218285,762691326
1487142532,218279,762689632
1487228975,218288,762691377
1487315439,218273,762685398
1487401901,218287,762683184
1487488358,218284,762686302
1487574817,218275,762691237
1487661285,218279,762690552
1487747780,218287,762691687
1487900680,218280,762689479
1487987137,218280,762691084
1488073594,218280,762691567
1488092622,218279,762683320
1488182534,218286,762691485
1488266498,218276,762691227
1488351517,218282,762691413
1488447238,218281,762427197
1488532888,218284,762682471
1488618715,218286,762691201
1488704936,218283,762559961
1488791817,218285,762691669
1488879116,218274,762691433
1488964494,218279,762691054
1489050937,218285,762674529
1489138315,218283,762691335
1489225676,218281,762691270
1489308949,218279,762691501
1489395395,218285,762691140
1489481868,218284,762690912
1489568315,218284,762683877
1489654777,218288,762625905
1489743518,218281,762689854
1489829976,218283,762619600
1489948549,218280,762691036
1490035003,218277,762427711
1490138775,218278,762674836
1490225264,218277,762559582
1490311715,218283,762690015
1490398176,218284,762624793
1490484706,218284,762625567
1490567638,218276,762686725
1490607602,218278,762691263
1490694599,218283,762624192
1490778836,218279,762683671
1490865275,218278,762689260
1490953916,218285,762604192
1491039957,218286,762691638
1491125278,218281,762688766
1491210958,218290,762691680
1491297398,218281,762691071
1491385618,218283,762625846
1491472319,218285,762691135
1491557098,218282,762560439
1491643438,218278,762691306
1491729658,218278,762691001
1491816778,218280,762690881
1491902457,218279,762691060
1491988895,218286,762691593
1492075355,218284,762691178
1492161818,218286,762690919
1492248282,218280,762690808
1492334218,218278,762687892
1492420655,218281,762674976
1492507118,218279,762690597
1492593585,218278,762690765
1492680035,218279,762690167
1492766497,218281,762687488
1492852995,218287,762691423
1492939478,218283,762687293
1493017175,218278,762690871
1493103664,218286,762690817
1493190206,218283,762689903
1493276675,218276,762686970
1493363135,218283,762690048
1493449619,218286,762674806
1493536056,218280,762691190
1493622516,218284,762691240
1493708983,218280,762686981
1493795435,218286,762691367
1493881897,218280,762691366
1493968359,218286,762691369
1494122077,218277,762690118
1494208535,218289,762690881
1494295002,218284,762691069
1494381457,218283,762625239
1494480036,218283,762691281
1494566495,218281,762691404
1494652960,218281,762690808
1494825941,218276,762691077
1494912398,218283,762617909
1494998865,218285,762689753
1495085317,218284,762691094
1495171784,218281,762689557
1495258238,70320,416252540
1495295609,18398,405416602
1495310452,218280,762690424
1495396898,218286,762625887
1495491882,3915,84522001
1495578338,218272,762509239
1495664795,218285,762691399
1495751259,218283,762690551
1495837715,218284,762691273
1495948179,218280,762690517
1496034636,218286,762691240
1496121110,218282,762689871
1496207565,218283,762690312
1496279469,218281,762690616
1496365966,218285,762690984
1496452429,218278,762680542
1496538875,218283,762690885
1496625347,218281,762690222
1496711795,218279,762690951
1496798272,218283,762691447
1496884717,218285,762691246
1496971187,218276,762166703
1497057639,218280,762625845
1497144096,218279,762690830
1497230562,218284,762626106
1497317036,218286,762686959
1497403481,218276,762624725
1497489936,218279,762690944
1497576403,218288,762689150
1497662861,218281,762625888
1497749315,218278,762620752
1497835777,218281,762689705
1497876397,218278,762689830
1497962866,218287,762690352
1498049324,218279,762691111
1498135782,218287,762691584
1498222241,218285,762682713
1498308699,218284,762690872
1498395164,218290,762624089
1498523361,218285,762625502
1498609836,218287,762691462
1498696367,218280,762691079
1498782817,218280,762690711
1498869282,218288,762691393
1498955735,218286,762621984
1499042195,218287,762690777
1499128656,218283,762690918
1499215149,218278,762690910
1499301635,218283,762556942
1499388101,218285,762625896
1499470192,218288,762691135
1499556636,218280,762691031
1499643106,218283,762691129
1499729555,218287,762625057
1499816019,218284,762691383
1499902509,218285,762691639
1499988995,218286,762691288
1500075466,218281,762691118
1500161921,218286,762621529
1500248375,218279,762689991
1500334836,218284,762681081
1500421334,218283,762690102
1500507815,218281,762691607
1500594277,218281,762690956
1500680739,218281,762690054
1500767203,218284,762691559
1500853810,218284,762688951
1500940305,218287,762691649
1501026755,218279,762691095
1501113216,218287,762691122
1501199678,218284,762625567
1501286137,218286,762691385
1501358444,218286,762691342
1501444898,218285,762691629
1501531392,218288,762625687
1501617903,218280,762691438
1501704402,218285,762691372
1501790862,218290,762691567
1501877319,218278,762691199
1501963780,218281,762691539
1502050237,218282,762674273
1502136707,218276,762690624
1502223161,218282,762690837
1502309619,218288,762691199
1502396083,218289,762682688
1502482537,218281,762690791
1502569005,218288,762691264
1502655456,218285,762429167
1502741922,218283,762689367
1502828380,218285,762691648
1502914836,218280,762690609
1503001313,218287,762691664
1503087765,218281,762494846
1503174217,218283,762560219
1503264401,218282,762691628
1503350866,218279,762691091
1503437319,218283,762691568
1503523781,218285,762691306
1503610237,218287,762691188
1503696702,218286,762686424
1503869623,218282,762691464
1503956076,218291,762687312
1504042540,218278,762690960
1504129002,218282,762678703
1504215455,218283,762680848
1504301918,218285,762690049
1504387771,218280,762690110
1504474236,218279,762691080
1504560699,218287,762691390
1504647156,218279,762691343
1504733622,218285,762688080
1504820075,218285,762690904
1504906542,218289,762691536
1504993002,218280,762691439
1505079490,218282,762691311
1505165987,218285,762691678
1505252465,218284,762691352
1505304726,218282,762625793
1505477685,218281,762690361
1505564137,218283,762634169
1505650600,218277,762580112
1505737056,218277,762690854
1505823523,218284,762690192
1505909977,218287,762687343
1505996436,218288,762691663
1506082898,218284,762691152
1506169359,218281,762690375
1506255826,218280,762691356
1506342284,218281,762690656
1506428745,218280,762560341
1507293337,218287,760790304
1507379806,218286,762686072
1507466256,218288,762626009
1507552718,218286,762625846
1507639187,218280,762625735
1507719275,218287,762558434
1507805735,218287,762691145
1507876015,218279,762691042
1507962427,218283,762602776
1508048915,218286,762691663
1508135236,218282,762690552
1508221715,218280,762560454
1508308236,218279,762690952
1508394699,218289,762691704
1508481160,218275,762691320
1508567622,218279,762593016
1508654082,218289,762689401
1508740537,218283,762691064
1508826477,218285,762691171
1508912901,218282,762690939
1508997682,218283,762690152
1509084084,218280,762688585
1509170477,218282,762691218
1509256903,218285,762641935
1509343278,218286,762690632
1509429690,218278,762689805
1509537691,218277,762691557
1509624096,218275,762682047
1509710557,218290,762656455
1509796936,218288,762625649
1509883337,218280,762690943
1509969688,218282,762689998
1510056093,218288,762691681
1510142487,218279,762691375
1510228893,218286,762691161
1510315277,218285,762625806
1510401678,218276,762691363
1510488096,218281,762689573
1510574475,218282,762691176
1510660884,218282,762691651
1510747282,218284,762689560
1510833691,218289,762691424
1510920077,218278,762690513
1511006555,218288,762625624
1511092937,218280,762626015
1511179278,218277,762658545
1511265693,218283,762688160
1511352089,218284,762691581
1511438486,218276,762670139
1511524883,218285,762691575
1511611283,218285,762687312
1511697677,218285,762691296
1511784081,218286,762690958
1511870474,218286,762691376
1511956890,218285,762691000
1512043281,218279,762690589
1512129681,218277,762689081
1512216086,218285,762691058
1512302476,218280,762690758
1512388898,218288,762691543
1512475344,218285,762690529
1512561737,218285,762494639
1512648092,218286,762690896
1512734474,218285,762691303
1512820877,218287,762691593
1512907338,218277,762689704
1512993737,218283,762626069
1513080106,218288,762691169
1513166477,218286,762691686
1513252937,218284,762690856
1513339266,218277,762657540
1513425674,218282,762691631
1513555337,218282,762691185
1513598474,218282,762690784
1513684875,218280,762690143
1513771263,218286,762625726
1513857731,218283,762616664
1513944133,218285,762691129
1514030474,218280,762683206
1514116876,218279,762625528
1514203337,218284,762691104
1514289677,218282,762691237
1514376082,218285,762691399
1514462477,218279,762688564
1514548891,218286,762691629
1514635291,218274,762671134
1514721677,218282,762690863
1514808157,218286,762624640
1514894494,218282,762691031
1514980962,218279,762625218
1515067283,218282,762690735
1515153691,218282,762680088
1515240084,218284,762683134
1515326547,218284,762691632
1515412885,218279,762691117
1515499284,218284,762625388
1515585682,218286,762691624
1515672093,218283,762690367
1515780077,218288,762691647
1515823274,218282,762690368
1515911228,218276,762689996
1515997613,218283,762625508
1516082473,218287,762691528
1516168903,218282,762691471
1516255272,218283,762691256
1516341677,218280,762690833
1516428093,218287,762682481
1516514479,218287,762690913
1516600869,218279,762691342
1516766538,218285,762690993
1516853000,218283,762690462
1516939461,218281,762681279
1517025919,218283,762691573
1517112378,218282,762690983
1517198838,218277,762690432
1517285299,218287,762691120
1517371762,218289,762691440
1517458219,218290,762690568
1517544695,218284,762691179
1517631141,218282,762690880
1517717607,218285,762691415
1517804060,218282,762691375
1517890517,218280,762690056
1517976978,218285,762625918
1518063437,218280,762691373
1518149901,218287,762691617
1518236357,218280,762689007
1518322817,218283,762691118
1518409279,218284,762682728
1518495744,218281,762691462
1518582197,218279,762686708
1518668657,218288,762691615
1518755117,218282,762691318
1518841587,218281,762690952
1518928036,218277,762688302
1519014504,218283,762691320
1519100967,218279,762690800
1519187419,218287,762691694
1519273937,218287,762690535
1519360409,218288,762624873
1519446862,218286,762691167
1519533321,218286,762691129
1519619787,218281,762686223
1519706237,218285,762625713
1519792704,218285,762691048
1519879169,218285,762690736
1519965625,218284,762691089
1520052088,218283,762691607
1520138547,218287,762690903
1520224998,218288,762687256
1520311457,218279,762687796
1520397918,218288,762691328
1520484387,218278,762691439
1520570846,218282,762690759
1520657356,218281,762691128
1520743818,218280,762495036
1520830277,218274,762690338
1520916738,218287,762687561
1521003198,218283,762691305
1521089657,218281,762690969
1521176127,218278,762691079
1521262637,218280,762690433
1521349107,218284,762691116
1521435563,218284,762593369
1521522039,218285,762690017
1521608486,218282,762690576
1521694940,218286,762689007
1521781399,218282,762690103
1521867858,218287,762691024
1521954323,218281,762691057
1522040780,218286,762691145
1522127252,218285,762690401
1522213698,218284,762691257
1522300216,218279,762641446
1522473139,218284,762689161
1522559599,218279,762560025
1522646062,218285,762691256
1522732585,218284,762691293
1522819037,218283,762689945
1522905504,218275,762689696
1522991965,218285,762686776
1523078430,218282,762691639
