DateTime,Entries,UniqueIPs
1474992129,336,342
1475078703,346,353
1475165402,353,360
1475252102,365,372
1475338722,373,380
1475425201,388,396
1475511902,400,409
1475598601,410,420
1475685302,423,434
1475772002,426,437
1475858702,433,445
1475945236,439,451
1476039302,429,441
1476126001,429,442
1476212472,428,443
1476298930,426,443
1476385397,418,435
1476471903,420,437
1476558602,422,439
1476645269,423,440
1476731702,423,441
1476818360,418,437
1476904802,414,433
1476991506,427,444
1477078150,428,447
1477164602,430,449
1477251062,441,459
1477337702,435,451
1477424303,431,447
1477510753,427,443
1477597202,416,430
1477683835,408,420
1477770302,402,414
1477856791,394,406
1477943228,391,402
1478029802,385,397
1478116445,378,388
1478202902,375,384
1478289388,366,374
1478376002,360,369
1478548923,346,355
1478635502,335,343
1478722202,333,341
1478808674,324,332
1478898070,316,324
1478984524,307,314
1479157567,300,306
1479244202,305,311
1479330755,300,306
1479417302,296,302
1479504001,295,301
1479590667,290,296
1479677102,283,288
1479763802,284,289
1479850330,264,270
1479936838,257,262
1480023302,256,261
1480109829,248,254
1480196402,243,248
1480282997,254,259
1480456030,265,270
1480542505,273,277
1480628973,268,271
1480715402,265,269
1480802102,267,271
1480888802,269,273
1480975263,270,274
1481061734,263,266
1481148184,262,265
1481234702,268,271
1481321402,272,275
1481408102,273,276
1481494802,270,273
1481581393,274,277
1481667902,275,278
1481716859,279,281
1481803269,277,279
1481889728,278,281
1481976191,296,299
1482062702,301,305
1482149402,295,299
1482236060,292,296
1482322504,287,291
1482409203,291,295
1482582298,292,296
1482668702,285,289
1482755402,284,288
1482841869,275,279
1482928502,271,275
1483015000,264,269
1483101602,252,256
1483188193,238,242
1483274701,224,228
1483361232,214,218
1483534502,203,207
1483621203,201,205
1483707682,202,205
1483794187,197,200
1483967102,183,185
1484053802,178,180
1484140502,170,172
1484227131,167,169
1484313602,159,161
1484400111,156,158
1484486568,137,139
1484572991,122,124
1484651686,111,112
1484738102,104,104
1484824802,100,100
1484911322,96,96
1484997793,92,92
1485084302,87,87
1485171003,77,77
1485257702,68,68
1485344262,44,44
1485430764,42,42
1485603791,39,39
1485690301,39,39
1485776702,38,38
1485863235,39,39
1485949802,38,38
1486209599,37,37
1486296006,37,37
1486382487,37,37
1486555393,38,38
1486641902,38,38
1486728602,37,37
1486815302,39,39
1486901856,41,41
1487074802,42,42
