DateTime,Entries,UniqueIPs
1472914342,66,66
1472987552,35,35
1473075388,69,69
1473133945,35,35
1473273156,70,70
1473346348,35,35
1473888258,69,69
1473961473,35,35
1474020277,63,63
1474108097,70,70
1474166658,35,35
1474298422,69,69
1474371864,70,70
1474445067,35,35
1474635664,69,69
1474694176,35,35
1474884737,66,66
1474957963,35,35
1475595145,70,70
1475668341,35,35
1475931865,70,70
1476019697,35,35
1476371547,70,70
1476444986,35,35
1476635549,68,68
1476723377,35,35
1476972263,70,70
1477060108,69,69
1477118659,35,35
1477147942,70,70
1477221148,35,35
1477484901,70,70
1477558098,67,67
1478173703,35,35
1478510901,35,35
1478599002,35,35
1478694527,35,35
1479046121,35,35
1479295721,35,35
1479310357,55,55
1479486495,35,35
1480021721,35,35
1480080260,70,70
1480263407,35,35
1480336821,70,70
1480366102,35,35
1480542498,68,68
1480601181,35,35
1480644983,69,69
1480740253,35,35
1480872256,70,70
1480916200,35,35
1480945468,65,65
1481036885,35,35
1481067684,66,66
1481144074,35,35
1481671707,70,70
1481730261,105,105
1481744914,70,70
1481788893,35,35
1481803477,70,70
1481876653,35,35
1482170472,69,69
1482244109,35,35
1482331948,66,66
1482420494,66,66
1482479082,35,35
1482582056,67,67
1482655240,35,35
1482933695,70,70
1483007053,35,35
1483094906,68,68
1483168366,35,35
1484225055,69,69
1484298526,35,35
1484856099,69,69
1484929456,35,35
1485971785,69,69
1486045474,35,35
1486515145,70,70
1486559071,105,105
1486588360,70,70
1486632526,35,35
1486911168,70,70
1486984362,35,35
1486999008,67,67
1487072202,35,35
1487086836,70,70
1487160098,35,35
1487189578,69,69
1487204447,90,90
1487248580,123,123
1487263214,118,118
1487277866,104,104
1487292504,113,113
1487321816,115,115
1487351070,104,104
1487365708,109,109
1487380336,83,83
1487409642,57,57
1487424255,92,92
1487438923,103,103
1487453588,111,111
1487482815,110,110
1487497461,84,84
1487526748,70,70
1487556113,91,91
1487585568,92,92
1487600192,111,111
1487614827,105,105
1487629487,112,112
1487644121,96,96
1487673401,102,102
1487688021,99,99
1487717308,101,101
1487746591,81,81
1487761319,89,89
1487775868,92,92
1487790518,105,105
1487819798,114,114
1487849050,99,99
1487878348,88,88
1487907621,72,72
1487936906,78,78
1487966196,89,89
1487995725,80,80
1488024994,91,91
1488054275,94,94
1488068916,99,99
1488098223,84,84
1488127447,82,82
1488142126,74,74
1488156758,92,92
1488186109,61,61
1488229978,61,61
1488244635,79,79
1488273876,53,53
1488288500,81,81
1488317777,63,63
1488361709,32,32
1488405688,61,61
1488464414,32,32
1488493724,61,61
1488537637,67,67
1488581606,60,60
1488640138,59,59
1488669396,72,72
1488684035,82,82
1488713327,62,62
1488727950,43,43
1488757223,32,32
1488860205,57,57
1488918757,61,61
1488962669,32,32
1488977304,63,63
1489050758,32,32
1489065668,63,63
1489080276,82,82
1489109787,96,96
1489153702,46,46
1489227159,32,32
1489446974,52,53
1489520421,31,32
1489578980,62,63
1489593704,71,72
1489608277,80,81
1489652193,57,57
1489666845,46,46
1489681468,32,32
1489711020,56,56
1489725634,63,63
1489784183,40,40
1489798901,32,32
