DateTime,Entries,UniqueIPs
1484766315,1706,1706
1484769916,1727,1727
1484773515,1739,1739
1484777116,1748,1748
1484780716,1711,1711
1484784316,1710,1710
1484787916,1707,1707
1484791516,1713,1713
1484795115,1712,1712
1484798715,1716,1716
1484802315,1686,1686
1484805915,1692,1692
1484809516,1704,1704
1484813116,1728,1728
1484816715,1739,1739
1484820315,1742,1742
1484823916,1744,1744
1484827515,1766,1766
1484831115,1757,1757
1484834715,1756,1756
1484838315,1742,1742
1484841915,1725,1725
1484845515,1710,1710
1484849115,1700,1700
1484852715,1699,1699
1484856314,1677,1677
1484859914,1686,1686
1484863514,1669,1669
1484867114,1670,1670
1484870714,1671,1671
1484874314,1662,1662
1484877915,1651,1651
1484881515,1660,1660
1484885115,1650,1650
1484888716,1635,1635
1484892315,1632,1632
1484895916,1640,1640
1484899517,1632,1632
1484903118,1617,1617
1484906717,1618,1618
1484910317,1608,1608
1484913917,1631,1631
1484917517,1639,1639
1484921117,1644,1644
1484924717,1633,1633
1484928317,1623,1623
1484931916,1630,1630
1484935516,1608,1608
1484939116,1600,1600
1484942716,1585,1585
1484946316,1598,1598
1484949916,1594,1594
1484953516,1585,1585
1484957116,1574,1574
1484960715,1570,1570
1484964316,1573,1573
1484967917,1583,1583
1484971517,1592,1592
1484975117,1587,1587
1484978717,1570,1570
1484982317,1563,1563
1484985918,1573,1573
1484989518,1558,1558
1484993118,1555,1555
1484996718,1542,1542
1485000319,1532,1532
1485003919,1519,1519
1485007519,1527,1527
1485011119,1554,1554
1485014719,1571,1571
1485018319,1595,1595
1485021919,1621,1621
1485025519,1624,1624
1485029121,1621,1621
1485032721,1618,1618
1485036321,1610,1610
1485039922,1613,1613
1485043521,1618,1618
1485047122,1608,1608
1485050722,1602,1602
1485054322,1586,1586
1485057922,1588,1588
1485061522,1605,1605
1485065122,1608,1608
1485068722,1594,1594
1485072322,1587,1587
1485075923,1598,1598
1485079522,1616,1616
1485083123,1611,1611
1485086723,1589,1589
1485090323,1565,1565
1485093923,1587,1587
1485097523,1603,1603
1485101122,1601,1601
1485104723,1579,1579
1485108322,1591,1591
1485111922,1627,1627
1485115522,1629,1629
1485119122,1611,1611
1485122722,1590,1590
1485126322,1587,1587
1485129922,1602,1602
1485133522,1615,1615
1485137123,1618,1618
1485140723,1591,1591
1485144324,1580,1580
1485147924,1589,1589
1485151523,1608,1608
1485155123,1619,1619
1485158723,1594,1594
1485162323,1585,1585
1485165923,1593,1593
1485169524,1603,1603
1485173124,1597,1597
1485176724,1603,1603
1485180324,1591,1591
1485183924,1586,1586
1485187525,1580,1580
1485191125,1542,1542
1485194725,1511,1511
1485198325,1506,1506
1485201926,1512,1512
1485205526,1537,1537
1485209126,1539,1539
1485212725,1522,1522
1485216325,1524,1524
1485219925,1528,1528
1485223526,1528,1528
1485227126,1530,1530
1485230726,1518,1518
1485234326,1501,1501
1485237926,1503,1503
1485241528,1511,1511
1485245128,1530,1530
1485248728,1534,1534
1485252328,1531,1531
1485255928,1528,1528
1485259528,1550,1550
1485263128,1559,1559
1485266728,1562,1562
1485270328,1562,1562
1485273928,1566,1566
1485277528,1574,1574
1485281128,1589,1589
1485284729,1574,1574
1485288330,1568,1568
1485291930,1576,1576
1485295530,1575,1575
1485299130,1586,1586
1485302731,1582,1582
1485306331,1576,1576
1485309932,1569,1569
1485313531,1571,1571
1485317131,1573,1573
1485320731,1567,1567
1485324331,1569,1569
1485327931,1546,1546
1485331532,1548,1548
1485335132,1564,1564
1485338732,1597,1597
1485342332,1578,1578
1485345932,1568,1568
1485349532,1540,1540
1485353132,1529,1529
1485356732,1607,1607
1485360332,1631,1631
1485363932,1647,1647
1485367532,1643,1643
1485371132,1622,1622
1485374733,1598,1598
1485378333,1558,1558
1485381933,1541,1541
1485385533,1533,1533
1485389133,1512,1512
1485392733,1506,1506
1485396333,1502,1502
1485399934,1486,1486
1485403534,1478,1478
1485407135,1474,1474
1485410735,1453,1453
1485414337,1437,1437
1485417937,1409,1409
1485421536,1374,1374
1485425136,1344,1344
1485428736,1331,1331
1485432336,1294,1294
1485435937,1275,1275
1485439537,1230,1230
1485443137,1196,1196
1485446737,1182,1182
1485450337,1181,1181
1485453937,1162,1162
1485457537,1135,1135
1485461137,1120,1120
1485464737,1088,1088
1485468337,1083,1083
1485471937,1061,1061
1485475538,1046,1046
1485479138,1034,1034
1485482739,1019,1019
1485486339,1003,1003
1485489939,987,987
1485493539,978,978
1485497139,956,956
1485500740,938,938
1485504340,926,926
1485507940,891,891
1485511540,858,858
1485515140,844,844
1485518740,833,833
1485522340,824,824
1485525940,815,815
1485529540,720,720
1485533140,657,657
1485536740,628,628
1485540341,622,622
1485543941,623,623
1485547541,630,630
1485551141,629,629
1485554741,633,633
1485558355,631,631
1485561955,637,637
1485565555,633,633
1485569155,620,620
1485572755,623,623
1485576355,624,624
1485579955,626,626
1485583555,627,627
1485587155,623,623
1485590754,619,619
1485594354,613,613
1485597954,615,615
1485601554,632,632
1485605155,709,709
1485608755,758,758
1485612355,800,800
1485615955,834,834
1485619555,830,830
1485623155,817,817
1485626754,801,801
1485630355,795,795
1485633954,788,788
1485637554,788,788
1485641154,798,798
1485644754,800,800
1485648354,797,797
1485651958,804,804
1485655555,800,800
1485659155,806,806
1485662755,807,807
1485666355,804,804
1485669955,805,805
1485673555,816,816
1485677156,816,816
1485680756,820,820
1485684356,799,799
1485687956,792,792
