DateTime,Entries,UniqueIPs
1474250347,2504721,2504721
1474336807,2718457,2718457
1474423168,2918494,2918494
1474509619,3034387,3034387
1474596330,3171219,3171219
1474682622,3135631,3135631
1474769246,3047823,3047823
1474899546,2887387,2887387
1474986297,3043162,3043162
1475072667,3087627,3087627
1475159394,3205831,3205831
1475246080,3126675,3126675
1475420311,3092409,3092409
1475507317,3218430,3218430
1475594338,3418116,3418116
1475681361,3615951,3615951
1477510415,2697823,2697823
1477597381,2674809,2674809
1477727602,2515693,2515693
1477814539,2339639,2339639
1477901524,2170622,2170622
1477988555,2353539,2353539
1478119375,2428636,2428636
1478206352,1791497,1791497
1478422964,2108501,2108501
1478553733,2200178,2200178
1478640467,2391172,2391172
1478727240,2632503,2632503
1478814198,2849056,2849056
1478901252,3023937,3023937
1478988232,3091706,3091706
1479075244,3101111,3101111
1479162227,3103010,3103010
1479249230,3112843,3112843
1479423223,3105189,3105189
1479510279,3121208,3121208
1479597252,3082688,3082688
1479684238,3127356,3127356
1479771287,3316185,3316185
1479858260,3441326,3441326
1479945269,3539095,3539095
1480032286,3600610,3600610
1480119292,3576864,3576864
1480206259,3454909,3454909
1480293246,3280464,3280464
1480379686,2962548,2962548
1480466669,3620028,3620028
1480553685,3644451,3644451
1480640761,3653842,3653842
1480727675,3704868,3704868
1480814674,3564615,3564615
1480901665,3391060,3391060
1480989292,3454675,3454675
1481076891,3688470,3688470
1481163882,3731924,3731924
1481250866,3709766,3709766
1481337891,3602953,3602953
1481424809,3456391,3456391
1481555026,3095171,3095171
1481642029,3476415,3476415
1481728437,3569931,3569931
1483557804,3197249,3197249
1483644797,2951636,2951636
1483731795,2793349,2793349
1483818790,2596785,2596785
1483905486,2359788,2359788
1483992177,2327798,2327798
1484078879,2015771,2015771
1484166176,2192759,2192759
1484296953,1930628,1930628
1484384016,1654835,1654835
1484470932,1446943,1446943
1484557923,1048253,1048253
1484644923,1028025,1028025
1484731925,1028123,1028123
1484818920,882651,882651
1484905903,623357,623357
1484993205,510437,510437
1485080196,504156,504156
1485167196,499235,499235
1485254202,498810,498810
1485341216,497552,497552
1485428203,486056,486056
1485515193,490782,490782
1485602211,492877,492877
1485689191,483255,483255
1485776193,472635,472635
1485863192,472177,472177
1485950193,466438,466438
1486037190,460317,460317
1486124187,452123,452123
1486211190,459958,459958
1486298189,457339,457339
1486385188,460965,460965
1486472193,463534,463534
1486559216,465349,465349
1486646493,459192,459192
1486733484,454544,454544
1486820490,446966,446966
1486907475,443362,443362
1486994471,438253,438253
1487081473,440973,440973
1487168771,440499,440499
1487255771,440161,440161
1487342760,433742,433742
1487429761,462570,462570
1487516762,480129,480129
1487603762,496973,496973
1487690759,511630,511630
1487777749,513779,513779
1487864760,506398,506398
1487951746,505611,505611
1488038751,506517,506517
1488125747,505825,505825
1488213045,507596,507596
1488300042,529050,529050
1488430839,546943,546943
1488517843,546905,546905
1488604838,553584,553584
1488691838,563850,563850
1488778837,570960,570960
1488865837,585637,585637
1488952845,596926,596926
1489039843,612812,612812
1489126848,622571,622571
1489213849,631380,631380
1489300856,641981,641981
1489387858,651556,651556
1489474865,657213,657213
1489561865,658147,658147
1489648889,666231,666231
1489735880,675019,675019
1489822886,682460,682460
1489909885,688712,688712
1489996903,691368,691368
1490084211,866696,866696
1490171217,962871,962871
1490258241,1058722,1058722
1490345260,1165457,1165457
1490431987,1246562,1246562
1490518966,1289428,1289428
