DateTime,AddedIPs,RemovedIPs
1522699203,523,562
1522700104,490,507
1522701004,1230,1269
1522701904,1229,1277
1522702804,353,451
1522703703,347,375
1522704604,320,358
1522705504,332,356
1522706404,473,506
1522707304,556,583
1522708204,712,743
1522709103,723,761
1522710004,731,766
1522710904,558,595
1522711804,661,812
1522712703,440,675
1522713603,273,586
1522714503,330,6024
1522715402,293,415
1522716303,266,407
1522717203,255,516
1522718103,289,319
1522719003,284,401
1522719903,386,312
1522720803,293,927
1522721702,300,1970
1522722603,326,2513
1522723503,428,1865
1522724404,467,796
1522725303,293,827
1522726203,440,937
1522727103,401,1055
1522728003,386,849
1522728902,319,1084
1522729802,371,1175
1522730702,394,920
1522731602,374,680
1522732502,378,619
1522733402,384,589
1522734302,253,469
1522735202,374,509
1522736102,396,418
1522737002,255,467
1522738802,588,783
1522739702,376,301
1522740602,467,265
1522741502,524,237
1522742402,384,305
1522743302,452,292
1522744202,429,249
1522745103,414,210
1522746002,371,324
1522746902,437,342
1522747802,407,230
1522748702,342,304
1522749602,362,259
1522750502,333,392
1522751402,398,253
1522752302,281,260
1522753202,311,307
1522754102,414,251
1522755002,998,286
1522755903,2322,264
1522756802,14322,260
1522757704,2508,257
1522758603,480,330
1522759503,1092,311
1522760403,1256,627
1522761303,1141,965
1522762204,2761,2587
1522763104,3650,3208
1522764003,2084,1888
1522764904,1758,1654
1522765804,1607,1473
1522766704,1014,902
1522767604,475,513
1522768503,335,313
1522769403,375,366
1522770303,411,392
1522772103,689,704
1522773004,324,350
1522774804,758,836
1522775703,348,391
1522776603,277,295
1522777503,282,315
1522778403,329,360
1522779303,515,559
1522780203,331,369
1522781103,297,320
1522782003,310,344
1522782904,520,546
1522784703,956,1007
1522785603,975,998
1522786503,885,914
1522787403,671,725
1522788303,731,795
1522789203,397,902
1522790103,286,488
1522791003,346,512
1522791903,434,601
1522792803,413,554
1522793704,756,906
1522794603,452,646
1522795503,286,576
1522796403,278,390
1522797302,298,657
1522798203,544,633
1522799103,342,385
1522800003,365,416
1522800902,295,8837
1522801802,338,2369
1522802703,327,418
1522803603,224,980
1522804502,238,1135
1522805402,392,1021
1522806302,300,2609
1522807202,238,3149
1522808102,256,1304
1522809002,343,1204
1522809902,332,1047
1522810802,258,730
1522811702,260,440
1522812602,371,311
1522813502,352,444
1522814402,411,391
1522815302,300,338
1522816202,387,315
1522817102,385,302
1522818002,310,320
1522818903,342,342
1522819801,401,325
1522820702,224,288
1522821602,289,278
1522822502,375,408
1522823402,371,367
1522824302,327,348
1522825202,244,299
1522826102,286,266
1522827002,319,289
1522827902,360,324
1522828803,271,264
1522829702,255,207
1522830602,333,263
1522831502,290,249
1522832402,311,283
1522833302,396,391
1522834202,408,271
1522835102,303,262
1522836002,405,221
1522836901,383,224
1522837802,288,245
1522838702,1151,236
1522839602,2834,369
1522840502,1767,190
1522841402,2335,316
1522842303,2391,359
1522843202,2317,340
1522844103,933,286
1522845002,333,244
1522845903,297,328
1522846803,304,320
1522847702,235,231
1522848603,281,255
1522849503,337,362
1522850403,357,346
1522851303,312,256
1522852203,340,269
1522853103,293,394
1522854003,285,362
1522854903,328,257
1522857603,1004,1059
1522859402,323,834
1522860302,174,385
1522861203,189,425
1522862103,193,655
1522863002,167,514
1522863903,154,630
1522864803,353,474
1522865703,208,507
1522866602,163,471
1522867502,202,341
1522868402,179,339
1522869302,271,278
1522870202,112,271
1522871103,155,310
1522872003,190,322
1522872902,158,279
1522873802,142,252
1522874702,157,323
1522875602,131,279
1522876503,164,312
1522877403,318,359
1522878302,291,381
1522879202,134,357
1522880103,344,336
1522881002,157,381
1522883703,431,3800
1522885502,309,3632
1522886402,144,2125
1522887301,134,2131
1522888202,135,845
1522889102,195,336
1522891801,525,869
1522892702,162,283
1522893602,141,338
1522894502,151,342
1522895401,141,313
1522896302,127,333
1522897201,288,293
1522898102,144,270
1522900802,338,1079
1522901702,119,208
1522903501,499,447
1522904402,131,164
1522905302,235,190
1522906201,259,205
1522907101,178,168
1522908001,139,169
1522908902,173,327
1522910702,492,342
1522911602,227,200
1522912501,265,168
1522913402,193,223
1522915201,407,257
1522916102,305,161
1522917002,323,150
1522917902,133,140
1522918802,187,144
1522919702,254,261
1522920602,163,152
1522921502,149,318
1522922402,191,226
1522923302,212,137
1522924202,255,227
1522925102,248,196
1522926002,195,162
1522926902,151,92
1522927802,116,330
1522928701,209,210
1522929602,320,137
1522930502,332,139
1522931402,402,142
1522932301,372,154
1522933202,391,219
1522934102,423,168
1522935002,317,250
1522935902,407,159
1522936802,392,166
1522937702,372,160
1522938602,337,186
1522939502,337,189
1522940401,402,134
1522941302,224,156
1522942201,337,156
1522943102,213,131
1522944002,247,98
1522944902,331,126
1522945802,349,131
1522946701,328,260
1522947602,318,247
1522948502,309,147
1522949402,345,120
1522950302,332,219
1522951202,327,167
1522952102,323,154
1522953002,418,191
1522953902,288,244
1522954801,297,190
1522955702,338,227
1522956602,440,240
1522957502,306,180
1522958402,298,207
1522959302,401,199
1522960202,324,268
1522961101,305,293
1522962002,352,156
1522962902,330,245
1522963802,300,267
1522964702,294,179
1522965602,355,176
1522966502,292,229
1522967403,269,186
1522968302,259,230
1522969202,280,217
1522970102,239,195
1522971002,268,133
1522971902,265,120
1522972802,265,210
1522973701,263,335
1522974602,288,329
1522975502,263,508
1522976402,281,376
1522977302,276,372
1522978202,280,413
1522979102,331,331
1522980002,377,382
1522980902,307,384
1522981802,297,373
1522982702,333,326
1522983602,303,307
1522984502,296,339
1522985402,308,201
1522986302,274,333
1522987202,411,188
1522988102,322,227
1522989002,422,341
1522989902,358,337
1522990802,319,318
1522991702,332,325
1522992602,387,311
1522993502,281,330
1522994402,320,324
1522995302,356,303
1522996202,410,325
1522997102,322,288
1522998002,337,293
1522998902,377,294
1522999802,351,333
1523000702,229,415
1523001602,259,311
1523002502,294,312
1523003402,331,386
1523004301,360,316
1523005202,376,329
1523006102,245,340
1523007002,3563,317
1523007902,1374,279
1523008802,799,275
1523009703,633,448
1523010602,327,273
1523011502,299,297
1523012402,404,268
1523013302,343,282
1523014202,287,240
1523015102,317,315
1523016002,300,268
1523016902,292,269
1523017802,233,270
1523018703,387,313
1523019602,246,250
1523020502,206,279
1523021402,155,283
1523022302,164,304
1523023203,291,315
1523024103,229,367
1523025002,150,314
1523025902,251,334
1523026803,168,344
1523027702,305,346
1523028602,367,307
1523029502,329,1240
1523030402,259,542
1523031302,285,422
1523032202,425,447
1523033102,424,408
1523034002,328,362
1523034903,498,300
1523035803,312,343
1523036702,264,335
1523037603,344,282
1523038503,358,313
1523039402,349,353
1523040302,294,378
1523041202,234,352
1523042102,328,344
1523043002,346,374
1523043903,294,336
1523044802,264,258
1523045702,291,285
1523046603,326,303
1523047502,286,297
1523048403,252,327
1523049302,398,330
1523050202,254,264
1523051102,262,2588
1523052002,251,1144
1523052902,251,675
1523053801,244,553
1523054702,256,350
1523055602,282,308
1523056502,275,409
1523057402,302,482
1523058301,287,303
1523059202,283,314
1523060102,201,319
1523061002,284,311
1523061902,249,237
1523062802,258,367
1523063702,273,257
1523064601,308,196
1523065502,338,155
1523066402,271,127
1523067302,328,241
1523068202,261,229
1523069102,253,170
1523070002,292,269
1523070902,284,170
1523071801,317,374
1523072702,338,338
1523073602,301,329
1523074502,277,252
1523075402,448,285
1523076302,301,393
1523077201,256,422
1523078102,302,325
1523079001,392,378
1523079902,386,318
1523080802,370,280
1523081701,303,341
1523082602,346,333
1523083501,288,340
1523084402,451,293
1523085302,310,232
1523086201,336,344
1523087102,306,342
1523088001,317,298
1523088901,347,282
1523089801,351,273
1523090702,405,285
1523091602,257,264
1523092502,243,249
1523093401,237,303
1523094301,259,274
1523095202,241,274
1523096101,234,262
1523097002,258,236
1523097902,252,292
1523098801,227,237
1523099702,304,274
1523100601,287,242
1523101502,290,319
1523102402,379,276
1523103302,420,287
1523104202,372,205
1523105102,313,298
1523106002,276,251
1523106902,348,260
1523107801,271,251
1523108702,396,344
1523109601,201,352
1523110502,278,265
1523111402,210,338
1523112302,192,292
1523113202,215,293
1523114101,248,320
1523115002,282,277
1523115902,274,296
1523116801,255,333
1523117702,281,287
1523118602,226,284
1523119501,251,381
1523120401,235,312
1523121302,290,259
1523122201,276,306
1523123101,295,369
1523124002,394,384
1523124901,311,396
1523125802,334,322
1523126702,255,366
1523127602,234,306
1523128502,260,452
1523129401,251,317
1523130302,285,314
1523131202,269,310
1523132102,264,326
1523133002,211,471
1523133901,267,343
1523134802,249,398
1523135702,305,262
1523136602,291,264
1523137501,325,257
1523138402,250,251
1523139302,261,253
1523140202,231,224
1523141101,337,259
1523142002,245,273
1523143801,423,535
1523144702,232,303
1523145602,308,286
1523146501,340,349
1523147402,193,405
1523148301,252,342
1523149202,292,296
1523150101,287,279
1523151002,372,355
1523151902,306,255
1523152802,410,381
1523153702,235,206
1523154601,307,139
1523155501,583,199
1523156402,317,158
1523157301,253,185
1523158202,273,230
1523159102,367,263
1523160002,289,306
1523160902,307,262
1523161802,448,283
1523162701,291,219
1523163602,348,252
1523164502,346,228
