DateTime,Entries,UniqueIPs
1512592339,4987,4987
1512623538,339,339
1512709977,5725,5725
1512796630,5301,5301
1512882655,4810,4810
1512969443,4975,4975
1513054931,4783,4783
1513142018,4788,4788
1513228632,5106,5106
1513314756,4727,4727
1513401417,4146,4146
1513487812,3903,3903
1513573965,3804,3804
1513660370,4108,4108
1513746798,4235,4235
1513833184,4104,4104
1513919589,4144,4144
1514006233,4011,4011
1514092597,3803,3803
1514178694,3685,3685
1514265317,3964,3964
1514351757,4134,4134
1514438022,4231,4231
1514524373,4058,4058
1514610775,4088,4088
1514697092,3891,3891
1514783594,3558,3558
1514869990,3445,3445
1514956352,3787,3787
1515042745,4013,4013
1515129206,3732,3732
1515215664,4004,4004
1515302217,3753,3753
1515388387,3483,3483
1515475203,3980,3980
1515561264,4139,4139
1515647609,4159,4159
1515733973,4202,4202
1517651102,3797,3797
1517721261,3589,3589
1517807607,3542,3542
1517894241,3983,3983
1517980385,4051,4051
1518066773,5355,5355
1518153424,4078,4078
1518240021,4043,4043
1518326477,3892,3892
1518412877,3892,3892
1518499029,3789,3789
1518585671,3641,3641
1518671802,3630,3630
1518758220,3530,3530
1518844630,3388,3388
1518930833,3377,3377
1519017431,3242,3242
1519103593,3298,3298
1519189972,3262,3262
1519276622,3381,3381
1519362635,3537,3537
1519449109,3467,3467
1519535822,3458,3458
1519622031,3332,3332
1519708524,3747,3747
1519794824,3584,3584
1519881459,3655,3655
1519967608,4058,4058
1520054258,4504,4504
1520140397,3282,3282
1520226827,5194,5194
1520313200,3696,3696
1520399876,3626,3626
1520486030,3847,3847
1520572418,3797,3797
1520658862,3852,3852
1520745203,3445,3445
1520831871,3446,3446
1520917996,3881,3881
1521004280,3823,3823
1521091051,3725,3725
1521177166,3554,3554
1521263601,3442,3442
1521350014,3290,3290
1521436395,3201,3201
1521522820,3510,3510
1521609171,3602,3602
1521695566,3629,3629
1521781978,4978,4978
1521868373,3935,3935
1521954851,4155,4155
1522041243,4398,4398
1522127839,5100,5100
1522214334,4784,4784
1522300625,4609,4609
1522386840,4550,4550
1522473272,4507,4507
1522559604,4173,4173
1522646000,3994,3994
1522732389,4346,4346
1522818796,5382,5382
1522905184,3497,3497
1522991569,3631,3631
1523078011,3903,3903
1523164368,3465,3465
