DateTime,AddedIPs,RemovedIPs
1512623538,201,6187
1512709977,6824,180
1512796631,5690,5961
1512882655,5661,5704
1512969443,5619,5633
1513054931,5147,5677
1513142018,5455,5277
1513228632,5606,5330
1513314756,4999,5677
1513401417,4432,5101
1513487812,4211,4527
1513573966,4047,4232
1513660370,3985,4042
1513746798,4051,3985
1513833184,4159,4067
1513919589,3949,4185
1514006233,4112,3946
1514092597,4106,4121
1514178694,3963,4115
1514265317,4105,3976
1514351758,4187,4092
1514438023,4243,4167
1514524374,4375,4241
1514610776,4428,4386
1514697092,4540,4411
1514783594,4258,4513
1514869990,4338,4277
1514956353,4469,4379
1515042746,4510,4433
1515129206,4467,4470
1515215664,4601,4468
1515302217,4468,4579
1515388387,4344,4442
1515475204,4433,4391
1515561265,4501,4434
1515647609,4262,4464
1515733974,4516,4256
1517651102,4761,4837
1517721262,4042,4180
1517807608,4098,4082
1517894241,4485,4128
1517980385,4181,4425
1518066774,4319,4179
1518153425,3868,4373
1518240022,3976,3930
1518326477,3640,3983
1518412877,3587,3750
1518499029,3644,3620
1518585672,3363,3740
1518671803,3474,3339
1518758221,6238,3466
1518844631,3237,6303
1518930833,3076,3234
1519017431,3148,3098
1519103593,3096,3175
1519189972,3357,3089
1519276622,3193,3312
1519362636,3060,3231
1519449109,3091,3076
1519535823,3269,3115
1519622031,3236,3224
1519708525,3396,3240
1519794825,3277,3394
1519881459,3323,3266
1519967609,3319,3330
1520054258,3205,3374
1520140397,3347,3207
1520226828,3236,3336
1520313201,3212,3230
1520399877,3159,3232
1520486031,3312,3162
1520572419,3079,3283
1520658863,2992,3126
1520745203,3090,2932
1520831871,2981,3073
1520917997,3170,2990
1521004280,3274,3134
1521091052,3261,3252
1521177166,2740,3367
1521263602,2827,2764
1521350015,3188,2803
1521436396,3046,3199
1521522820,2917,3078
1521609171,2880,2865
1521695566,2868,2821
1521781978,2824,2944
1521868373,3281,2837
1521954852,3106,3210
1522041244,3178,3083
1522127840,3331,3038
1522214334,2913,3286
1522300625,2842,2946
1522386841,2829,2790
1522473272,2536,2973
1522559605,2545,2681
1522646001,2537,2563
1522732390,2452,2463
1522818797,2254,2430
1522905184,1308,2434
1522991569,1615,1380
1523078011,1408,1547
1523164368,1396,1365
