DateTime,Entries,UniqueIPs
1512592340,7,7
1512623538,4,4
1512709978,9,9
1512796631,17,17
1512882656,18,18
1512969444,14,14
1513054932,26,26
1513142019,26,26
1513228633,18,18
1513314757,7,7
1513401418,13,13
1513487812,8,8
1513573966,14,14
1513660371,22,22
1513746799,8,8
1513833185,7,7
1513919590,6,6
1514006234,15,15
1514092598,2,2
1514178695,2,2
1514265318,5,5
1514351759,15,15
1514438024,8,8
1514524374,6,6
1514610776,21,21
1514697093,12,12
1514783595,7,7
1514869991,8,8
1514956353,14,14
1515042746,9,9
1515129206,6,6
1515215665,6,6
1515302218,3,3
1515388388,6,6
1515475204,7,7
1515561266,19,19
1515647610,5,5
1515733974,6,6
1517651103,13,13
1517721262,9,9
1517807608,9,9
1517894242,21,21
1517980386,6,6
1518066774,3,3
1518153425,18,18
1518240022,16,16
1518326478,9,9
1518412878,7,7
1518499030,16,16
1518585672,2,2
1518671803,8,8
1518758221,17,17
1518844631,3,3
1518930834,5,5
1519017432,10,10
1519103594,7,7
1519189973,8,8
1519276623,20,20
1519362636,4,4
1519449110,2,2
1519535823,3,3
1519622031,12,12
1519708525,3,3
1519794825,6,6
1519881460,3,3
1519967610,11,11
1520054259,4,4
1520140398,8,8
1520226829,5,5
1520313202,7,7
1520399877,3,3
1520486031,3,3
1520572419,12,12
1520658864,4,4
1520745204,12,12
1520831872,4,4
1520917997,6,6
1521004281,7,7
1521091052,2,2
1521177166,6,6
1521263602,6,6
1521350016,5,5
1521436397,4,4
1521522821,5,5
1521609172,3,3
1521695566,16,16
1521781979,5,5
1521868374,12,12
1521954852,17,17
1522041244,16,16
1522127840,8,8
1522214335,3,3
1522300625,20,20
1522386842,14,14
1522473273,6,6
1522559605,16,16
1522646001,3,3
1522732391,3,3
1522818797,11,11
1522905185,2,2
1522991570,8,8
1523078011,10,10
1523164368,3,3
