DateTime,AddedIPs,RemovedIPs
1512623539,4,108
1512709978,109,4
1512796631,60,36
1512882656,48,50
1512969444,33,50
1513054932,56,46
1513142019,51,60
1513228633,38,54
1513314757,54,36
1513401418,22,112
1513487813,38,27
1513573966,16,35
1513660371,22,20
1513746799,18,23
1513833185,130,13
1513919590,68,51
1514006234,49,54
1514092598,62,49
1514178695,53,72
1514265318,41,57
1514351759,52,48
1514438024,49,54
1514524375,44,60
1514610777,43,51
1514697093,57,40
1514783595,33,56
1514869991,40,35
1514956353,36,48
1515042746,33,30
1515129207,36,33
1515215665,39,43
1515302218,43,42
1515388388,33,40
1515475205,44,44
1515561266,61,37
1515647610,38,68
1515733974,65,33
1517651103,40,117
1517721263,23,32
1517807609,29,17
1517894242,34,26
1517980386,34,36
1518066775,51,29
1518153426,22,56
1518240022,39,30
1518326478,38,40
1518412878,48,29
1518499030,40,56
1518585673,39,32
1518671803,36,47
1518758222,26,32
1518844631,33,30
1518930834,44,34
1519017432,31,40
1519103594,27,33
1519189973,20,31
1519276623,27,17
1519362637,40,28
1519449110,36,40
1519535824,30,37
1519622032,37,28
1519708526,25,37
1519794826,24,24
1519881460,33,21
1519967610,23,33
1520054259,35,29
1520140398,31,37
1520226829,32,24
1520313202,24,36
1520399878,25,21
1520486032,37,24
1520572420,36,36
1520658864,27,41
1520745204,42,26
1520831872,40,36
1520917997,39,46
1521004281,20,33
1521091053,18,27
1521177167,23,20
1521263603,19,22
1521350016,34,21
1521436397,18,31
1521522822,28,21
1521609172,29,27
1521695567,41,25
1521781979,35,28
1521868374,26,34
1521954853,30,28
1522041245,27,30
1522127840,26,18
1522214335,29,50
1522300626,49,28
1522386842,45,46
1522473273,26,30
1522559606,41,28
1522646001,21,40
1522732391,20,20
1522818797,15,24
1522905185,7,18
1522991570,29,10
1523078012,24,24
1523164369,34,25
