DateTime,Entries,UniqueIPs
1512592340,4258,4258
1512623539,169,169
1512709978,6662,6662
1512796632,5977,5977
1512882656,4748,4748
1512969444,5187,5187
1513054933,5952,5952
1513142019,7302,7302
1513228634,8047,8047
1513314757,6329,6329
1513401419,3877,3877
1513487813,3625,3625
1513573967,3184,3184
1513660371,4069,4069
1513746800,4251,4251
1513833186,4437,4437
1513919591,4505,4505
1514006235,4601,4601
1514092599,4031,4031
1514178696,3520,3520
1514265319,4064,4064
1514351760,4385,4385
1514438025,4652,4652
1514524375,4445,4445
1514610777,4440,4440
1514697094,3676,3676
1514783596,3407,3407
1514869992,3378,3378
1514956354,4141,4141
1515042747,4430,4430
1515129207,4259,4259
1515215665,4295,4295
1515302218,3795,3795
1515388389,3455,3455
1515475206,4604,4604
1515561267,4758,4758
1515647611,4753,4753
1515733975,4781,4781
1517651104,4812,4812
1517721263,4139,4139
1517807609,3725,3725
1517894243,4980,4980
1517980386,5222,5222
1518066775,5438,5438
1518153426,4923,4923
1518240023,5087,5087
1518326479,4519,4519
1518412879,3955,3955
1518499030,5115,5115
1518585673,4733,4733
1518671804,5087,5087
1518758222,5256,5256
1518844632,4683,4683
1518930835,4458,4458
1519017433,3939,3939
1519103595,4936,4936
1519189973,5173,5173
1519276624,5766,5766
1519362637,5456,5456
1519449111,5577,5577
1519535824,4882,4882
1519622032,4386,4386
1519708526,6036,6036
1519794827,6073,6073
1519881461,6330,6330
1519967610,5891,5891
1520054260,5505,5505
1520140398,5095,5095
1520226830,4252,4252
1520313203,6061,6061
1520399879,6435,6435
1520486033,6493,6493
1520572420,5678,5678
1520658865,6287,6287
1520745205,5353,5353
1520831872,4645,4645
1520917998,6418,6418
1521004282,6443,6443
1521091053,3698,3698
1521177167,2735,2735
1521263603,2717,2717
1521350017,2435,2435
1521436398,2165,2165
1521522823,2851,2851
1521609173,2996,2996
1521695567,2956,2956
1521781980,2868,2868
1521868374,2835,2835
1521954853,2321,2321
1522041245,1938,1938
1522127841,2653,2653
1522214336,2720,2720
1522300626,2602,2602
1522386843,2529,2529
1522473274,2193,2193
1522559606,2043,2043
1522646002,1899,1899
1522732391,2582,2582
1522818798,2713,2713
1522905185,1869,1869
1522991570,1544,1544
1523078012,1414,1414
1523164369,1256,1256
