DateTime,AddedIPs,RemovedIPs
1512623538,201,6032
1512709977,6602,181
1512796631,5523,5793
1512882655,5458,5542
1512969443,5411,5439
1513054931,4990,5484
1513142018,5284,5088
1513228632,5445,5147
1513314756,4923,5522
1513401417,4388,5004
1513487812,4132,4470
1513573966,4000,4161
1513660370,3922,3996
1513746798,4017,3927
1513833184,4097,4020
1513919589,3902,4124
1514006234,4052,3902
1514092597,4054,4058
1514178694,3913,4065
1514265317,4061,3933
1514351758,4106,4042
1514438023,4199,4090
1514524374,4329,4195
1514610776,4386,4338
1514697092,4484,4364
1514783595,4211,4460
1514869991,4298,4234
1514956353,4400,4339
1515042746,4463,4358
1515129206,4403,4435
1515215664,4534,4415
1515302217,4433,4504
1515388387,4285,4395
1515475204,4370,4338
1515561265,4447,4367
1515647610,4201,4412
1515733974,4470,4201
1517651103,4632,4773
1517721262,3978,4082
1517807608,4006,4011
1517894242,4399,4032
1517980385,4113,4334
1518066774,4245,4115
1518153425,3807,4295
1518240022,3916,3864
1518326478,3588,3922
1518412878,3537,3699
1518499029,3579,3568
1518585672,3272,3671
1518671803,3410,3255
1518758221,6206,3399
1518844631,3176,6275
1518930834,3037,3169
1519017431,3112,3059
1519103594,3035,3134
1519189972,3282,3032
1519276622,3138,3237
1519362636,3004,3177
1519449109,3023,3021
1519535823,3208,3052
1519622031,3173,3164
1519708525,3328,3178
1519794825,3231,3326
1519881459,3265,3212
1519967609,3270,3273
1520054258,3169,3327
1520140397,3301,3168
1520226828,3191,3293
1520313201,3172,3202
1520399877,3116,3190
1520486031,3243,3115
1520572419,3014,3231
1520658863,2945,3063
1520745203,3056,2855
1520831871,2932,3032
1520917997,3093,2941
1521004280,3222,3075
1521091052,3218,3211
1521177166,2687,3327
1521263602,2807,2721
1521350015,3171,2785
1521436396,3013,3187
1521522821,2860,3027
1521609171,2848,2823
1521695566,2840,2793
1521781979,2799,2909
1521868373,3254,2810
1521954852,3074,3185
1522041244,3149,3056
1522127840,3291,2998
1522214335,2866,3263
1522300625,2781,2876
1522386841,2749,2750
1522473272,2507,2942
1522559605,2494,2578
1522646001,2466,2501
1522732390,2391,2442
1522818797,2232,2361
1522905184,1282,2353
1522991569,1589,1346
1523078011,1376,1524
1523164368,1370,1334
