DateTime,AddedIPs,RemovedIPs
1512623539,2,71
1512709979,108,2
1512796632,102,99
1512882657,101,104
1512969445,92,100
1513054934,75,96
1513142020,75,69
1513228634,149,77
1513314758,99,153
1513401419,95,97
1513487814,78,95
1513573967,74,79
1513660372,65,76
1513746800,71,61
1513833186,109,75
1513919591,78,105
1514006235,53,81
1514092599,78,56
1514178696,79,74
1514265320,65,77
1514351760,118,68
1514438026,111,121
1514524376,78,105
1514610778,117,79
1514697095,74,112
1514783596,79,67
1514869993,71,68
1514956355,74,84
1515042747,106,81
1515129208,85,101
1515215666,78,87
1515302219,89,77
1515388389,112,84
1515475207,230,105
1515561268,120,177
1515647612,128,135
1515733976,132,136
1517651105,67,174
1517721264,91,58
1517807610,68,92
1517894243,59,66
1517980387,67,64
1518066776,118,60
1518153427,56,120
1518240024,67,58
1518326479,76,70
1518412880,63,69
1518499031,58,67
1518585674,59,61
1518671804,136,57
1518758223,66,138
1518844632,70,62
1518930836,82,69
1519017433,54,87
1519103595,58,55
1519189974,74,62
1519276625,74,77
1519362638,62,69
1519449111,64,63
1519535825,54,60
1519622033,38,57
1519708527,52,38
1519794828,97,54
1519881461,81,97
1519967611,77,76
1520054261,84,78
1520140399,68,88
1520226831,56,68
1520313204,61,52
1520399880,75,64
1520486034,104,73
1520572421,66,101
1520658866,68,71
1520745205,80,68
1520831873,50,84
1520917999,73,51
1521004283,63,73
1521091054,97,62
1521177168,52,94
1521263604,62,54
1521350017,52,60
1521436398,47,58
1521522824,63,41
1521609173,57,58
1521695568,84,63
1521781980,61,85
1521868375,64,57
1521954854,70,62
1522041246,63,67
1522127842,80,71
1522214337,68,75
1522300627,85,67
1522386844,60,90
1522473275,67,56
1522559607,50,65
1522646003,66,55
1522732392,52,69
1522818799,72,47
1522905186,68,72
1522991571,31,72
1523078013,38,34
1523164370,46,34
