DateTime,Entries,UniqueIPs
1463263202,143,143
1463349602,152,152
1463436002,161,161
1464386402,3,3
1464472802,19,19
1464559202,35,35
1464645602,52,52
1464732003,1014,1014
1464818403,1019,1019
1464904802,1027,1027
1464991202,1042,1042
1465077602,1059,1059
1465142924,1067,1067
1465164002,1069,1069
1465250402,1079,1079
1465336801,103,103
1465423202,142,142
1465509603,168,168
1465596003,165,165
1465682402,151,151
1465768802,142,142
1465855201,133,133
1465941603,120,120
1466028001,78,78
1466114414,47,47
1466200802,37,37
1466287202,45,45
1466373602,47,47
1466460002,61,61
1466546403,62,62
1466632802,63,63
1466719203,70,70
1466805602,71,71
1466892002,72,72
1466978402,71,71
1467064802,65,65
1467151201,64,64
1467237602,61,61
1467324002,1278,1278
1467410402,1315,1315
1467496802,1353,1353
1467583202,1359,1359
1467669603,1375,1375
1467756002,1395,1395
1467842403,1402,1402
1467928802,168,168
1468015202,144,144
1468101601,116,116
1468188002,125,125
1468274402,121,121
1468360802,142,142
1468447202,138,138
1468533602,154,154
1468620002,162,162
1468706402,158,158
1468792802,152,152
1468879202,145,145
1468965602,115,115
1469052002,124,124
1469138403,122,122
1469224802,138,138
1469311202,131,131
1469397602,158,158
1469484003,181,181
1469570402,223,223
1469656803,243,243
1469743202,255,255
1469829602,258,258
1469916002,312,312
1470002403,1941,1941
1470088803,1983,1983
1470175202,2002,2002
1470261602,2034,2034
1470348002,2054,2054
1470434404,2076,2076
1470520803,2082,2082
1470607202,216,216
1470693602,206,206
1470780002,236,236
1470866403,291,291
1470952802,321,321
1471039202,355,355
1471125603,396,396
1471212002,432,432
1471298402,454,454
1471384803,435,435
1471471202,375,375
1471557602,332,332
1471644003,303,303
1471730402,270,270
1471816802,235,235
1471903202,196,196
1471956963,206,206
1471989602,179,179
1472076003,162,162
1472162402,173,173
1472248802,167,167
1472335203,164,164
1472421602,153,153
1472508003,135,135
1472594404,121,121
1472680803,2757,2757
1472767202,2768,2768
1472853603,2769,2769
1472940003,2792,2792
1473026402,2810,2810
1473112803,2821,2821
