DateTime,AddedIPs,RemovedIPs
1504176905,1,0
1504202106,5,0
1504223705,39,0
1504238106,1,0
1504252506,0,15
1504281305,4,0
1504295706,1,0
1504425305,0,1
1504482909,1,0
1504526106,7,0
1504547705,1,0
1504576506,1,0
1504590905,0,6
1504634106,2,0
1504648506,3,0
1504677305,1,5
1504734908,2,0
1504763706,0,3
1504778105,1,0
1504806905,3,0
1504850105,1,13
1504893306,2,0
1504907705,3,0
1504922107,1,0
1504936506,0,8
1504994108,1,0
1505022906,4,0
1505051708,1,0
1505109306,0,1
1505152505,2,0
1505166906,3,0
1505195705,0,7
1505224505,1,0
1505238949,2,0
1505253307,3,0
1505267708,35,0
1505282105,1,12
1505325305,2,0
1505339705,1,0
1505354105,2,0
1505368505,0,4
1505397306,1,0
1505411706,1,0
1505426105,1,0
1505440505,2,0
1505454905,0,17
1505541305,0,9
1505598906,1,0
1505613306,2,0
1505642105,1,0
1505685307,1,0
1505699706,1,0
1505728505,2,0
1505757305,2,0
1505771707,1,0
1505800506,0,2
1505814906,1,0
1505843705,1,0
1505858106,1,0
1505886906,0,7
1505901305,1,0
1505915705,1,0
1505930105,7,0
1505944505,1,0
1505973305,1,1
1506002110,1,0
1506016506,1,0
1506059705,0,6
1506074105,1,0
1506102905,2,0
1506117306,1,0
1506146106,0,6
1506232505,0,2
1506318905,0,1
1506405305,0,5
1506419705,1,0
1506462906,1,0
1506491706,0,33
1506506106,1,0
1506563706,2,0
1506578105,0,10
1506660905,1,0
1506675307,0,1
1506689705,1,0
1506704106,1,0
1506732906,1,0
1506761706,0,3
1506819306,1,0
1506848106,0,1
1506934506,0,1
1506963306,1,0
1506977707,1,0
1507020905,0,1
1507049706,3,0
1507078508,1,0
1507107306,0,3
1507150506,3,0
1507193705,1,11
1507222507,1,0
1507236906,2,0
1507280106,1,7
1507308905,1,0
1507366506,1,3
1507409707,1,0
1507438506,1,0
1507539305,1,2
1507568105,1,0
1507596906,1,0
1507625705,0,2
1507654505,2,0
1507712105,1,0
1507755305,1,0
1507784105,2,0
1507798506,0,6
1507812906,2,0
1507841708,2,0
1507884906,0,3
1507928106,2,0
1508057706,0,1
1508086506,3,0
1508172906,2,0
1508230506,0,2
1508244908,1,0
1508273706,2,0
1508316906,0,2
1508403306,0,5
1508432105,1,0
1508460906,1,0
1508475305,1,0
1508489705,2,4
1508518506,1,0
1508532907,2,0
1508561706,1,0
1508576108,0,2
1508662506,0,2
1508705706,1,0
1508748905,0,1
1508777705,2,0
1508792105,1,0
1508806506,1,0
1508835306,0,6
1508864106,1,0
1508892906,1,0
1508921706,0,3
1508950506,5,0
1508964905,1,0
1509008106,0,2
1509022507,1,0
1509036906,2,0
1509094507,0,4
1509108906,3,0
1509180906,0,3
1509267307,0,2
1509296106,1,0
1509353706,1,2
1509396907,5,0
1509411306,2,0
1509440107,0,1
1509468907,1,0
1509483305,3,0
1509526505,0,3
1509540907,1,0
1509569709,2,0
1509584107,3,0
1509612906,1,1
1509641706,1,0
1509656106,1,0
1509670506,1,0
1509684906,1,0
1509699306,1,3
1509713706,1,0
1509742506,2,0
1509872106,0,1
1509958506,1,3
1509987306,1,0
1510001706,1,0
1510044907,0,3
1510073705,1,0
1510088106,2,0
1510102506,2,0
1510116905,1,0
1510131306,0,4
1510145707,1,0
1510203307,1,0
1510217706,0,8
1510260906,1,0
1510304106,0,2
1510318506,1,0
1510476906,1,1
1510491306,2,0
1510520106,1,11
1510534507,0,3
1510563306,1,1
1510577707,3,0
1510592106,1,0
1510606505,1,0
1510635305,1,0
1510649706,0,5
1510678505,1,0
1510692908,1,0
1510707306,2,0
1510736107,0,2
1510750507,1,0
1510764909,26,0
1510779313,2,0
1510808106,2,0
1510822506,1,7
1510851306,3,0
1510880107,1,0
1510894505,1,0
1510908906,0,4
1510923307,3,0
1510952111,1,0
1510995305,0,2
1511196906,2,0
1511211306,2,0
1511225707,1,0
1511254506,0,2
1511268907,2,0
1511283306,2,0
1511340906,0,11
1511355307,1,0
1511369706,1,2
1511384106,0,8
1511398507,0,6
1511412906,0,1
1511427306,0,2
1511441707,1,0
1511484906,1,0
1511513706,0,1
1511542506,1,1
1511556905,0,3
1511585711,0,1
1511600106,0,3
1511643306,10,7
1511657707,0,2
1511758506,0,5
1511772906,48,3
1511787307,2,0
1511801706,1,0
1511816106,2,0
1511859307,0,17
1511873707,1,0
1511888107,1,0
1511902507,0,5
1511916906,1,1
1511945706,0,12
1511988906,1,0
1512003307,2,0
1512032106,0,19
1512075306,2,0
1512089708,1,0
1512118506,0,5
1512204907,0,3
1512392107,1,0
1512406506,1,0
1512464107,0,1
1512492906,1,0
1512521713,0,1
1512550506,0,4
1512579306,2,0
1512629705,6,0
1512644106,1,0
1512672908,1,0
1512716106,0,2
1512773706,2,0
