DateTime,AddedIPs,RemovedIPs
1514254213,2,3
1514268613,0,3
1514283013,1,10
1514297414,9,7
1514311813,3,2
1514326214,3,1
1514340614,0,2
1514355013,2,1
1514369413,2,10
1514383813,18,3
1514398213,3,1
1514412614,6,1
1514427014,2,1
1514441413,2,4
1514455813,4,7
1514470213,14,3
1514484614,3,1
1514499013,4,1
1514513413,3,1
1514527813,6,11
1514542212,4,11
1514553013,7,4
1514567413,6,4
1514581813,0,1
1514596215,0,2
1514610613,3,6
1514625014,4,12
1514639414,3,5
1514653813,3,2
1514668214,1,5
1514682613,3,5
1514697014,2,3
1514711413,6,9
1514725813,9,3
1514740213,4,0
1514754613,4,1
1514769013,3,4
1514783413,3,5
1514797813,2,1
1514812212,2,2
1514826612,3,2
1514841012,2,3
1514855413,2,2
1514869813,3,10
1514884212,1,7
1514898612,5,2
1514913012,2,4
1514927412,2,2
1514941812,2,3
1514998502,14,8
1515010211,0,4
1515024611,2,1
1515039011,5,4
1515053411,1,4
1515067811,2,2
1515082232,3,3
1515096611,4,4
1515111011,0,2
1515125411,2,0
1515139811,2,4
1515154211,3,4
1515168611,3,1
1515183019,2,1
1515197412,0,7
1515211812,3,1
1515226212,0,2
1515240611,3,3
1515255012,4,3
1515269411,0,1
1515283811,3,3
1515298211,2,2
1515312611,0,5
1515327011,2,2
1515341411,2,0
1515355811,1,1
1515370210,2,2
1515384611,4,2
1515399012,8,4
1515413411,5,0
1515427811,8,1
1515442214,6,3
1515456613,2,0
1515471012,4,1
1515485412,0,2
1515499812,5,2
1515514213,4,1
1515528616,4,2
1515543012,1,4
1515557412,2,9
1515571812,1,7
1515586214,5,5
1515600614,6,4
1515615012,6,5
1515629412,2,1
1515643812,3,1
1515658212,0,7
1515672612,2,3
1515687012,1,2
1515701413,1,0
1515715814,1,4
1515730212,7,4
1515744612,0,5
1515759012,3,6
1515773412,6,5
1515787812,4,3
1515802212,2,1
1515831013,4,3
1515845413,1,0
1515859813,0,2
1515874213,18,5
1515888613,31,2
1515903013,21,1
1515917412,12,4
1515931812,14,6
1515946212,27,3
1515960612,27,0
1515975012,17,3
1515989412,17,2
1516003812,3,1
1516018212,48,2
1516032612,56,32
1516047012,8,25
1516061412,6,19
1516075812,4,8
1516090212,8,22
1516104612,7,33
1516119012,11,19
1516133412,6,16
1516147819,12,11
1516162221,11,13
1516176626,5,73
1516191024,4,22
1516205426,6,7
1516219832,13,4
1516234229,6,9
1516248629,7,6
1516263028,9,7
1516277428,12,9
1516291823,12,8
1516306220,11,16
1516320619,9,6
1516335019,1,2
1516349417,0,6
1516363811,2,10
1516378219,1,9
1516392612,4,5
1516407012,3,8
1516421411,2,10
1516435812,2,13
1516450212,3,12
1516464614,7,12
1516479016,7,3
1516493420,4,1
1516507811,1,0
1516522211,6,3
1516536611,4,2
1516551011,4,5
1516565416,3,1
1516579811,0,3
1516594211,1,2
1516608612,0,5
1516623011,4,6
1516637414,1,9
1516651814,4,1
1516666211,0,2
1516680613,3,6
1516695014,3,4
1516709411,1,5
1516723812,3,0
1516738212,3,0
1516752612,3,1
1516767012,0,2
1516781413,2,3
1516795812,3,2
1516810213,2,2
1516824615,4,1
1516839017,0,4
1516853420,3,0
1516867813,2,2
1516882213,2,4
1516896615,3,4
1516911016,5,1
1516925412,3,1
1516939815,2,2
1516954212,0,2
1516968612,6,3
1516983016,5,2
1516997413,6,2
1517011812,0,1
1517026212,3,2
1517040611,2,2
1517055012,6,7
1517069412,5,3
1517083814,0,2
1517098221,4,2
1517112613,3,2
1517127012,3,9
1517141411,8,2
1517155812,8,4
1517170216,4,0
1517184616,4,5
1517199011,5,2
1517213411,9,4
1517227811,9,2
1517242221,8,2
1517256616,5,6
1517271017,4,0
1517285412,5,6
1517299812,5,9
1517314212,10,5
1517328612,5,4
1517343012,10,4
1517357418,4,7
1517371812,5,12
1517386212,7,8
1517400612,6,6
1517415015,6,4
1517425813,4,2
1517440215,9,5
1517454612,4,6
1517469013,8,10
1517483413,7,6
1517497813,9,10
1517512213,10,4
1517526615,5,6
1517541017,4,6
1517555412,9,8
1517569813,9,6
1517584226,10,5
1517598615,5,5
1517613013,3,6
1517627413,9,9
1517641813,8,9
1517656213,9,8
1517670612,4,7
1517685012,5,4
1517699413,0,5
1517713815,3,8
1517728213,2,14
1517742614,3,6
1517757013,5,5
1517771412,0,6
1517785813,1,9
1517800213,1,7
1517814613,3,7
1517829012,5,4
1517843416,4,4
1517857816,4,1
1517872213,2,4
1517886615,2,1
1517901012,4,4
1517915413,2,3
1517929815,5,0
1517944216,1,1
1517958612,3,3
1517973014,4,4
1517987411,6,4
1518001811,2,1
1518016216,8,5
1518030626,2,0
1518045014,0,5
1518059415,2,1
1518073813,1,5
1518088213,1,1
1518102612,3,4
1518117024,3,4
1518131411,3,4
1518145812,5,4
1518160212,2,3
1518174612,5,8
1518189012,3,0
1518203411,4,2
1518217811,0,2
1518246612,3,3
1518261012,5,3
1518275412,2,2
