DateTime,AddedIPs,RemovedIPs
1514315420,245,214
1514329820,301,235
1514344221,205,238
1514358621,273,276
1514373021,300,284
1514387421,307,238
1514401821,274,221
1514416221,268,200
1514430621,221,240
1514445021,250,325
1514459421,296,298
1514473827,281,255
1514488229,276,276
1514502621,238,229
1514517029,203,261
1514531420,271,306
1514545820,320,285
1514560221,303,273
1514574622,277,265
1514589021,282,230
1514603421,206,250
1514617821,229,309
1514632222,245,276
1514646623,395,260
1514661022,264,237
1514675422,271,209
1514689826,203,289
1514704220,209,327
1514718620,214,270
1514733020,272,314
1514747421,264,238
1514761820,205,227
1514776221,184,230
1514790621,194,251
1514805019,218,392
1514819420,220,267
1514833820,230,270
1514848219,226,208
1514862624,188,218
1514877019,233,218
1514891419,273,276
1514905819,276,265
1514920220,260,202
1514934619,239,182
1514949021,219,192
1514998506,1050,845
1515010220,144,86
1515024619,230,208
1515039019,66,417
1515053419,278,297
1515067817,153,339
1515082252,678,280
1515096619,278,230
1515111019,265,215
1515125419,223,265
1515139818,299,323
1515154219,336,259
1515168618,221,457
1515183028,174,361
1515197419,261,183
1515211818,242,257
1515226218,231,228
1515240618,258,190
1515255018,241,243
1515269418,270,235
1515283817,218,216
1515298217,192,300
1515312618,205,290
1515327017,114,412
1515341416,0,357
1515355817,494,196
1515370218,245,221
1515384617,215,241
1515399018,267,261
1515413416,333,246
1515427817,300,247
1515442220,277,214
1515456619,259,173
1515471019,206,238
1515485419,308,46
1515499819,321,0
1515514221,287,165
1515528625,242,239
1515543020,226,228
1515557420,213,279
1515571820,305,290
1515586221,338,292
1515600623,298,246
1515615020,274,240
1515629420,235,229
1515643820,230,317
1515658220,281,335
1515672619,51,287
1515687020,620,240
1515701423,306,225
1515715823,228,232
1515730219,239,333
1515744621,272,326
1515759020,282,307
1515773420,270,270
1515787820,308,234
1515802220,227,251
1515816621,198,293
1515831020,208,280
1515845420,242,315
1515859820,261,301
1515874221,266,220
1515888622,234,235
1515903020,207,279
1515917419,199,286
1515931819,235,286
1515946219,244,284
1515960618,238,219
1515975018,241,193
1515989419,232,221
1516003819,298,237
1516018220,282,240
