DateTime,AddedIPs,RemovedIPs
1472610982,20,23
1472695696,21,20
1472784249,17,21
1472869467,15,24
1472957778,28,19
1473042984,11,25
1473129384,23,16
1473213856,27,18
1473302180,24,18
1473390745,22,15
1473475219,18,10
1473563779,19,17
1473648502,19,15
1473734902,19,16
1473823453,24,31
1473908449,27,22
1473996983,31,20
1474081938,21,21
1474166646,30,30
1474254982,20,21
1474343304,14,24
1474428017,32,16
1474516591,21,26
1474601303,25,22
1474687943,23,18
1474772660,13,17
1474862020,15,24
1474948343,25,18
1475036660,20,23
1475121140,16,24
1475206340,20,20
1475293215,22,25
1475381793,18,14
1475470108,32,15
1475556493,19,28
1475643137,28,18
1475730251,22,22
1475816894,22,24
1475907222,30,24
1475991614,22,18
1476076334,23,20
1476162973,23,21
1476252255,21,18
1476336774,21,21
1476423142,20,21
1476511694,34,27
1476598575,25,30
1476686888,21,21
1476771620,25,26
1476860464,25,24
1476944899,29,21
1477033456,26,31
1477118416,23,17
1477208680,44,21
1477295298,27,22
1477383851,16,19
1477470251,23,17
1477554763,20,22
1477643535,25,19
1477729932,20,18
1477817290,27,21
1477902067,40,21
1477986977,19,24
1478077261,27,34
1478160743,20,21
1478249770,22,29
1478334741,19,21
1478423309,19,23
1478508250,22,27
1478592978,24,23
1478681295,24,23
1478769861,28,23
1478856509,13,23
1478941460,20,21
1479029544,20,21
1479114263,20,28
1479207177,45,24
1479292344,22,21
1479378993,17,25
1479467551,22,25
1479553955,18,22
1479639152,17,27
1479727697,31,31
1479817944,37,43
1479902512,20,25
1479987141,15,18
1480076171,20,17
1480161381,34,18
1480246598,30,24
1480334904,18,20
1480423221,23,26
1480508439,26,42
1480616652,48,19
1480682185,13,23
1480770996,16,18
1480855534,48,21
1480944737,14,23
1481031353,14,20
1481117795,25,18
1481207544,47,23
1481292750,23,20
1481377703,23,18
1481462679,31,14
1481551298,18,18
1481640265,18,22
1481724755,14,18
1481813555,20,44
1481898268,20,18
1481986573,18,16
1482071800,19,25
1482156762,18,16
1482245564,20,20
1482332204,32,30
1482417403,26,36
1482505954,26,20
1482969864,31,125
1483035148,16,20
1483125863,15,24
1483210350,20,47
1483294828,13,15
1483383149,12,20
1483467628,17,47
1483556171,12,13
1483640905,11,16
1483729291,13,22
1490858173,49,702
1490912647,50,0
1491000971,41,0
1491086187,35,0
1491174498,39,0
1491259220,36,0
1491347350,30,0
1491432267,37,0
1491517215,45,0
1491605784,40,0
1491690506,42,0
1491779307,38,0
1491864011,33,0
1491952829,35,0
1492037533,34,0
1492122515,33,0
1492211542,29,0
1492296749,29,0
1492381947,29,0
1492470747,23,0
1492559065,31,0
1492643778,29,0
1492728494,28,0
1492817552,29,0
1492902518,22,0
1492991313,19,0
1493076263,25,0
1493163627,40,0
1493248588,20,0
1493337698,22,0
1493420908,22,0
1493507781,17,67
1493597308,21,23
1493682492,21,28
1493767538,24,28
1493856510,26,22
1493940984,22,26
1494027963,29,35
1494112830,30,42
1494201864,34,35
1494286827,38,42
1494375150,30,32
1494460111,32,27
1494545052,25,36
1494633870,27,32
1494720514,37,24
1494805933,29,27
1494894992,35,19
1494979958,22,25
1495064893,34,19
1495153695,23,28
1495238544,21,21
1495326971,19,22
1495413376,21,26
1495498569,39,17
1495587152,29,18
1495673794,36,25
1495758735,27,36
1495843722,29,18
1495932265,25,19
1496017232,34,17
1496102677,22,20
1496189546,27,24
1496278884,23,24
1496362114,24,30
1496451700,24,25
1496536109,21,25
1496624911,26,27
1496709387,28,24
1496795071,27,36
1496883868,25,41
1496968340,18,32
1497053311,21,35
1497142350,24,24
1497227060,15,24
1497315867,33,28
1497400594,16,29
1497485534,25,0
1497574094,26,54
1497659068,32,23
1497747378,29,24
1497833075,22,17
1497918750,27,0
1498007325,30,39
1498091771,30,36
1498176993,46,0
1498266269,38,73
1498351449,33,29
1498440014,35,27
1498523547,30,0
1498612836,34,60
1498697791,21,29
1498782756,23,17
1498871776,12,27
1498956743,28,25
1499044829,38,26
1499130747,22,23
1499216181,24,0
1499304987,21,57
1499389950,25,19
1499475132,24,0
1499563708,17,42
1499648892,18,23
1499737225,26,20
1499822439,29,19
1499909542,28,36
1499994751,28,21
1500083308,20,27
1500167788,25,27
1500253295,20,28
1500342270,25,25
1500427229,20,25
1500512183,20,24
1500600971,27,30
1500685943,19,27
1500774992,24,41
1500859703,22,38
1500948268,15,33
1501033463,20,39
1501118425,16,31
1501204114,21,0
1501293394,15,60
1501380272,19,9
1501466187,17,13
1501550671,23,31
1501636110,22,0
1501724907,18,60
1501809633,21,20
1501898544,35,20
1501983872,24,20
1502072653,26,24
1502157389,19,21
1502242825,15,17
1502331873,15,20
1502417308,22,27
1502502730,19,21
1502591308,15,25
1502676734,20,22
1502761937,24,20
1502847874,24,26
1502936658,20,21
1503021709,17,17
1503107071,17,21
1503195861,14,20
1503280901,24,20
1503369134,25,27
1503454095,23,21
1503542409,20,16
1503678012,49,16
1503762735,45,23
1503847927,42,22
1503933139,40,16
1504021929,45,23
1504107383,39,21
1504115055,29,0
1504195688,40,20
1504280416,28,22
1504365136,33,19
1504452488,34,25
1504541053,43,27
1504626009,42,24
1504715060,40,30
1504800039,37,22
1504884979,40,19
1504973769,37,22
1505058492,37,27
1505147053,42,20
1505232492,36,24
1505318463,34,23
1505403383,37,29
1505492416,34,30
1505577858,41,28
1505662570,40,32
1505751377,36,32
1505836570,37,34
1505925616,30,36
1506011528,38,36
1506096254,29,43
1506185290,28,43
1506270254,33,42
1506355212,33,35
1506444491,31,37
1506529212,33,29
1506614170,29,44
1506702983,28,27
1506790829,33,73
1506876006,38,30
1506961700,38,28
1507049533,39,39
1507134486,37,45
1507219702,34,37
1507306819,40,0
1507395627,37,81
1507480095,28,36
1507565300,28,0
1507654574,37,65
1507739535,35,34
1507825222,29,32
1507914501,35,32
1508000426,39,37
1508085613,38,31
1508174173,41,36
1508260335,41,41
1508345530,36,32
1508430007,37,31
1508519774,37,28
1508605460,31,33
1508690418,37,32
1508776813,36,0
1508866336,32,62
1508951775,34,29
1509036969,35,32
1509123373,29,33
1509208579,42,31
1509298094,37,28
1509383058,39,36
1509467777,34,0
1509554184,43,80
1509643214,37,41
1509728169,31,34
1509816727,32,32
1509901212,27,34
1509991461,27,41
1510076168,31,31
1510161134,23,31
1510247542,33,39
1510333934,44,32
1510422498,42,32
1510507455,37,37
1510592896,36,41
1510682180,35,44
1510767855,35,39
1510853299,27,38
1510938498,34,34
1511026095,34,35
1511111057,35,0
1511200091,36,78
1511285535,37,35
1511370499,36,35
1511456669,31,0
1511545697,36,65
1511630171,35,31
1511718729,37,39
1511803936,39,40
1511889612,25,0
1511975055,35,41
1512064818,34,69
1512150262,32,45
1512235692,29,41
1512324493,28,25
1512409462,37,31
1512494895,38,28
1512585384,38,32
1512669142,37,27
1512755773,34,28
1512841455,36,38
1512926410,29,43
1513017621,36,36
1513102576,33,29
1513187777,36,35
1513273218,31,0
1513359863,25,62
1513446253,37,29
1513535780,36,32
1513620489,31,33
1513705940,39,34
1513792331,38,37
1513879225,38,37
1513964896,29,36
1514053457,29,35
1514138894,35,36
1514223850,30,37
1514312889,41,39
1514395941,37,31
1514482336,34,29
1514571610,32,35
1514657839,37,40
1514743219,36,33
1514829375,31,31
1514914570,29,0
1515000981,35,35
1515088821,31,77
1515174734,38,0
1515260410,35,37
1515349217,32,75
1515435377,36,35
1515522017,35,30
1515608655,39,0
1515695297,37,66
1515780495,35,37
1515866423,31,29
1515954982,32,29
1516040653,37,33
1516125611,34,0
1516211778,41,34
1516301301,37,74
1516384825,35,43
1516470507,34,0
1516558814,31,73
1516643528,25,0
1516732334,31,69
1516817778,28,31
1516906338,32,40
1516991789,27,35
1517079375,31,35
1517164574,28,36
1517250013,35,34
1517336175,36,0
1517424745,36,53
1517510661,38,32
1517595614,39,38
1517682013,34,29
1517767935,35,34
1517856975,31,35
1517941942,39,37
1518026652,39,0
1518115699,38,71
1518202824,26,38
1518289698,34,36
1518372494,38,0
1518459378,36,61
1518546015,35,0
1518632900,26,75
1518721231,39,40
1518804734,35,42
1518891130,29,0
1518979212,38,63
1519064170,39,26
1519150820,40,31
1519237217,36,28
1519325057,34,24
1519411208,36,32
1519497133,35,0
1519583525,36,31
1519673055,33,55
1519755851,30,0
1519846097,35,71
1519932017,33,34
1520017453,31,38
1520102657,34,0
1520187853,29,74
1520277848,23,35
1520363050,28,34
1520448732,34,0
1520533931,37,35
1520622495,38,72
1520707941,31,37
1520793856,33,0
1520879774,37,31
1520966021,33,70
